page 2	回憶從前對照現在
page 3	豫鄂進行大殲滅戰日兵死亡已逾五千隨縣附近擊毀日戰車卅餘輛
page 3	華北水陸交通被日人獨佔九條鐵路只估價一千五百萬元煤礦亦被掠奪殆盡
page 3	財部電報到達滬人心安定提存潮已息匯價亦穩定
page 3	新疆學生團由築赴渝受訓
page 3	日本不敢與美作戰雅納爾覆史維侖巴赫之原函
page 3	華北日軍存心打擊汪派將宣撫班併入偽新民會以與汪屬偽國民黨對抗
page 3	鬱林妓女恥與汪為伍
page 3	行政院例會
page 3	文藝獎助金管委會舉行會議推定各負責人員
page 3	有功將領一批國府頒給勳章
page 3	蘇聯官方報紙揭發日本窘態我國抗戰使其動彈不得內部裂痕無法予以掩飾
page 3	覃振抵滇視察司法機關
page 3	東四省主席週內分別就職遼主席萬福麟抵渝對復土決心極堅強
page 3	從戰略上檢討地中海未來形勢
page 3	晉城附近續克要點張茅大道日軍北潰
page 4	德義使節如織企圖加強軸心兩巨頭傳將再會晤匈保兩國窒息不安/傳德將再施閃電戰/荷蘭採取防禦步驟/美總統初選各州先後定期舉行羅斯福仍最孚人望/歐洲名記者隨車跌斃/英國委出駐冰島公使/張伯倫報告法國反鄉尚佳聯軍作呀將再接再德方注意邱吉爾職權擴大/英商之正論僑華英商協會主席敦促政府強硬對日/伏羅希洛夫調任人民委會副主席兼人民委會國防主席/英眾院辯論激烈政黨對全般局勢態度嚴峻工黨召開全體會決定行動/阿特裡演說/美海長論海空居優勢不論目前或若干年後主辦繼仍為國防主幹/荷蘭局勢轉緊艦隊常駐夏威夷領海準備維持太平洋和平/日新黨流產遭當局嚴禁/短評正確的認識/張伯倫演詞/日禁組新黨/美艦隊動態/辛克萊發言/保守黨致辭
page 5	東江日偽圖蠢動我各路掃蕩奏捷
page 5	泰國海運困難貿易受打擊市面騷然人心不安政府方面籌謀解決
page 5	陳嘉庚定期向南僑廣播
page 5	檳華籌賑會捐款踴躍本年首季達二百萬元
page 5	南侵日軍無力西犯西江日軍一部調廣州
page 5	粵各縣鄉鎮公營工業省府積極計劃推進
page 5	中央在粵設處協辦振務並將舉辦工商小貸款
page 5	南鵬島日軍開採鎢礦島民被迫工作
page 5	廣東省銀行存款激增總數達一千二百餘萬分支部增至六十四處
page 5	西康日記八六第四編康定及其附近西康風俗概述 
page 5	旅暹華僑被捕案馮爾和等無罪釋放但仍被令限期出境
page 5	粵省政會議圓滿閉幕討論提案八十九件
page 5	閩南熱血青年請纓入伍民眾萬餘人夾道歡送
page 5	瓊崖日軍騷擾各地災情慘重吳道南電請各方呼籲急振
page 5	滬西松江一帶我游擊隊活躍日軍大批傷兵運回上海
page 6	粵港基督教團體發起建國儲蓄運動擬推銷儲蓄券一百萬元節建儲運港分會定明日成立
page 6	九龍區小學展覽學藝成績前日召集各校開會決定演講戲劇比賽歡迎參觀
page 6	香港大學去年校務概況副校長史羅斯發表報告籌款困難發展多受延阻
page 6	名伶馬師曾及太平劇團藝員捐國幣五千元響應傷兵之友運動
page 6	騙財嫌疑案歌姬到總部指證梁謙武昨具保千元外出葉蘭泉否認曾參加茶會
page 6	港文藝界籌備歡迎林語堂
page 6	港澳振濟會主辦義學開課共錄取二千三百零六人附設港九各區十八校內
page 6	九龍倉苦力怠工潮已解決由九龍倉公司發給執照憑執照即可向該倉提貨
page 6	粵省府設立候用公務員招待所託廣州大學黃毅芸代辦有志返內地者可往查詢
page 6	文協藝協舉辦歌樂會追念音樂界前輩黃自先生十二日晨在中央戲院舉行
page 6	十九歲少年持刀行兇刺傷後母之侄
page 6	國大婦代競分會候選人全部推出共二十四名已電達總會自我介紹者祗選出九名
page 6	寧缺勿濫
page 7	長虹虹氣貫如虹興奮打走精勵四十二比二十九爭持頗烈戰前追悼劉潤田默念誌哀
page 7	英網球宿將奧斯丁在美談球經
page 7	菲選手赴日比賽日將撤回邀請菲因船位問題表示不滿南京偽府派人赴日參加
page 7	香港隊征貢再捷大勝南圻乙七比一球藝懸殊戰成一面倒景聰老馮斗文霍氏建功
page 7	小球遴選賽協會戰海軍
page 7	港圓外匯牌價續縮美匯趨緊申匯穩定
page 7	股票市況靜寂人心仍談成交不多
page 7	八九金市依然堅穩買賣不多價少起跌
page 7	東方會徵求隊明日結束
page 7	華人游泳會旅行銀礦灣
page 7	球壇尖事記
page 7	學界排球賽漢文告捷英皇力戰不敵
