page 1	社評國內工商業現狀
page 2	副總統選舉昨陷僵局三候選人都宣布放棄國代情緒激動今天續休會主席團推胡適等進行斡旋
page 2	選舉側寫場面綜複雜行情瞬息萬變會內清淡會外緊張程潛自稱知難而退
page 2	擁李擁程國代分別成立組織
page 2	吳稚暉感慨滿懷于右任沒有話說孫科說一切由中常會決定
page 2	京滬市民關心選潮
page 2	論政治家的風度上
page 2	胡適的希望頂好候選人回心轉意
page 2	本屆立院會議最後一次廿九日召開
page 2	政府購買美機兩架飛到上海
page 2	臺灣人民團體聲明要求自治並非與祖國分離
page 2	農業示範區將在浙省設立
page 2	國民黨開中常會商討副總統選舉問題希望競選者停止宣傳
page 2	平日戰犯一批解滬
page 2	西安局勢緊急陝國代將請願
page 2	貝祖詒月底可抵京關於援華中美即交換函件
page 2	公教人員薪資恢復徵所得稅
page 2	關麟徵談戰局談起東北不禁感慨采之要想打開局面只有增兵
page 2	共軍自熱入察多倫棄守東北密雲不雨醞釀戰事濰縣繼續苦戰應縣漸趨穩定
page 2	日漁輪侵我領海當局將商討對策
page 2	長城輪離塘沽往救萬里輪乘客
page 2	海關愛用英文商人感到不便希望改掉這種習慣
page 2	天山峨嵋等三輪移交招商局經營
page 2	春雨來旱象過粵稻改所派員下鄉兩萬擔穀種運中區各縣
page 2	滬工廠紛紛遷港經濟部想設法禁止
page 2	穗製革工人罷工社會局正在想辦法
page 2	多事的五月將臨滬當局未雨綢繆嚴查旅館寺院防患未然警備部昨又捉了兩個人
page 2	復旦昨復課章益返樣召集教授開會命工役將校內標語刷清
page 2	為了維持治安穗汽車總檢查無牌照車輛一律取締
page 2	向哲濬返國
page 3	南韓北韓主張一致反對單獨舉行選舉要求美蘇撤退駐軍
page 3	日壓迫韓僑續引起騷動神戶美佔領軍出動鎮壓又有韓人一百多名被逮捕
page 3	美國極力活動促進聖地託管與英法商議簡單方式
page 3	英國有多強中
page 3	阿人準備搶佔聖地聯軍將由外約但作先鋒
page 3	土耳其領海內傳發現蘇潛艇
page 3	對付世界局勢賴伊有新方針到必要時纔公開發表
page 3	義籌組新政府內閣組織人選無大變動共黨表示不反對馬歇爾計劃
page 3	美國貸助日工業已近六百億日圓
page 3	東西方一片反共聲葡萄牙印度大捕共黨巴西政府也要採步驟
page 3	西歐實施美援計劃即將完成詳細方案定期在巴黎開執行會議
page 3	暹羅鑾被汶政權不愁各國不承認
page 3	羅哈斯安葬季里諾譽為菲共和國之父
page 3	對日和會召開無期蘇有不簽和約意見因美國說日本未與軸心國合作
page 3	原子對人體影響美醫學專家研究
