page 1	社評徹底整理現行法規立法院應先做的一件事
page 2	政府當局決心改革幣制翁文灝謂即將擬訂方案立委主張開徵臨時財產稅
page 2	立院將討論幣制改革案
page 2	財產稅徵收的問題劉不同對記者說明
page 2	下半年總預算政院正草擬中
page 2	監院今續開預備會院長互選辦法擬定
page 2	政府練軍計劃今年四百萬人
page 2	新閣觀感和美國扶日問題首都大學教授座談會討論
page 2	考試司法兩院人選總統即將提名明天先送中政會商詢意見
page 2	萊普漢等昨抵滬即著手執行援華他說只負責經濟部門工作今天將赴京與蔣總統晤談
page 2	北平學生發表宣言反駁司徒雷登聲明
page 2	海市蜃樓崆峒島海面出現
page 2	南陽外圍沉寂魯境大汶口以南續激戰
page 2	盟旗自治方案政院正在審查
page 2	為了生活苦廣州自殺多
page 2	航空郵費加價
page 2	飛機火車加價廣州今天實行
page 2	翁源國軍調防中途遭遇伏擊
page 2	救濟兒童麵粉一批日內即可經港運穗係由國際兒童急救會撥來有關方面已派人準備接收
page 2	粵保警團長在海南作戰殉職
page 2	黃旭初離京返桂
page 2	緝捕逃兵騷擾大佛山曾一度罷市 
page 2	穗綏署各處人事最近可完全決定許世璿任秘書長
page 3	日復興一日千里造船能力超過需要輕金屬工業漸恢復蘇廣播抨擊美獨佔政策
page 3	黨員八人退黨蘆田遭受打擊民主黨議席減至八十四
page 3	新加坡僑商不抵制日貨
page 3	日本雜感三
page 3	四國駐日代表視察賠償設備
page 3	東條自身難保還替別人辯護川喜田被控背叛美國罪
page 3	日戰犯二人處無期徒刑
page 3	我運食監濟日函館丸抵新瀉
page 3	朝鮮委會委員昨自滬返漢城
page 3	希臘和氛蕩漾共黨領袖再提和平建議政府態度緩和似欲早日停戰
page 3	解決荷印的糾紛荷又放和平空氣
page 3	聖地停火令成具文調解專員提新建議決定休戰期限令阿猶遵守
page 3	東西之間德國處東西之間地位很為尷尬這是德國凱塞勒時報的漫畫
page 3	揮淚話蠶農
page 3	美減款案即可分曉參院撥款委會聽取意見馬歇爾范登堡拼命力爭
page 3	羅匈乞減賠款蘇聯可能答允
page 3	決定半個德國前途六國公布五項協議決再邀蘇參加重建德國
page 3	法左右派聯合反對六國決議 
page 3	欲憑口舌爭選票杜魯門繼續西行民主黨領袖說不支持他因他缺乏選賢與能才幹
page 3	捷總統貝奈斯辭職內閣特別會議決定接受辭呈
page 3	許曼搖搖欲墜法內閣遇空前難關議會即辯論外交政策
page 3	步行專家創新紀錄歐洲美女鬥艶爭妍
page 4	港府將設實業部計劃發展紡織業將由現在日本的謙士和主持
page 4	管制旅館房金開始嚴格執行各旅館限月中將收費表付審
page 4	香港小姐十日起報名
page 4	流浮山女犯死在醫院中
page 4	做強盜不合算搶一次平均得到七十元却有四分之一被捕可能
page 4	人民有進步
page 4	法庭審盜案盲卜來作證
page 4	解決主婦困難家庭服務社代雇女傭按鐘點給酬任各種工作
page 4	嶺南六名家聯合書畫展今日起舉行五天
page 4	警方暗中佈局破獲碼頭勒索十三名警察昨受審
page 4	華商總會改選今天開票新職員待高院判決訟案後就職
page 4	既說警察打人又說沒有打人吳兆華入獄一月
page 4	華商總會投票約佔發出票數十之八九
page 4	華僑去廣州不發身份證
page 4	法庭審私寨案寡婦聞判認是替身阻街女郎十七名被判罰
page 4	反對扶植日本大會十九日在金陵舉行籌備會通過致中英美等國電文
page 4	替人墮胎判入苦獄病人拒作證亦被判罪
page 4	丈夫騙妻到野外抽出利刃圖殺害
page 4	屢次遭受襲擊海關已有應付辦法
page 4	看白戲被罰大叫睇貴戲
page 4	英駐東南亞專員麥唐納訪華過港今天將飛廣州再去南京昨在機場會宋子文夫婦
page 5	五金入口商企圖黑市外匯訂購比貨鋼條每擔折合三十五港元
page 5	國幣內匯先低後回尾市申匯突起省匯不斷扯高
page 5	漢口行莊百餘家無照行莊漸形減少
page 5	全國各地利率汕頭位居第一上海利率比前上升
page 5	金管局發表五月來穗市黃金外幣非法買賣統計黃金三百餘兩港幣三百餘萬國幣二十八億
page 5	論結匯證明書使用辦法一
page 5	漲風到台米布齊升
page 5	金融市場一片靜寂黃金美匯市勢盤旋且看美援削減後各地反應如何
page 5	黃金市場起落有限
page 5	星馬肥皂產銷四月產二萬二千餘汙出口共二萬零三百汙
page 5	台幣匯率重新提高一比三七五元
page 5	滬汕物價同步昇穗梧米跌紗布穩
page 6	全運籃球選手對抗香港印尼今晚會師吳傳玉再演百公尺泳
page 6	體協昨開修章會議決取銷聯會制擬定大綱下週再討論
page 6	世運籃球隊表演記
page 6	大公籃球隊今天對抗青紡青紡聲勢頗煊赫
page 6	元老足球賽中國對英軍廿九日在星舉行李惠堂統率大軍
page 6	華雄體育會續辦夏籃賽
page 6	團體網球聯賽今天兩場對壘
page 6	教育界立委主張根據憲法增加經費今日教育有一個矛盾現象大學太多應該重質不重量
page 6	吳再興報告出席全運觀感馬華各項運動多獲分祖國人士都有好印象
page 6	香港初級工業學校九月六日開始上課
