page 1	社評結匯證明書市價的合理變動
page 2	兗州濟南外圍大戰方酣豫境激戰又起鄭汴緊張
page 2	立院質詢場面熱烈委員們盼新閣拿出辦法來翁文灝今天提出口頭答覆
page 2	翁內閣沉不住氣有些部長建議總辭職
page 2	吸收僑匯問題
page 2	法調查工作龐德等已開始進行
page 2	物價拚命漲南京自殺多昨一日三起一死兩活
page 2	國民黨的今昔劉不同對美記者大談歷史說少數人據要位失卻革命精神
page 2	反對徵財產稅上海中外商會一致行動商界認為這是打擊中產階級
page 2	總統副總統今天招待外賓
page 2	監院昨開首次會議討論議事規則決設審查會
page 2	司徒暫不赴平
page 2	憲政督導委會七月一日成立
page 2	上海米價狂漲關吉玉抵滬會晤吳國楨招待記者說民食無問題
page 2	孫立人熊式輝昨自台北飛滬
page 2	台稻作面積增加收成比不上去年
page 2	被捕日漁船由江浙漁業督導處接管
page 2	海南島不太平宋子文很着急新編保安團將開去作戰軍政人事也要重新部署
page 2	颱風暴雨襲粵水上漲堤基無損今年不會有水災發生了珠江水利局長楊華日談話
page 2	粵省參駐會昨開座談會商討有關大會事宜
page 2	粵漢路軍運忙部隊過處追捕逃兵百姓受擾風聲鶴唳
page 2	粵青年訓練班下月可望開始
page 2	汕頭配售米成績還不錯市民百分之九十二領證
page 2	萊普漢史蒂爾曼晉京美技術調查團十七日赴漢先到粵漢平漢兩路去看看霍夫曼宣布批准美棉一批運華
page 2	對美援期待甚殷粵漢浙贛兩路提出預算
page 2	唐縱昨飛閩
page 2	廣九路運費明天再調整三等二百廿七萬元
page 2	粵省運輸米糧將由軍隊護送
page 2	澎湖居民在苦難中旱災嚴重沒有飯吃二萬多人受着死亡威脅
page 3	法議會不同意對德決議皮杜爾想重開六國談判魯爾區管制問題要向美疏通
page 3	戴高樂煽動民眾猛烈攻擊許曼政府無能
page 3	聖地無戰事調解專員謀永久解決
page 3	希保復交有望兩國將進行洽商
page 3	西德合併會議決無限期延開
page 3	傳貝當病重法當局否認
page 3	目空一切的戴高樂
page 3	日本問題
page 3	日本問題美國扶日是其國策天助自助我們應該反省
page 3	根據波茨坦協定趕快召開和會
page 3	美國趕快警覺不要重蹈珍珠港的覆轍
page 3	馬來工人聯會被宣布為非法
page 3	捷克新總統高德華當選
page 3	日戰犯罪減一等卄名戰爭罪魁即受審不控他們犯一級戰罪
page 3	我國的驅逐艦用日製真空管以八千美元訂購一大批
page 3	扶植日本的侵略勢力是美國人民所反對的本報滬館時事座談會紀錄
page 3	美國對日政策是其世界政策的一環
page 3	蘆田準備下台中間路線政府使人民厭倦社民黨議員亦要求西尾辭職
page 3	美國民主大打折扣又一州禁進步黨競選竟說它不能成為政黨
page 3	暹羅藉口防共加強限制入境
page 3	日忠心的臣民請裕仁勿退位
page 3	宣布辭職後德欽努向左概述他的新黨政綱
page 3	迅謀經濟復興日五年計劃野心不小增加工業生產擴展對外貿易改善交通設備恢復國民收入
page 3	扶植日本侵略勢力將會威脅中國生存
page 3	四女孩早出娘胎一月兩箝子留在肚內十年
page 4	陷期債務問題陳丕士昨謁港督面述華商會意見港督說商民如不滿意可向英國殖民部陳請
page 4	償債法例明天二讀
page 4	九龍青年會址退還短期內可恢復工作籃球場及宿舍不久可修復
page 4	爭地睡覺一人受傷
page 4	港美輪船貨運價今天起增一成半
page 4	粵路枕木十萬根文伯常到港督運
page 4	鑄像款未足還要再募捐
page 4	廣州工程師續參觀工廠
page 4	麥唐納由京返港
page 4	轉換配米證期限展至廿五日截止
page 4	那裏的菜最便宜港府新聞處昨天發表中央市場的菜價最低
page 4	一隻戒指的故事男子文泉在光明金店搶了一隻金戒指託人去賣賣的人卻又拿到光明金店去結果兩人被拘
page 4	新陸軍司令馬調士抵港
page 4	染料人材織布廠商將設班訓練
page 4	徐繼莊案昨續審被告律師請求不再將案移轉高庭原告律師反對今晨再審
page 4	雙方律師退庭研究
page 4	自殺案兩宗女跳海男服毒
page 4	反扶日大會十九日舉行籌委會請各僑團參加
page 4	防空洞內搜出賊贓疑犯五人拘押候審被拘的傳是灣仔黑社會人物起出贓物警方疑與兩案有關
page 4	文件都有被告蓋章
page 4	朱紹跳海被人救起
page 4	兩個劫三個德輔道西昨發生
page 4	停止兌換糧券命令
page 4	郵儲匯局那筆交易
page 4	兩阻街女郎要遞解出境
page 4	行使偽支票疑犯增控罪名十五項男子昔克鴨巴士昨天提堂
page 5	香港商業五月清淡六月七月仍難樂觀商品成交數額空前稀少
page 5	五金業銷貨額平均減七十
page 5	工業原料跌得最慘房地產業轉向下坡
page 5	一般預料倒風將臨
page 5	商品市況普遍清淡描出金融沉寂背景黃金美匯國幣股票貢紙全面低盤
page 5	黃金起落幅度狹小
page 5	金銀貿易場改選理監事全港銀餔整日休暇且看明日開市新猷
page 5	台幣匯率今又掛高比前提高二五元
page 5	港日大規模走私總部係設在香港週來破獲三起案件日中美人都有關係
page 5	穗金鈔穩米價回跌
page 5	南甯金鈔挺日用百貨疲
page 5	週來國外市場桐油豬鬃價格由混亂趨穩定新結匯辦法實施後果
