page 2	社評美國接防冰島以後
page 3	德軍被迫向後撤退步兵兩聯隊全覆滅羅馬報紙承認德軍前進困難
page 3	維希與德將談判和約採取與德永遠協調政策自由法國方面如是傳稱
page 3	維希起草新憲法貝傾向極權制
page 3	美軍需品源源運抵中東品質優良英極感慰
page 3	美當局將要求撥巨款擴軍為數將及五六十萬萬元擴充陸軍加建兩洋軍艦
page 3	蘇聯遠東的軍備一
page 3	中美德僑武裝暴動拒絕巴警搜查首先開火啟釁
page 3	印將成立國防委員會在華維爾到任後成立
page 3	譚志表示願對英休戰曾通知英當局準備談判英軍三路順利推進
page 3	英美辦三國加緊合作抗德史達林與英大使長談美援蘇計劃進行迅速李維諾夫對英美廣播
page 3	蘇波舉行談判波蘭要求釋放在蘇波軍重新武裝對抗共同敵人
page 3	馬尼拉備義領館關閉德義領事定期赴滬
page 3	岡村赴任日退伍軍人成立匪躬會
page 3	希王抵南非儲君及閣員同行
page 3	敵內閣將改組近衛訪木戶傳與辭職事有關敵擬提早併吞越全部
page 3	日本野火灼及南美協助秘魯軍火企圖擴大爭端美正領導南美國家從事調停
page 4	羅斯福總統又一重要宣布美國撤消國防界線英首相暗示英美海軍將合作保證美物資輸冰島護航至英
page 4	烏拉區的輪廓畫續
page 4	倫敦泰晤士報盛贊我顧大使
page 4	越米輸日發生難點
page 4	美國機師源源來華飛機亦多運華
page 4	德僑一批即將離華
page 4	中蘇人力充裕力能控制極權國家拉第摩來華途中發表談話
page 4	周恩來呼籲團結
page 4	閩南詔安無敵蹤我反攻黃岡獲勝
page 4	芳澤回抵東京
page 4	敵機襲渝投擲荒謬傳單
page 4	新生活運動會決定擴大傷兵之友工作並派員赴美宣傳及勸募
page 4	政院會議彭昭賢繼任陝民廳鄧川山為僑務委員
page 4	桂林雜訊
page 4	僑胞子弟回國就學僑委會將在閩設校
page 4	敵輸出限制採取領證制度絲茶等物除外
page 4	預算編制困難日謀縮減戰費
page 4	發展水電動力我專家實地調查中
page 4	胡達胡蔭槐等響應獻糧訓示
page 4	張導民等自渝返韶
page 4	勢不並立
page 4	美擴展國防線
page 5	福克斯召集金融界商討滬經濟狀況預定留滬兩週實地考察一切盛讚自由中國人民勇敢精神
page 5	運自由區物品外匯儘量供給
page 5	福泰兩氏重要履歷
page 5	桂建倉積穀限期十一月底普遍完成
page 5	台山縣境煙賭林立不肖員吏串同庇縱李專員已嚴令根絕
page 5	偽中山縣長準備粉墨登場
page 5	中樞推進邊地教育徵集邊地教育史科訂頒辦法重賞徵稿
page 5	國府明令公布糧食部組織法
page 6	我在港設領事館未達到成熟階段各種具體問題有待解決刁作謙氏昨對記者談話
page 6	警司俞允時暢談重慶觀感在渝時渠臥室亦被炸燬盛讚重慶防空設備完善
page 6	我們的沙遜到何處去港英人捐到十萬鎊沙遜爵士捐十萬鎊
page 6	留港參政員陸費伯鴻昨逝世遺體今午二時舉行大殮陸費氏經營中華書局三十年
page 6	威爾堅斯氏今日飛渝表示深信中國必勝
page 6	商界多要求減低戰時保險費率希望保率減至千分之一華商會前日再提出討論
page 6	稅務學校報名招生
page 6	英人酒醉行凶毆斃電般駕駛員被擊兩拳倒地窒息而死凶手已拘獲被控殺人罪
page 6	九龍元朗巴士禁客企立公司增加班次
page 6	警察司通告離港須領證十六歲以上者須遵行華人及過港者得例外
page 6	英輪由滬駛港途中又受日艦搜查先用燈探照繼水兵登輪航至廈門復受颶風威脅
page 6	霍亂流行數字已逾千宗超過去年總數
page 7	足球總會開年會選出本屆職員黃家駿蟬聯主席史美連任會長通過新例多項足球門票竟漲價
page 7	公開夏令籃球賽今午揭幕初級童訊對團結先開鑼高級警察戰康元有惡鬥
page 7	我國體育的回顧與前瞻
page 7	學界單車大比賽喇沙獲冠軍聖約瑟書院名列二三個人第一生白亦係喇沙學生
page 7	外匯牌價申匯略漲英匯美匯市況沉寂
page 7	股票步步趨漲昨日成交總值七萬餘元
