page 2	汪記醜劇與華北日偽
page 3	第五次參政會開幕蔣議長有重要報告抗戰勝利基礎已完全奠定並指出日軍窘態漢奸末路參政員報到踴躍會場情緒熱烈 
page 3	固守既定方針國際同情日增
page 3	增進農業生產加緊經濟建設
page 3	日本國內情形混亂黑暗已極
page 3	國府文官長斥汪僭 竊名器國內外一致通電討汪
page 3	滬西怪現象小賭窟被迫關閉大賭窟照常營業
page 3	內地工業突飛猛進中各種工廠紛紛出貨粵省需要技術人才甚殷
page 3	滬日人覬覦公共租界行政要求增加日董名額各界對此極為關心
page 3	國民大會婦女競選會在渝成立選出理事
page 3	滬又一槍殺案漢奸宋錫政被人擊斃虹口一男子被人刺死
page 3	偽五色旗王逆堅持不予廢除將改作偽新民會旗
page 3	蔣委長購得新機為美富豪所有設備極為完備 
page 3	日外相談話不滿美國謂為搗亂因素
page 3	對汪偽組織各國輿論一致予以嚴斥
page 3	赫爾作正義表示後中美友誼更進一步王外長發表重要談話
page 3	充實基層政治以立憲政治基
page 3	軍事勝利基礎業已完全奠定
page 3	蔣議長大會開幕詞全文
page 4	晉南戰事轉劇我軍各路分頭出擊犯上思日軍再遭挫敗蘇北我軍在沭陽獲勝
page 4	菲總統奎松定今夏訪美各方對此極為重視一般贊成重新考慮獨立案 
page 4	邱吉爾演說法反響良好堅決作戰對蘇和好尤為官方人士歡迎
page 4	法高空商用機完成法國巴西間飛行
page 4	德國搜集全國銅料銅鐘亦須繳交政府
page 4	德白皮書對美橫加抨擊
page 4	日閣之危機預算實施將遭反對內閣命運端繫於此
page 4	英法與巴爾幹土對聯軍召詢各使節認為意在壓倒德勢力
page 4	捷學生反德殺斃德政治密探
page 4	西線趨緊張砲戰劇烈部隊出擊專家認為大戰先兆
page 4	探險家白德已返抵智利
page 4	法駐義大使返國述職
page 4	瑞京舉行北歐四國會議討論一般政治局勢及經濟合作各問題
page 4	寶貴同情美大使捐款五百元建造渝市民防空洞
page 4	蘇里資行抵羅京將遄返莫斯科
page 4	參政會開幕
page 4	有田之解嘲
page 4	川新縣制實施甚為順利
page 4	島村的生活狀態
page 4	韋爾斯致函波要人對波民族表同情
page 4	英議院復會張伯倫將出席報告
page 4	戰時日本農村三三重縣的農村拾零
page 4	晉南展開大戰綏西追殲殘日
page 5	我軍各路推進江佛路形勢又緊會城西南郊日偽被襲擊
page 5	北江民船業一頁興衰史粵北戰後景象凋零船員急待組訓領導
page 5	當前的問題
page 5	第二案前任市商會委員馬少荃亦遭狙擊 
page 5	雷州海關佈告出口貨物結匯辦法
page 5	第三案新申報記者許申在虹口突被暗殺
page 5	孤島市民深明大義汪偽組織樹立聲中積極推行廉恥運動
page 5	組織兒童規諫團
page 5	滇緬行十五
page 5	上海兩小時內三起鎗擊案馬少荃車中遭暗算兩漢奸飲彈受重創
page 5	第一案偽兩路黨部委員薛顯揚身中四槍
page 5	慘痛的回憶
page 6	各婦女團體昨成立傷兵之友運委會通過組織章程選出職員函請各女校校長為徵求隊長
page 6	開會理由
page 6	組織大綱
page 6	大會職員
page 6	兒童節獻旗昨發出九萬枝
page 6	基督教青年會昨舉行聚餐會梁小初報告青年會四種工作王正廷費吳生致詞勗勉
page 6	鄭和帆船險遭焚燬多米尼灣海面機房突然起火
page 6	澳洲牧師瓦特斯在日曾被拘捕覊押三十七日始予釋放上週末抵港轉程返澳洲
page 6	宋哲元在川病重兩女趕往探視
page 6	利舞台
page 6	中央戲院
page 6	永寧大藥房定今日開幕
page 6	宏興鷓鴣菜兒童節贈品
page 6	粵省府調查粵僑團體狀況寄來團體學校等調查表三種華商總會通告各界填寫
page 7	九龍會不堪一擊東方淨勝五球亞輝賣力表演冠全場 
page 7	東南大戰收入逾四千元週末秩序排定
page 7	南華職員初選選出一三五人顏成坤陸靄雲票數最多
page 7	滬史考托盃決賽麗都蟬聯錦標五比四勝來很險小三子受人擁戴
page 7	外匯牌價無變動美匯市況昨趨勢仍緊申匯英匯市況均穩靜 
page 7	股票市況不振全日成交約六萬元
page 7	八九金市漲風益熾人心趨好買胃頗暢
page 7	世運會芬決停止舉辦
page 7	首次馬拉松冠軍逝世
