page 2	社評非洲英軍又勝
page 3	豫南戰事益見好轉蘇浙我軍圍攻長興宜興一帶重要據點先後收復
page 3	日對泰越陰謀美國密切注視
page 3	澳空長演講嚴防日人侵略
page 3	泰越代表首途赴日
page 3	荷印對日聲明拒絕新秩序對日方建議提出對案日報咆哮大事恫嚇
page 3	邊界戰火熄而復燃
page 3	日本俘虜感激我優待痛恨日軍閥
page 3	朱家驊就中研院長潘公展等同時就職
page 3	星野在日議會中暴露南侵野心東京連日開參謀長臨時會議總動員法改正案提前付討論
page 3	通過預算數字驚人
page 3	總動員法提出改正案近衛解釋案由
page 3	光天化日竟圖縱火滬日人一隊衝入跑馬廳林雄吉案後又一傑作
page 3	特一法院被暴徒投彈
page 3	申報記者金華亭遇害金會被汪通緝
page 3	滬茂生洋行兩華員被綁與去年鉅竊案有關
page 3	滬滄洲飯店竟開設賭場英僑郝金斯被逮逋
page 3	蒙藏回三族代表晉謁蔣委員長呈獻錦旗並致頌詞
page 3	末次發表狂言公然向美挑釁瑞典報謂德迫日本吞食苦丸
page 3	綏省派員慰問伊盟
page 3	糧食會議定二十日舉行今日開預備會
page 4	東非英軍又獲勝佔領阿哥達鎮巴倫杜在猛烈圍攻中
page 4	法德僵局迄未打開達蘭啣命再赴巴黎巴杜恩將自巴黎返維希
page 4	日在淪陷區內經濟侵略失敗
page 4	英機襲擊法沿岸海港嚴密偵察德軍行動提防發動對英進攻
page 4	美眾院開始辯論租借案並將於八日付表決總統權力將成主要爭論
page 4	美當局增強菲陸軍後備隊五千名將入伍受訓練
page 4	金氏廣播加努力擴軍預料德將發動攻勢將增派陸空軍援英
page 4	希軍保持主動克里蘇拉以北山地整個已入希軍手中
page 4	澳總理飛抵近東或將赴英一行
page 4	如此新秩序
page 4	日本的新預算
page 4	末次之言
page 5	第七區定十日起召開行政會議謀調劑糧食提高文化水準高欽區兵役會議同時舉行
page 5	粵衛生處訂定本年度施政計劃增設東江西江補助醫院
page 5	駐邕各機關團體電請救濟災黎前撥振款業已全數用罄災情慘重丞待繼續救濟
page 5	澳門米價入春續告回跌
page 5	湘加緊籌辦中正大學成立籌備委員會
page 5	抗戰已逾三年公務人員更宜湔除惡習中央通令全國遵照振刷精神激發意志
page 5	岐澳交通昨日又告恢復
page 5	中山沿海日艦增加圖封鎖三澳水道
page 6	董顯光奉蔣委員長命來港迎寇里赴渝寇氏為羅氏智團一員如無遲誤明日可抵本港
page 6	旅港各屬粵僑購糧會明日成立籌備委會昨晨發出公函南路中順等地米價日高
page 6	糧食統制專員通告貯存豆類豆商認限制貯量過巨麵粉亦由即日起存貯
page 6	華南兒童教養會捐募運動已達目標半數美紅會代表捐美麥一批
page 6	白萊遜昨赴惠淡視察
page 6	防癆協會報告防癆贈醫所工作五所共診病人約七百名
page 6	東區教聯會徵求會員博愛隊昨招待各界
page 6	某方大舉購買越米期貨七十萬噸
page 6	牙專畢業生不滿意登記法牙醫公會曾請當局改善政府答覆須試行六個月
page 6	港府無意取締響導華人代表羅文錦談
page 6	英京酒家建築華麗地方寬敞
page 7	鍾聲慈善籃球賽星島男女奏捷東方平正力拚遭敗績
page 7	星島足球征菲隊廿四大軍啟行人選大致內定擬起用梁彥贊南華征菲決定下月九日首途
page 7	滬預組足球決戰東華榮獲錦標邦綸救出十二碼球功不可沒二比一力克猶太
page 7	本週足球節目二月八日星期六甲組聯賽
page 7	西園體育會辦會友足球賽
page 7	外匯牌價俱無變更美匯淡靜申匯穩定
page 7	股票市況穩靜買戶寥落價格有趨跌之勢昨日成交值三萬餘元
page 7	四四金市先靜後穩
