page 2	社評美宣佈凍結中日資金
page 3	英美開始行動聯合發動經濟制裁宣佈凍結日本資金英并通知日本廢除英日三商約我在美資金採用領照辦法
page 3	華盛頓已具決心採進一步行動對日展開全面經濟戰美威力必可擊敗日本
page 3	夏威夷美軍突奉準備令
page 3	格魯訪日外省傳達凍結令
page 3	越南已訂賣身契日軍將侵入南圻
page 3	美商務部簽發執照俾維持遠東之商業
page 3	郭外長發表宣言斥日侵略行動我決益加緊厲行反侵略國策
page 3	我促英美當局對日全部禁運
page 3	日將開樞院會議討論應付方策昨宣布凍結美資金以為報復
page 3	美明快行動我極表歡迎
page 3	荷印與英美採平行行動
page 3	駛美日輪進退失據
page 3	滬英美銀行一律停付美匯並公佈兩項臨時辦法眾認係打擊日本保衛中國
page 3	英公使訪鑾披汶商談一小時半
page 4	德軍一籌莫展史達林線依然膠着
page 4	蘇派軍事團赴美洽商購買軍用品艾登接見中蘇大使討論援蘇
page 4	胡大使訪韋爾斯交換越南問題意見
page 4	錢泰抵美陳介等在赴美途中
page 4	英財政授權法案經眾院全部通過
page 4	論日本南侵一
page 4	戈培爾失寵納粹撒謊家圖窮七見
page 4	英帝國一致擁護對日作無情打擊
page 4	美委勞艾斯任駐英武官
page 4	美總統不滿惠勒之作為
page 4	敵政治體制每況愈下日又侈言強化內政
page 4	星洲中外人士同情我抗戰二十萬簽名呈蔣委長印度對我亦深表同情
page 4	敵厭戰情緒濃厚一部集中廣州近郊準備南開閩我軍收復東張宏路兩據地
page 4	參政會駐會委員會議郭外長報告國際情形
page 4	秘魯與赤道國邊境戰事解決
page 4	潘必貴求仁得仁
page 4	康省參議長譚其茳溺斃
page 4	教部着手調查各地教育行政
page 4	劉海粟在星舉行畫展
page 4	英美行動了
page 4	日本如何
page 5	國立中山大學易長掀起大風潮部令張雲代理學生群起反對宣言擁護鄒魯呈請收回成命
page 5	粵省明年度振濟計劃將側重生產之根本救濟
page 5	粵加緊協助僑胞出入國東江護僑所決移遷南路遂溪廣州灣設立護僑站
page 5	墨西哥華僑熱烈紀念七七程天固發表廣播演說
page 5	第四年抗戰經過九
page 6	港督昨頒布命令凍結日在港資金美凍結我資金我無影響
page 6	華人代表謁港督商平抑米價事譚雅士發表商談經過認一時尚無實際辦法
page 6	港府下月起增加低級職工津貼每月除薪金外加發五元職工多患營養不足病症
page 6	模型飛機演放比賽
page 6	旺角售菜站昨日進行順利售出各種菜蔬計四十擔所售者均較菜欄為廉美
page 6	公平售菜價格一覽
page 6	港教育局舉行會議討論各種教育問題擬注意漢文教育之發展洩漏試題事件仍未查明
page 6	憲報昨日發表防範燃燒彈法當局得清除各樓房物件指定人員看守以防火災
page 6	一元獻機運動暫中止推行
page 6	南方中學舉行畢業典禮
page 7	中華起用少壯派依然打勝南華六比三中華在首次兩局即得分港啤退出中華前途似錦
page 7	華員泳場開幕
page 7	黑貓大發雄威少雄慘遭敗北初級組電青小勝童訊今日高級康元對珠江
page 7	居聯會籃球隊征澳秩序排定下月三日開戰澳三勁旅迎抗港九澳區小球賽澳隊練兵忙
page 7	美路杯賽文協勝五邑
page 7	青年棒球團今日練兵甲乙分組舉行
page 7	勵進團定下月十六日再抗域多利
page 7	記者公會會員海浴聯歡
page 7	培英校友會舉行校友游泳
page 7	孤島體育談孤島遊客
page 7	韶關總裁杯賽足籃球戰熱烈
page 7	外匯牌價仍無變更美匯申匯市況仍淡
page 7	股票市況不振買賣依然寥落
page 7	國幣市況續趨下游
