page 1	今年度日本復興計劃
page 2	國大今天三選副總統蔣主席保證投票自由三候選團恢復活動停止攻擊
page 2	三候選人談話孫程都表示應選而不競選李宗仁請助選團不要灰心
page 2	論政治家的風度下
page 2	國大成立永久機構主席團有綜合意見建議成立憲法研究委會
page 2	避免攻訐宣傳李俊龍訪京各報商洽
page 2	坐吉普車肇事國代撞傷國代吳九如尚未脫離危險期
page 2	胡適談選舉鼓吹不記名投標的好處
page 2	于右任陳立夫傳任國民黨正副總裁
page 2	陳誠即返京
page 2	國際關稅貿易協定蔣廷黻代表中國簽字
page 2	王逆揖唐廿九日公審
page 2	中航央航舞弊案八個人提起公訴
page 2	開發華南如箭在弦美將派工業考察團來華美援華執行人傳已決定晏陽初霍夫曼曾有商談
page 2	向哲濬抵滬遠東法庭定下月中開庭日戰犯廿五人屆時宣判
page 2	美國人隨便入境常常沒有取得入境簽證內部令台省府禁止登陸
page 2	美國米不受歡迎滬當局配給米店准加三成
page 2	廣州防範學潮聲中宋子文召開座談會本屆各校畢業生將擇優錄用希望學生在安定環境中求學
page 2	粵省級機關決裁員本月底以前裁百分之十五省立各級學校教員也在內遣散費公糧需款百餘億元
page 2	改革兵役粵省務會議通過方案
page 2	穗汕公路趕修中這是加強粵閩交通的初步
page 2	萬里輪乘客全部安全登長城輪行李物件亦無損失
page 2	交大罷課一天滬各校籌組反迫害聯合會平師復課發表休罷宣言
page 2	遼西冀東緊張唐山近郊激戰
page 2	鼠疫不致蔓延湛江等地情況不嚴重
page 2	寶雞情況混沌濰縣國軍撤守
page 2	國行貼放委會昨天在滬成立棉花打包廠管制法制定
page 2	關麟徵今天飛滬
page 3	阿拉伯六國已進軍聖地聯合國尚在談緊急措施法擬建議組派武裝警察隊
page 3	阿猶砲戰激烈雅法爭奪未已聖城情勢亦緊
page 3	阿人發出警告成立獨立國家
page 3	美國的百萬富豪
page 3	戴洛評美政策抨擊軍訓與徵兵計畫
page 3	韓人反對選舉濟州島已有三百餘人犧牲
page 3	尼赫魯演說指摘巴基斯坦
page 3	美國鐵路工人將實行總罷工
page 3	日政府繼續採高壓手段韓僑團結爭取教育獨立各校負責人反抗封閉多被捕美當局宣布以武力防止騷動
page 3	緬甸今年的潑水節男女狂歡之外還有政治意味
page 3	義軍警封鎖米蘭禁止共黨分子入境再示威
page 3	日共發表聲明要求解散議會將展開運動迫蘆田下台
page 3	西歐五國商聯防五國防部長將在倫敦會議
page 3	五國社會黨設聯合委會
page 3	納粹郵票竟成珍品祖母骨灰誤作咖啡
page 3	特港衝突義南巡邏隊各死一人
page 3	美移民法醞釀修改外商返國得再入境議員提出兩法案即可通過
page 3	暹羅南部發生騷動回教徒與政府軍警衝突
page 4	英國撥款協助香港推進戰後建設工作戰時損失賠償不由公款支付
page 4	墊付款項概作贈與築建機場費用有着
page 4	紗廠的困難
page 4	青年作品展廿九日獎評
page 4	解決華商總會糾紛許讓成提折衷辦法
page 4	慶祝總統就職本港放假一天
page 4	築工人宿舍已進行商洽
page 4	人力車夫昨決議無限期停繳車租
page 4	續審徐繼莊案滬郵匯局長出庭作證述他和徐繼莊的談話威廉臣說曾代徐打電報給楊慕琦
page 4	香港國殤紀念基金希望大家繼續捐助韋廉士昨天發出呼籲
page 4	布力文女士訪問各學校
page 4	旺角小輪上學生拒賭被毆
page 4	肥波蘇案續傳證人
page 4	青年會徵友結束昨日舉行褒榮讌頒發各項成績優良獎品
page 4	香港的扒手三
page 4	勞工職業婦女福音女青會辦托兒所定五月八日賣花募經費
page 4	香港黃埔船塢盈利三百多萬一切設備逐漸恢復原狀
page 4	少婦告翁強姦法庭認為不實
page 4	少婦的供辭
page 4	三盜白晝械劫警士追捕途人受傷
page 5	事出有因查無實據金融市場無風起浪謠傳港府發布外匯管制文件
page 5	國內金市開放之謎
page 5	美匯晨落午回
page 5	股市穩
page 5	申請外匯困難下日貨來港另一途徑據說滬港有人包船往朝鮮辦貨
page 5	豬鬃出口活躍每擔喊價千八百元
page 5	外匯調整觸雷國大開會期間避免刺激物價
page 5	國行經理赴滬開會中信局另設副經理
page 5	自備外匯貨品申請收購不多尚待收購的有千五百美元
page 5	吧城金融動盪尼加幣猛升至○二五
page 5	馬來亞市場高等貨品暢銷次等日本貨充塞市場剩餘軍用品大量拋售
page 5	天下烏鴉一般黑
page 5	國行貼放會成立票據抵用有限期短斯庫券將發行
page 5	中央信託局紐約分局即營業資本二百五十萬美元
page 5	穗銀根奇緊金融可望盤穩暗息高申匯徘徊九七元
page 5	馬來亞三月份橡膠生產劇增共計五萬八千餘噸比二月份增八千噸
page 6	港全運隊定期出發下月二日首批動程全隊職員選手共一一二名其中包括觀光性質者六人
page 6	香港全運足球隊理想陣線怎安排
page 6	全運大會場月底前竣工
page 6	發揮高度作戰精神爭取錦標亦有希望
page 6	一個理想安排
page 6	見聞兩則黎兆榮入選為
page 6	公開網球準決賽葉觀雄勝蔡天福今天續有單打準決賽一場徐煒培出戰息格蘭
page 6	全運會與世運會七
page 6	唐宣慶放水水球隊險些觸雷潘永楷勉任艱巨
page 6	西貢華僑選手昨天過港轉滬
page 6	志強中學設學童遊戲場
page 6	閩省選手首批抵滬華北代表在航程中
page 6	青年會舉辦青年作品展覽五一舉行團體施行
page 6	體協分會定期宴選手
page 6	南華征菲首戰失利
page 6	粵穗完成淘汰選手出發昨天開始進行急募首批選手昨抵滬
page 6	學籃爭霸戰保羅遇中華
page 7	粵第一清剿區戒嚴各縣奉令實行宵禁
page 7	開平暫戒嚴兩月並禁止鄉間演戲
page 7	潮汕交通漸趨麻痹共軍有計劃地從事破壞各縣軍用電線多被割斷
page 7	晉江一幕鬩牆之爭同盟會會員被圍毆
page 7	東莞大雨夜有吏夜捉人抓了卅名適齡壯丁
page 7	桂林山水地自殺的人多一日之間發現三起
