page 2	社評援蘇應更進一步
page 3	鄂西我軍克復當陽沙市岳州迫攻中鄂北綏西我軍正加緊出擊薛岳將軍談我已開始反攻
page 3	綏遠我軍出擊進抵薩縣附近
page 3	東戰場我猛襲宜興敵受重創
page 3	米蘇里大學弔季鸞先生函本報表示慰唁
page 3	我財政專家忙於搜集各種資料以備倪邁雅等參考
page 3	美總統賀我國慶林主席復電致謝
page 3	美議員大聲疾呼放棄對日妥協日外交官在美非法活動建議應將若輩驅逐出境
page 3	本報渝版籲請美國擴大援華
page 3	日閥之苦悶南侵北進尚徬徨不决滬又傳遠東蘇軍抽調
page 3	荷印陸軍總司令乘機失事殞命英國聯絡員亦同時殉難
page 3	倫敦泰晤士報著論檢討我卅年來大事
page 3	上海物價飛漲法幣已跌至最低紀綠
page 3	節約建國儲券銷數逾五億元
page 3	普法姆飛澳出席會議
page 3	滑翔協會購得美雙座機圖案擬築百尺降落傘台
page 3	澳洲設立戰時顧問會議朝野兩黨衷誠合作
page 3	韶關建設新市區計劃需款三百餘萬元
page 3	開發西南實業虞洽卿等在滇接洽
page 4	歐俄霜雪載途蘇德空前血戰德軍輪傷一萬二千人
page 4	德軍已佔領伯里揚斯克
page 4	蘇軍整個陣線迄未被德衝破
page 4	蘇俯衝轟炸機予德嚴重打擊
page 4	德方繪形繪聲製造勝利消息
page 4	英朝野關懷實踐援蘇問題報界多主張進攻歐陸裴佛布羅克述物質援蘇工作
page 4	蘇軍新火器每分鐘發砲六十發
page 4	噴火山上的日本一
page 4	義輪偷渡地中海被英機俯衝擊潰商輪三艘被魚雷命中
page 4	加拿大將運坦克赴蘇年底以前可交貨
page 4	加國防部長昨抵倫敦加參謀長偕行
page 4	印軍準備行動迎抗德軍攻勢大軍百萬可隨時開入高加索
page 4	康納里預測中立法可修正武裝商輪事可通過開入戰區問題勢將引起反對
page 4	波隆開萊之間遭英機猛襲火焰照耀整個海峽
page 4	德西北部亦遭猛襲
page 4	援華第一
page 4	伊朗日公使館庇護反英人物
page 4	菲女嫁與日人國籍發生問題
page 5	粵農工業建設積極擴展改善中增加生產工作收效良好整理舊工廠建設新工廠
page 5	晚秋慶豐收二
page 5	桂地方行政會議出席專員縣長名單公布
page 5	我國訪緬團參觀仰大記院內設備完善宗教信仰自由緬甸教育發達文盲較少
page 5	大良雙十節前夕發生炸彈案兩起敵偽死二人傷七人
page 5	全國女青年徵文競賽截止期定十一月三十日
page 5	馬來亞積極佈防生力軍源源抵星空軍方面實力益形增強
page 5	粵省加強戰區禁政粉碎敵偽毒化陰謀嚴密查緝防止偷運
page 5	粵北滑水山森林面積廣闊省府設保管處進行開發水利局擬建乳源灌溉區
page 6	港府平息鎳幣恐慌明昌發出十萬元并印一毫五仙輔幣券旬日內即可發出流通
page 6	的士勞資糾紛解決裁判書昨發表每人每日工作十小時每月發津貼四元八毫
page 6	記者公會響應一元獻機昨日舉行理事會
page 6	英大使昨飛渝在港與英美要員會晤澳駐日使昨離港返澳
page 6	教育家蘇鼎由美返港應中山大學聘請
page 6	防空工程案審查委會嚴詰史劉兩人關係史承認劉美美和藹可親但力證兩人絕無秘密事
page 6	金屬交易三十元以下者得免領特許證
page 6	特務警察八十七人昨日舉行宣誓入伍羅棟勳陸靄雲主持典禮一部畢業生選入深造班
page 6	領入境證困難僑胞改領護照我外部駐港負責人談稱請領護照手續甚為便利
page 7	全港公開渡海泳男女錦標得主尤世坤第一劉帝炳名列第二吉打利士蟬聯女冠軍
page 7	鐵城杯賽星島民大勝仗
page 7	夏令籃球比賽星島再戰黑貓
page 7	南華會田徑部舉辦周年陸運擬於罌花節起一連兩天舉行田徑測驗賽成績極佳
page 7	星洲足球聯賽空軍和華人社爾罰球得利國材頭頂建功一比一錦標未決
page 7	申匯市況轉趨鬆弛英匯美匯依然沉寂
page 7	股票市況略好蘇德戰事影響賣戶頗多拋出昨日成交二十四萬餘元
page 7	滬標金價大見高漲
