page 1	社評從上海攤販案看經濟民生
page 2	國大廣泛談論憲草有數代表認為國大權小今天大會繼續發表意見
page 2	關於憲草問題孫科答記者問
page 2	一統與均權上
page 2	各方意見一斑
page 2	建都問題討論熱烈南北表所見各有不同
page 2	十屆國大不宜行憲五五憲草已不適用蔣主席在中樞紀念週致詞
page 2	蔣主席續邀宴國大代表
page 2	青年黨方張與特性陳啟天昨招待記者說明
page 2	國大會場內外本報南京二日發專電
page 2	張善與提建議以南京為東都
page 2	國大代表報到昨日續有六人
page 2	孫寶毅談話
page 2	蘇北戰事仍在進行東台城郊血戰三畫夜淮北漣水前線雙方結庥大軍
page 2	葉劍英飛哈埠傳將會晤毛澤東
page 2	美報評論國大
page 2	美希望我局勢穩定華府外交界談對華政策
page 2	中共方面指責中美航空協定
page 2	洛惠渠五號隧洞已穿通
page 2	周逆佛海案送呈嚴高法院覆判
page 3	裁軍問題將暫時擱置聯大政委會再議否決權英國提出限制使用方案
page 3	倫敦隨筆
page 3	蒙帥抵希京將召集英將領會議
page 3	伊揆態度堅強政府軍決定進軍亞省如有意外事端亞省當局負責
page 3	土耳其總理巡視土希邊界
page 3	塞浦魯斯島要求返歸希臘
page 3	拉加第亞傳將辭職
page 3	被扣捷船舶美陸續交還
page 3	太平洋是美國的海洋美海委會主席說
page 3	法越衝突河內情形緩和
page 3	人肉饅頭匈牙利盜黨作此勾當
page 3	國際零訊
page 3	聯合國永久會址傳可能在舊金山
page 3	英美締軍事同盟說英陸軍部已正式否認
page 3	生活在法國
page 3	尼赫魯對會議淡漠真納仍主印回分治
page 3	港踢死小販案宋子文有指示
page 3	打開印度政治僵局倫敦會議今日開幕會議秘密舉行定期五日
page 3	美工潮不樂觀煤礦罷工倒挂不決鋼鐵工人又要加薪
page 3	華僑復員八百人將離廈
page 3	中國地質圖明年五月完成
page 3	中長路蘇職員一批昨日離瀋
page 3	對蘇藉職員待遇長春路局有聲明
page 3	韓僑全部撤離中國天津當局通知韓人準備
page 3	郭懺不服彈效蔣主席派程潛複查
page 3	美流動房屋出現西子湖
page 3	漢市警察兩月未發薪水只有一點維持費警士叫苦連天漢市各報參加勞動服役
page 3	暹首任駐華大使杜拉勒克抵滬即將晉京遞國書
page 3	天津行情
page 3	孫越崎談東北資源鑛藏豐富農產品亦富饒境內鐵路縱橫運輸便利
page 3	中長路撞車死傷十餘人
page 4	攤販騷動昨日平息滬市商店全部復業衝要處軍警仍嚴密戒備黃浦老閘兩區已有攤販出現
page 4	深水埗文化夜學發生學童謀殺案行兇者僅十五歲被殺者立即斃命
page 4	黨部昨邀有關機關商討善後處置綜合各方意見提出六項辦法
page 4	王先青報告
page 4	水祥雲檢討警察風紀
page 4	攤販風潮各方觀感
page 4	港粵合作緝私私梟仍活躍強有力者包庇保證私貨到達
page 4	方治下結論說是異黨搗亂
page 4	高生大損失二億市長慰助百萬元
page 4	拘捕搗亂嫌疑犯前後共四十餘人大多為小販也有一二竊賊
page 4	邑廟分局
page 4	失業僑胞歸鄉仍未恢復登記當局尚未撥定經費預算需七十萬元
page 4	各電影院又恢復客滿門票被操縱
page 4	攤販代表包桂枝追敘請願經過
page 4	市長召見甚為感動
page 4	跪訴參議會陳情乞援手
page 4	石塊敲玻璃永安公司損失最大統計價值四千餘萬
page 4	當局分派代表慰問受驚記者
