page 2	社評東京談判與世界與論
page 3	晉東南全部肅清中十萬大軍各路報捷Ｘ掃蕩幻夢粉碎圖退守交通線沁水附近Ｘ兩聯隊全部消滅
page 3	北路慰勞代表到達冀察戰區向全體將士舉行獻旗禮
page 3	Ｘ酋多名由滬赴平會議
page 3	法幣問題檢討
page 3	蒙邊空戰激烈日偽極憂心
page 3	寶貴的同情比利時中國友誼會促其國人援華制日
page 3	緬甸僑胞發起獻機運動
page 3	汪逆用賣身錢實行恐怖政策
page 3	義商輪船在鎮海口被搜
page 3	Ｘ軍需車在豐台附近傾覆
page 3	滬Ｘ記者碰了一鼻子灰
page 3	滬偽市府劫捕西人昨無條件釋放
page 3	浦東壯丁強迫受訓
page 3	回民救國協會會員代表大會蔣委員長親臨致訓
page 3	冀中之Ｘ決河淹沒禾稼
page 3	黔保安處召開保安會議
page 3	高逆冠吾在寧被刺
page 3	在滇外商組織協會
page 3	英報力促政府支持中國法幣平衡準備基金並未枯竭僅有一部流入日人之手
page 3	眾院質問法幣跌值
page 3	滬裝訂業罷工傳有人在背後煽動暴動案續拘嫌疑犯
page 4	東京賡續談判日提七項要求傳有數項英已同意美國遠東政策不變
page 4	顧大使談話英國妥協惜
page 4	滬英僑商會不滿對日退讓特致電倫敦中英協會說明英權益將受其害
page 4	美日商約畢德門氏預料國會可望取消
page 4	蘇政委會舉行年會
page 4	英蘇法三國將舉行軍事會議與政治談判平行並進愛恩塞將銜命赴蘇聯
page 4	向暹羅當局進一言四應該與中國攜手共求進步
page 4	英機三次飛法成績異常美滿全程不着陸安然返防民用航空將大事擴充
page 4	暹羅學生抵德德團體設宴招待
page 4	希特勒由紐倫堡抵貝萊特參加華格湼紀念會
page 4	荷屬東印度增強海防柯里恩在眾院宣布新閣計劃
page 4	英陸相在眾院報告駐華軍費去年止達百八十萬餘眾院通有過議員基金案
page 4	美東部大旱農產品將歉收情形甚嚴重
page 4	美法重訂商務協定
page 4	美巴締約案美眾院已通過協助抵抗侵略
page 4	Ｘ派浪人赴滬企圖擾亂租界
page 4	英波借款問題遲遲未能解決財相西門表示抱憾
page 4	下級特務
page 4	法幣問題
page 4	滬Ｘ搜查民居結果毫無所獲
page 5	Ｘ軍再犯橫門圖在玻璃圍登陸激戰一小時我將Ｘ擊退七頃山被佔沿海仍吃緊
page 5	綏靖公署召開粵全省兵役會議改進役政結果圓滿縣長會議指示綏靖機宜
page 5	廣東各縣辦理農貸省行撥款一百萬元
page 5	粵省府省務分議決補助義教經費
page 5	瓊Ｘ被殲大舉增援我軍襲擊頗有斬獲
page 5	陳嘉庚等發電擁護政府拒和談話
page 5	北海禁輸洋貨
page 6	燈火管制演習今晚大規模舉行九時至十一時掩蔽燈火防空處通告須嚴格遵守
page 6	Ｘ軍進犯汕尾大批漁船被焚千餘漁民被殺空前慘劇四十餘人逃出昨已抵港
page 6	官製鴉片烟製烟費增三萬元人口增加公賣鴉片暢銷今日立法局會議請追撥
page 6	廣州Ｘ軍封鎖珠江粵Ｘ領稱純軍事行動搜查華人防軍票入沙面
page 6	小販聯會選舉職員定八一三大義賣
page 6	海壇觸水雷後幸未陷於危險近已緩行來港明日可到皆料係Ｘ海軍所置放者
page 6	對東京協定港英商會未有若何表示
page 6	本港山頂區昨晨突聞砲聲各砲台未演習來歷不明推測係粵Ｘ軍進擾中山
page 6	留菲華僑愛護祖國曾捐款二千萬元李福林等昨返港
page 6	獻劍慰勞籌委會八一三晚舉行文藝晚會並擬舉辦歌伶義唱籌款
page 6	汽車學校招考第五期新生
page 6	赴澳旅客注意勿購塗改防疫證書狡黠之徒自行注射冒領當局宣佈違者當受重罰
page 6	學生賑濟會成立暑期救傷班
page 6	中青救護團聘請醫師回國服務
page 6	洪流劇團定期公演八月二日在皇后
page 6	寄滇郵包郵局暫停收寄
page 6	留港我士兵香港政府與中賑會將合力建築新軍營
page 7	南華在怡保出色興奮打走霹靂聯四比一馮陳黎三傑建殊勳在此地戰罷即開拔吉隆坡
page 7	蘇聯體育節四萬優秀選手參加盛大體育表演
page 7	南遊日記
page 7	愛爾蘭網球賽瑪博雙料冠軍混合雙打諾爾組出冷門
page 7	一英里賽培爾可勝伍特遜
page 7	丹麥長途泳全部失敗天氣壞吃勿消
page 7	白城田徑錦標賽伍特遜再稱雄荷勇將傷腿坐失兩冠軍羅拔遜逞能六奪馬拉松
page 7	體協會水球賽東方小勝南南勝鍾聲乙
page 7	美世運預選田徑標準昨釐訂施行
page 7	外匯牌價仍不動申匯市況略趨淡昨各銀行多拋出間有吸進英匯及美匯市況仍屬沉寂
page 7	昨股票市場充滿沉悶空氣投機買戶多蟄伏不動半日成交僅二萬餘元
page 7	金銀市價昨均告漲
page 7	過去半年內本港物價概況Ｘ軍南侵影響糧食價昂但物價平均較去年略低
page 7	八九金市仍屬穩靜買賣寥寥價少變動
