page 2	社評歐洲大戰之幕揭開
page 3	世界歷史揭開新頁歐洲戰事全面爆發張伯倫正式宣佈向德開戰法國決定繼起參加此行動
page 3	德態度頑強竟拒絕最後通牒以武力對付英法
page 3	波堅守各線德軍猛攻均不逞西北兩線激戰中
page 3	美國震驚準備應變　　隨時均可　　
page 4	我軍進迫長子晉東南開始總攻擊鄂中前哨戰在展開中
page 4	蘇駐德大使飛抵柏林蘇報紙發表聲明不捲入戰爭漩渦
page 4	國聯大會定本週內開會接到瑞士政府通告將不討論政治問題
page 4	豫鄂偽軍紛紛反正
page 4	回教協會通電聲討汪逆
page 4	日駐義大使白鳥辭職繼任人選未定
page 4	義務兵役法案英貴院二讀通過
page 4	刺程嫌疑犯英方中止引渡
page 4	日向英保證對歐戰嚴守中立
page 4	波蘭歐洲的鎖鑰
page 4	入口稅率財部宣布折減
page 4	朱惺公遺屬卹金賻贈情形踴躍現已收四千餘元
page 4	波蘭公使將由斯洛伐克返國
page 4	滬美商會請政府抗議勒收偽鈔
page 4	僑胞回國從軍桂省府定優待辦法
page 4	滬兩租界當局準備應付新局面有力外人認歐戰起後上海一時不致生問題
page 4	國聯最高專員被迫離開但澤將由立陶宛赴英
page 4	各國動態挪威瑞典
page 4	陳濟棠飛渝
page 4	Ｘ政府準備撤退僑民撥輪由歐運回
page 4	英國戰時內閣產生
page 4	義國如何
page 5	犯堂下Ｘ已擊退沙坪安然無恙九江Ｘ軍增援野心仍未戢
page 5	Ｘ艦砲轟新會鰲沙佛山成立偽綏靖軍
page 5	Ｘ機轟炸粵桂各地邕欽等縣災情慘重
page 5	蘇州之行
page 5	失業機工施行集中訓練
page 5	西江我團隊克復魯村現繼續向夏岡推進先覺院Ｘ全部撤退
page 5	充實戰時糧食曲江實施秋耕
page 5	麻袋製造主要原料黃麻已在西南發現
page 5	湘桂路上
page 5	反攻東寶線我軍連戰皆捷衝破南頭深圳外圍茶山Ｘ軍已被擊退
page 6	根據緊急授權法港府頒防衛法令適應環境保證本港秩序約束可疑人物統制輪船飛機
page 6	港督昨晚公告英已對德宣戰香港入於戰時狀態
page 6	中國文協會發起人昨開會通過組織籌備委員會原提議人為當然籌委
page 6	港英空郵今日加價自下午五時起
page 6	萬人緣大會昨日開始追悼列難軍民法事表演一連七晝七夜附蒍牌位收入救濟難民
page 6	新界農業會七日招考新生
page 6	法輪毡拿博奉命返港暫時停港候命十餘德人被扣
page 6	羅旭和爵士昨晚晉謁港督表示港僑願為政府服務總督感譽華僑安份守已
page 6	本港戰時防禦措施林馬東西海峽明日封鎖保衛本港軍事佈置完成
page 6	留港德國僑民昨日被捕均已送往喇沙書院德總領事即將離港
page 6	九龍牛池灣趕築兵營面積數十萬方呎計劃完成即興工
page 6	聞響勿驚海軍船塢試放警報
page 6	戰時糧食無虞存米足供港僑三月之用麵粉右當西人半年所需
page 6	本港各社團歡迎暹僑代表陳黃兩氏感謝港僑好意即將返國謁見當局請示
page 6	防空處長談希望有二千人擔任救護工作設訓練班分中英文教授以前不及格者可再報名
page 7	台盃卻令治週賽美國先勝兩單打力格斯直落三挫勃魯維區派克神勇三比二敗奎斯脫
page 7	昨日棒球義賽華聯不敵美兵結果一比五慘遭殺敗定星期請友啤隊出場
page 7	南遊日記
page 7	學界籃球開始報名
page 7	夏令籃球賽賣花籌款七日起舉行
page 7	光華朝氣勃勃出兵戰警察九日在九龍界限街場警察新場館同時揭幕
page 7	九一八排球賽二次會議定明日開會
page 7	電話室
page 7	今年七個月內港進出口統計糧食與顏料入口銳減五金及機器出口增加
page 7	過去一週間股價慘跌為首次歐戰後所僅見
