page 2	越局與德國
page 3	傳越接納日本要求越南電訊交通斷絕英國通告日本主維持現狀
page 3	沅陵美教會財產被炸損失甚重桂南尋獲日機殘骸一具 
page 3	粵省各界歡迎陳嘉庚
page 3	桂省實施農林公營擴大墾殖計劃
page 3	美軍事當局會商已竣事對滬租界防務問題相機而動決不遷就
page 3	公務員考績銓聚部積極審核中
page 3	粵政視團定本月中旬出發
page 3	滬捕房政治部長姚克被狙擊互擊三十餘槍幸未受傷通滬西各路口檢查更嚴
page 3	翁部長談糧價未跌原因農民生活餘裕不願出售定價不一商人囤積觀望 
page 3	中國農民銀行發展農村經濟制定動產質押放款辦法
page 3	上金發生巷戰空軍轟炸廣州
page 3	張耀明軍獲獎關麟徵主持授勳禮
page 3	購券存儲
page 3	偉大成就
page 3	展開運動
page 3	開發礦產
page 3	三民主義
page 3	教部撥巨款補助民教館
page 3	為節約建國儲蓄蔣委長告同胞書
page 3	下此斷語 
page 3	資源潛力
page 3	陶鎔鼓鑄
page 3	集中儲蓄
page 3	輕而易舉
page 3	偷購外匯
page 3	所有存款
page 3	最高目的
page 3	日閣會議討論推行強硬政策
page 4	美報載英美聯防將擴至太平洋赫爾與英澳使會談討論遠東一般局勢  
page 4	羅王宣布退位儲君米嘉爾宣誓即位安東尼斯科大權獨攬
page 4	新體制籌委麻生久病逝
page 4	美眾院通過徵兵修正案徵兵制延遲六十日施行眾院完成國防費案手續
page 4	羅國政治步武獨裁
page 4	匈軍完成初步佔領
page 4	德不斷增派飛機大炸英國城鎮倫敦區落彈三十二處英機炸法海岸各港口
page 4	日新體制組織大綱幹事會予以修補
page 4	神戶油池發生爆炸起火油廠盡成灰燼
page 4	怎樣調整 
page 4	英國關切越南
page 4	霍德華抵菲縱談遊歷觀感中國蘊藏力極宏大可支持至無限時期 
page 4	羅王宮前發生衝突
page 4	日本南進政策的總檢討一景冬譯自倫敦經濟學人
page 4	羅遜王加羅爾與幼主米嘉爾
page 4	德希商約在談判中
page 4	近東英艦出擊義軍根據地海軍飛機同時出動義艦迴避不敢應戰
page 4	英當局充實地中海地位派出新式艦隊增防重申履行對希義務
page 5	法旗艦駛海防廣州灣日艦斂跡禁運貨物限制仍嚴
page 5	澳教育會新理監事就職
page 5	中大員生陸續抵韶下學期或難復課
page 5	所謂復興軍第四師又在江門反正江會一帶展開激戰彭霖生乘勢進攻新會城
page 5	澳門改建營地街市工程費十二萬九千元
page 5	日騎兵開銀坑一帶 
page 5	廣州情形日益混亂
page 5	日機又炸斗門乾霧 
page 5	鄧龍光兼粵桂邊區總司令
page 6	港陸軍當局公布日機迫降數粉嶺經過為民航機並未載軍用品着陸觸及樹木損傷甚重
page 6	陸軍當局公布
page 6	日本領事談話
page 6	由台灣飛廣州
page 6	九龍居民協會研究防空問題擬就報告書將遞呈政府建議修築各種防空設備 
page 6	港越復航後客貨極為擠擁今明兩日均有輪船開往由滬來港輪位預定一空
page 6	赴越赴灣貨客擠擁
page 6	上海商民紛紛來港
page 6	留日同學會
page 6	疫症傳染埠
page 6	國慶日贈旗
page 6	汽車司機
page 6	音樂會港音樂家定期舉行
page 6	售花籌款須防歹徒行騙
page 6	由九龍至新界公路裁彎取直工程浩大需時約兩年餘完成後全路縮短一公里
page 6	五芳齋菜館運到平津薰茶
page 6	霍亂症增加
page 6	職業婦女會 
page 6	難民略增
page 6	申請救濟之清貧學生又核准五十餘名
page 6	歐戰一周年英僑明日祈禱
page 6	各種防空設備 
page 7	今天港九兩地足球隊實地演習界限街頭光華首戰警察會加露連山南華初試聖約瑟
page 7	滬公開游泳四項預選華將聲勢煊赫
page 7	今天棒球大戰美葡決一雌雄
page 7	東方水藝今晚七時開始
page 7	夏令籃球美爾頓七戰六勝獲得初級組亞軍
page 7	埠際小球明日約戰軍聯選拔正式代表
page 7	港圓外匯牌價續漲美匯申匯市況穩定
page 7	市場人心興奮股票逐步趨漲買戶視線集中低價股票全日成交達十八萬餘元
page 7	八九金市稍形鬆弛
page 7	國幣市況先堅後淡
page 7	星島歸鴻 
page 7	國民體育會議雙十節在重慶舉行 
