page 2	社評八中全會的成就
page 3	彭澤附近日軍回竄贛北戰事告一段落
page 3	八中全會閉幕重要議案公布蔣總裁對黨政工作剴切指示
page 3	柳亞子被開除黨籍
page 3	決議案
page 3	滬工董妥協辦法我表示反對領事團感覺棘手
page 3	胡大使對美婦女團體演講中國社會民主性質
page 3	滇緬路上二三月二十八日昆明航信
page 3	松岡已離義蓋達謂對美參戰問題德義日三方意見一致
page 3	日破壞英在華利益伯特勒謂愈難滿意
page 3	重慶通信
page 3	澳洲外長痛斥松岡並申明自衛決心
page 3	川滇路昆曲段開始通車全程凡百六十二公里
page 3	傳日機集泰北圖轟炸滇緬路
page 3	普法姆在菲訪晤美軍政當局美海陸軍官舉行會議荷蘭外長飛抵檀香山
page 3	日閣拉進小倉美報如是觀察
page 3	日閣拉進小倉美報如是觀察
page 3	陪都戰債勸募成績極為良好
page 4	美擬集中經濟力量增強友邦地位運用七種方法援中英希等國德義對美提二次抗議
page 4	法淪陷區德軍將他高傳義軍已開入巴黎填防英報贊同對法封鎖
page 4	南國三大民族團結擁護政府德駐南公使將不返任兩國關係已俞見緊張
page 4	八中全會決議案摘要一
page 4	英海軍史光輝新頁此次東地中海之戰定名馬球泰濱之役
page 4	英外次報告南國之情勢
page 4	英將在歐陸建立橋頭堡
page 4	東非英機炸沉義驅逐艦英對阿國無領土野心
page 4	美洲各國邦交愈趨緊密南美海軍當局被邀赴美美參院批准美墨協定
page 4	叙利亞組織新政府由阿森任總理危機可望過去
page 4	美國議會休假十日
page 4	德派密警幹員赴南美洲活動企圖煽動各國反美
page 4	美國工潮勞方無意讓步工業組合協會態度仍強硬福特廠罷工未解決
page 4	宣傳方法
page 4	英美加緊合作
page 5	西康日記二六○第十四編麗江雜記
page 5	湘省公開徵求各項專門人才應徵文件六月底截止
page 6	港九各學校今日慶祝兒童節分在港九各大戲院舉行青支會主辦體育表演會
page 6	離港輸船乘客不得預早登輪限開行前一小時內落船太古公布一日開始實行
page 6	兒童節與兒童健康
page 6	藝術界獻機委會組織機款保委會
page 6	移民例八中全會要求撤銷港督不願發表意見
page 6	記者公會換物會各廠商認送物品
page 6	何艾齡等今晚播講遣送難童返國經過
page 6	新靚就昨晨由菲返港
page 6	移民局長富勵士下月初赴星休養並考察新加坡移民局行政該局職員增至二百九十人
page 6	留日同學會定期舉行春節聯歡會理事會公宴全體會員
page 7	督憲杯華聯戰陣下週開會遴選明日旭和杯賽羅女公子頒獎南華遠征澳洲日間將有表示
page 7	培英校運今日續開
page 7	足球縱橫談四
page 7	緬華網球雙打決賽徐陳組獲冠軍連下兩盤戰情頗緊張曾次長蒞場主持頒獎
page 7	學界籃球賽定期開幕參加甚踴躍
page 7	小球協會舉辦晏榮杯賽
page 7	仿林校友球隊今午出發征澳
page 7	乒乓規則最新修訂
page 7	東英排球戰週末交鋒裁判員聘定
page 7	外匯牌價俱無變動美匯淡靜申匯仍穩
page 7	股票繼續趨漲昨日成交九萬餘元
page 7	國幣市況依然穩定
