page 2	社評維希的命運如何
page 3	三國會議舉行期近英閣討論代表人選傳陳誠將軍將啓程赴莫斯科
page 3	英荷無意鬆弛對日壓力恢復貿易談判之說全係日本片面幻想
page 3	中國抗戰勝利在握復興亞洲厥功最偉泰晤士報對我抗戰備致尊崇
page 3	美飛機汽油續運海參崴日竟向美提出交涉
page 3	美國擴軍動態一
page 3	胡大使訪美國務卿轉達贊同英美宣言意旨赫爾國務卿曾表示謝忱
page 3	荒木鈴木等強調攻蘇主張進侵西伯利亞憧憬大陸政策迷夢
page 3	泰國否認日提通牒
page 3	日兵繼續增兵偽滿
page 3	埃及禁止貨物運日
page 3	詹森赴澳履新夫人子女與俱
page 3	美又統制六種物資擴大禁運範圍包括皮革金屬纖維品美國重視日禁美僑撤退問題
page 3	美名記者預言美日難免一戰侵略乃日本之天性現正俟機南侵北進
page 3	澳總理孟席斯明白警告日本如進侵泰國及馬來亞澳洲軍即予迎頭痛擊
page 3	邱吉爾晉謁英王並呈遞美總統函件
page 3	郭外長發表聲明與丹麥斷絕邦交
page 3	日統制航運可隨時徵發商船
page 3	滿蒙劃界蘇日暗流
page 3	溫莎公爵夫婦將訪問華盛頓
page 3	長敗國家偏好大言
page 4	蘇德全線激戰列寧格勒形勢轉穩
page 4	蘇德戰爭經過兩月紅軍實力仍完整烏克蘭陣地被迫向後稍退四十萬蘇軍安渡尼勃爾河
page 4	納粹發表誇大戰報謂已席惓西烏克蘭
page 4	蘇新型戰鬥機加入前線作戰
page 4	英蘇空軍飛德轟炸
page 4	納粹全部控制西歐鐵路交通
page 4	自開戰以來德船損失統計總數達四百餘萬噸
page 4	戈林又傳在東線指揮
page 4	英美軍需品加緊輸往蘇聯希望蘇軍能堅持至冬季則納粹時間表將更混亂
page 4	滬美防軍決不撤退
page 4	美國的禁運與日本二
page 4	美國調整國防生產機構將設一最高機關委華萊斯氏主持
page 4	英國大使館遷新址辦公
page 4	川康興業公司首次籌備會議
page 4	貝當發表演說侈言秩序繁榮維希將加緊摧殘熱血份子
page 4	甘省一貪污黃燐被正法
page 4	格拉第抵菲島解決當地貿易問題研究取得戰時原料
page 4	奎松生辰華萊斯曾電賀
page 4	上海輿論重受摧殘各報又接通知擴大禁刊範圍
page 4	豫南我發揮威力信陽敵負創潰竄
page 4	蘇嘉路出軌死傷五十餘人敵偽損失甚鉅
page 4	豫新縣制推行成績甚佳
page 4	皖南豐收宣城農民江守謙獻穀百石充軍糧
page 4	中樞加緊推進國營企業有關當局擬定詳密辦法三年建設綱要在審核中
page 4	一元獻機運動全國熱烈展開一部戰機已在購運中
page 4	日方又一謠言
page 5	三十年度粵行政會議情形過去各縣施政多有良好進步未來中心工作均已研付決定
page 5	粵省的國民教育下
page 5	粵調整兵役機構補充兵源糧械增設師區配予補訓處及駐軍撤銷團管區成立徵兵事務所
page 5	粵省後方各縣長途電話網完成全省現有線路共達三千公里連縣茂名計劃改架雙線工程
page 5	順德各鄉慘遭焚劫
page 5	大小淋島敵軍他竄
page 5	國府明令公布縣參議會組織暫行條例
page 5	粵北穀價未見低落仍盤旋於六十元之間
page 5	省黨部奉令組政研會分民財教建四組
page 5	國防最高委會重申奢靡禁令限制公務人員宴會浪費
page 5	三水三江鄉十室九空被敵蹂躪民不聊生
page 6	華資銀行呈財部請改善對美匯兌港對美輸出被迫停頓雲照坤飛渝奉商僑匯
page 6	警司俞允時暢述渝行觀感雖在日人猛烈轟炸下陪都人民處之極泰然
page 6	港府遞解出境人犯去年達九千名今年遞解出境人數銳減由於各地交通多被阻塞
page 6	今午黃炎培招待報界
page 6	羅富國帥範學院錄取新生揭曉計有卓元樑等四十八名新生報到二十九日截止
page 6	港滬國幣價格懸殊商人乘機牟利
page 6	Ｖ字運動在港開展ＺＢＷ廣播該運動消息發揚反法西斯民族精神
page 6	織造總會募債得十餘萬元昨第一日將繼續舉行
page 6	霍亂傳染蔓延仍烈
page 6	要人離港
page 6	嶺大同學會慶祝鍾前校長壽辰
page 6	荷輪停止駛美因太平洋形勢日趨嚴重由遠東往美國輪船日減
page 7	星東征澳足球隊昨午凱旋抵港比賽十九場勝十四和一負四楊水益短期間即返港
page 7	五屆夏令籃球賽商初級賽形勢今日有戰事兩場
page 7	鐵城杯南華民大獲勝
page 7	中西溜冰比賽下月舉行
page 7	南華體育會開會員大會莫慶質問退出協會理由雙方辯論劇烈空氣緊張
page 7	培英校友再度舉行海浴
page 7	卓雄小球會派隊征澳昨日兩戰棄權
page 7	股票市仍堅穩買胃漸呈疲弱成交不多
page 7	國幣市況仍穩但靜
page 7	外匯牌價仍無變更美匯沉寂申匯穩靜
