page 2	囤積與居奇
page 3	寇里抵渝謁蔣委長面呈羅斯福總統函據談此行目的限於考察經濟
page 3	泰越東京談判備受日方愚弄會議在近衛官邸舉行松岡致詞大發夢囈
page 3	日新秩序兩個小標本自請入彀其言可哀
page 3	日方派出大批囗囗苦煞南京囗囗
page 3	胡適大使在美演講
page 3	日扣德輪
page 3	凱自威來港
page 3	美報批判日本南侵企圖註定失敗中國抗戰意義重大
page 3	加里寧電賀羅斯福
page 3	日紗廠出產已大見減少
page 3	中華文化學院吳康發起籌設
page 3	美國已發表高斯使華詹森調任駐澳公使
page 3	關於寇里
page 3	日翼贊會問題近衛窮於肆應松岡謁日皇報告外交
page 3	野村吉三郎抵達舊金山
page 3	清查戶口內部電催各省從速列表呈報
page 3	南華大學教部令停辦
page 3	豫南我軍克復遂平殘日狼狽向南潰竄
page 3	青海教育馬步青推動得力初等學校已大增
page 3	粵改良製茶
page 3	英外次說明上海日方浪人縱火投彈情形
page 4	北非英軍長驅直入班加濟已攻陷希里奈加區全部掌握
page 4	美眾議院先後否決五項租借法修正案參院外委會繼續聽取意見
page 4	魏南繼任美駐英大使總統已向參院提出
page 4	荷前總理返淪陷區政府發出聲言予以嚴正申斥
page 4	英國空軍戰績上月英德損失為一比三地中海義機被擊落甚眾
page 4	美國對歐的經濟攻勢
page 4	北海道發生暴風雪與日本部交通已完全受障阻
page 4	路透社總理由眾議員史篤萊繼任
page 4	達蘭再赴巴黎傳達貝當對案已與拉伐爾再度晤見美大使訪貝當作長談
page 4	英每日戰費達千餘萬鎊超過上次大戰最高數字以後趨勢仍將繼續增加
page 4	葡政府提出計劃保護戰時難童促設立安全城市愛亦考慮疏散兒童
page 4	傳德在保培植反政府勢力伺機組織傀儡政府土耳其重申反對德軍侵保
page 4	影佐機關擴充
page 4	英軍克班加濟
page 4	新秩序之標本
page 5	今年各國營鑛產出產量可望增加改善鑛工生活酌量提高工資錢昌照視察完竣已返渝覆命
page 5	湖南限期完成全省地質調查數十礦區已查勘完畢蘊藏豐富將取之不竭
page 5	粵南政情與興勒三羅翼群擬呈省府意見書
page 5	黃旭初談赴渝經過桂國民教育計劃業經教育部許可
page 5	新春的韶關
page 5	桂省教育經費本年增至八百餘萬
page 5	粵省苛雜繼續查禁裁撤
page 5	澳門華商會定期改選徐偉卿決意退隱
page 5	安化管理局改為五等縣
page 6	防空處將舉行防空洞避難演習苦力三千人充避難民眾實地試驗空氣流通狀態
page 6	巡迴展覽收效宏大
page 6	吳詠香畫展今日起舉行會期四日地點交易行二樓孔雀廳
page 6	介紹吳詠香女士畫展
page 6	顏福慶演講中國之醫事建設分救傷之防疫兩個部門國醫之發展亦在促進中
page 6	本港不擬實施強制投保計劃本港距離歐洲戰場甚遠
page 6	娛樂消息
page 6	統制移民手續代督着令改善接納華人代表所陳意見
page 6	題吳詠香女士畫
page 6	嶺南大學春季招生揭曉今日招集各生說明手續定本月十二日開始上課
page 6	第三次義舞明日假金陵舉行金陵銀都全體舞女伴舞最後一次在香港大酒店
page 6	自由法國代表抵港公畢轉赴各地活動
page 7	聯賽國軍兩路出師星島迎擊九龍南華嚴陣對抗聖約瑟友誼賽米杜息戰光華
page 7	快活谷中星島重逢九龍
page 7	九龍會
page 7	加路連山南華再戰約瑟
page 7	足球節目甲組聯賽下午四時一刻星島會對九龍會香港會場
page 7	球圃菜根集二十五
page 7	星島征菲隊廿六出發一行二十人
page 7	銅鑼灣畔光華巧遇米軍
page 7	我國空軍壯士陳鎮和殉職
page 7	麗華杯足球決賽十六日舉行比賽地點決定在愉園陸軍總司令蒞場頒獎
page 7	銀行界小球賽週末節目計有戰事七場
page 7	正廷杯球賽十日截止報名
page 7	桂林樂群社組女籃球隊
page 7	外匯牌價仍無變更美匯淡靜申匯穩定
page 7	國幣市況先穩後堅
page 7	四四金市仍甚沉寂
page 7	股票市況靜穩昨日成交七萬餘元
