page 2	納粹的南進
page 3	郭外長昨發表談話盛讚諾克斯氏灼見盼各友邦勿為日閣煙幕所迷
page 3	日軍又向蘇挑釁邊境曾起衝突雙方皆有死傷日軍已被擊退滬軍事家觀察最近日軍動態
page 3	蘇日貿易協定迄今未曾簽訂
page 3	日報大肆咆哮對諾克斯演說反唇相譏長谷川稱台灣準備應變
page 3	黑市匯價又跌物價飛漲影響平民生活一般視線集中於香港會議
page 3	中樞紀念週由馮玉祥報告
page 3	駕駛轟炸機一架作環繞世界飛行英美澳飛行員之壯舉
page 3	飢餓線下的巴黎三七月十日巴黎特約通信
page 3	柬埔寨新王舉行加冕典禮
page 3	中國工程師信條共分八戰經年會通過
page 3	群醜暗鬥益烈形形色色分別盤據親離眾叛汪逆煩惱
page 3	郝穴附近無敵踪豫北我乘勝進攻榮澤信陽鄭州敵不斷增兵
page 3	蒙政會議已定下月五日舉行朱綬光將入蒙指導
page 3	普法姆已返抵新加坡
page 3	全國黨政視察團分別抵各區視察
page 3	格拉第抵美京報告赴遠東調查之經過
page 3	財部派員考查稅收
page 3	澳駐華公使今日遞國書
page 3	荷印參謀長巴克斯繼任
page 4	南路戰事吃緊多奈茲盆地形勢嚴重紅軍已退出史達林諾
page 4	中路戰局穩定蘇軍不斷反攻
page 4	美中立法問題一
page 4	納粹計劃改組德國宗教以我的奮鬥代替新舊約發給證書以代洗禮儀式
page 4	德軍團指揮官乘機被擊斃命
page 4	北非攻勢前奏地中海空戰轉趨猛烈英機五炸那波里港德義機襲多布魯克
page 4	日報論蘇戰局蘇抗戰精神極旺盛德國未來困難重重
page 4	美礦工五萬人突宣告罷工勢將嚴重影響國防生產美總統已要求立即復工
page 4	倫敦捷政府慶祝紀念日我亦派代表參加
page 4	紐約加省船塢工人亦告罷工
page 4	墨索里尼亦談勝利
page 4	美廢止中立法問題參院開始辯論外委會發表多數黨報告陳述該法存在之矛盾性
page 4	南特謀殺案法人靜候宰割維希正向柏林說項中
page 4	英蘇伊朗締三國協定英蘇已提出建議
page 4	英工人萬名舉行援蘇運動在特拉法爾加廣場舉行示威倫敦婦女議會敦促援蘇
page 4	納粹的狂行
page 4	國際勞工會議昨日正式開幕尋求消除勞工糾紛辦法加速民主國家防生產
page 5	桂省三十年度行政會圓滿結束各重要問題均得結論邱昌渭談收穫甚良好
page 5	暴日佔領越南真相華僑呈獻一片亦誠擁護領袖抗戰到底敵人的兇殘泯滅不了華僑忠貞的氣節四
page 5	中國滑翔總會設桂林分會李大經宋如海抵桂籌備預定下月四日組織成立
page 5	管參議會六次大會定期十二月舉行
page 5	內遷工廠在川陝等地相繼復工
page 5	粵西鹽務局統籌食鹽分配
page 5	邵陽新化改良造紙
page 5	粵桂邊境發現武裝走私
page 5	成都一週
page 6	警察交通當局進行改善巴士擁擠情形擬准許新兩層巴士行駛
page 6	香港華人軍團
page 6	改善辦法分治標本兩項增車輛減乘客
page 6	五號巴士增加車輛行駛縮短行車路程
page 6	天氣轉寒各慈善團體救濟露宿貧民將贈寒衣施粥收容戰時關係範圍縮小
page 6	今天重九登高掃墓者應注意禁區
page 6	日內飛渝代表該報謁蔣委長
page 6	獄犯憤於被尅扣囚糧用刀斬傷副監獄官乘獄官參觀工場之時突操割毛刀撲前行凶
page 6	溫度劇降最低達六十度兩日相差廿度
page 6	教團傷友會各基督教團體組織徵募人員回國服務
page 6	教育委會籌設鄉村師範本港教育委員會於去週
page 6	仰光豬第一批運抵本港接濟泰國海防生牛到數百頭鷄鴨供應目前未受影響
page 6	名藝員梅豔雲女士今晚登台演唱平劇侍節賞名劇機會難得
page 7	網球義賽小組會昨晚召開會議推出五組分工合作加緊籌備蔡惠全下月初可抵港
page 7	鐵城杯賽居聯打倒印警
page 7	國際長途跑歡迎女子參加
page 7	獻機籃球慈善賽明晚有兩戰民大對康元黑貓鬥新青劉錦東表演查拳
page 7	中華溜冰場溜冰比賽昨午舉行頒獎
page 7	英德前線防軍舉行運動大會
page 7	學界籃球賽培英告捷華大亦打贏仗今日比賽一場
page 7	校際籃球賽商討比賽程式
page 7	滬背叛籃球賽馬場百樂鬥不敵藍白隊
page 7	粵明年舉行全省運動會
page 7	星洲華空大戰華隊失敗癥結
page 7	跑馬新聞
page 7	甲組聯賽形勢
page 7	申匯黑市續趨鬆弛英匯美匯市況仍靜
page 7	滬標金價又告上漲
page 7	股票市況穩定低價股票需求略見增加昨日成交總值十萬餘元
