page 2	汪兆銘的活動
page 3	浙閩海邊形勢緊張福州近岸Ｘ艦雲集將進犯玉環坎門昨經苦戰後放棄
page 3	汕頭我軍撤離市區經過轉移陳地與Ｘ繼續周旋Ｘ軍攻佔廢墟毫無所獲
page 3	抗戰建國的先驅學術機關在昆明恩源二十三日寄自昆明
page 3	粵省府撥欵急振潮汕並規劃墾荒收容難民
page 3	桂林人口準備疏散中
page 3	汪逆赴北平將與一群傀儡晤面商組織偽政府問題
page 3	軍紀巡察團第四團抵韶關
page 3	滬洋商報處境益困難警告信向各報亂送導報準備停止發行
page 3	川參議會七月一日成立
page 3	彭山縣長禁烟不力革職
page 3	Ｘ侵擾浙閩沿海外僑將拒絕撤退汕Ｘ強佔英美財產英國旗竟被扯下
page 3	槍彈手溜彈在滬租界亂飛俄捕一人被擊斃兩僧徒跳樓受傷
page 3	粵省獻金解中央五十餘萬
page 4	對天津事件談判日同意移東京駐津日當局奉令返國談判或可於下週開始
page 4	日本野心在獨霸遠東高浩將軍主增強實力對此種挑釁予以迎擊
page 4	津日司令竟實行狡賴諉稱未下令脫衣檢查並謂裸體亦非恥辱事
page 4	津英商輪斷糧已數日不予檢查亦不許泊岸乘客中十五人為外僑
page 4	羅斯福談話對參院取消其幣制權力認為流弊極大應予恢復
page 4	美中立法修正案提眾院討論議員伊頓抨擊中立法案認係卑怯貪婪愚昧結晶
page 4	達拉第宣稱法邊防鞏固議會通過休會案
page 4	英蘇將賡續談判英政府已發出新訓令對蘇方要求將予接納
page 4	日老外交家林權助逝世
page 4	德義空軍領袖在柏林晤談
page 4	貝爾湖附近形勢益趨嚴重蘇蒙與日偽兩方空軍仍不斷發生激烈空戰
page 4	蘇駐日代辦被召返國
page 4	蘇黑海艦隊演習竣事
page 4	東京談判
page 4	汪逆與滬報
page 5	反攻江門得手我軍乘勢逆襲會城激戰蓮塘殘Ｘ敗退沙隄
page 5	回到淪陷區去
page 5	Ｘ犯潮汕難發展嶺東我軍有準備鄒洪奉命守備潮梅東江大軍陸續增援
page 5	粵省府舉行省務會議通過禁烟實施計劃嘉獎西江抗戰官兵
page 5	中山岐澳停車
page 5	澳門七七售章
page 6	赴澳領取證明書下月一日起減費羅旭和請港督俯順與情旅客不勝負擔減為五角
page 6	中美文協叙餐港督親臨致詞希望中英中美兩文協使三國關係更趨密切
page 6	西南中學畢業曾考舉行完竣
page 6	馬嘉士歌舞班
page 6	本港三大銀行發行紙幣法權本年七月十二日將滿期當局擬將期限延長一年
page 6	孟姜女
page 6	新海門輪抵汕英艦衝破封鎖Ｘ謀嚴密封鎖福州溫州英方不受恫嚇置諸不理
page 6	兵災會贈旗第一日成績良好昨往各銀行及大商店伶人新靚就定期義演
page 6	五號巴士下月一日通車一二號路線略予更改各路行車時間表公佈
page 6	聖約翰大學本港同學會
page 6	劉維熾
page 6	李迪俊
page 7	溫布爾頓第二日女章打相繼開場八種子球員僅尼克爾小姐一人落選計承基背傷未癒雙打棄權
page 7	紐約楊基棒球會一頁成功史它有堅強組織雄視一世要記住露拔特苦心經營
page 7	男子雙打賽中各組接戰甚烈
page 7	本週網球義賽節目花樣翻新加插一幕男女老少混合雙打鄧祿普公司決報效全㘭㘭塲網球
page 7	拳王喬路易頗感不安因失羣眾信心
page 7	中華體協會今日會議籌商比賽事宜
page 7	公開水球賽今宵有兩場
page 7	申匯不動邏匯略縮英美等各匯價俱漲英匯市況初穩後緊美匯仍靜申匯市況略淡尚靜買賣俱少
page 7	港股票再好轉買户給價仍低成交絕少昨成交僅二萬七千餘元
page 7	銀價暴跌低過美國水準倫敦金價微漲
page 7	八九金市昨仍平穩買賣不多略有起落
