page 2	社評突尼斯鳥克蘭和歐局
page 3	Ｘ圖犯西北我軍加強配備完密中央組織戰地黨政委員會白崇禧陳誠視察粵北各地
page 3	豫東我軍殲Ｘ皖境仍有小衝突
page 3	湘省府即改組蘇主席亦將易人
page 3	漢法租界當局開始與Ｘ談判
page 3	修河游擊隊破獲德安偽組織
page 3	Ｘ機昨慘炸重慶平民區死傷四五百人被我擊落一架落江北
page 3	在華北打游擊一個破壞大隊長的獨白
page 3	綏Ｘ受重創固陽盧縣長英勇
page 3	懲汪之聲
page 3	吳鼎昌今日由滇返黔
page 3	滬Ｘ一夕數驚遷怒龍華居民
page 3	吳鐵城抵渝稱讚粵民氣旺盛
page 3	沙王赴渝
page 3	財政部重要通告海關稅收被Ｘ人劫取政府仍決心維持債信
page 3	中國有戰無和蔣夫人發表談話
page 3	我重要將領將飛渝出席全會
page 3	陳述對遠東態度英照會措詞強硬拒絕日方修改條約
page 4	羅馬談話後英義關係未變張墨個人感情增進英代表團表示滿意
page 4	英代表團對墨滿意
page 4	義報否認請英調處
page 4	德國政界認為可喜
page 4	澳洲大火歷史上最慘之一頁損失百五十萬英鎊
page 4	英法艦隊舉行會操本月內在加薩白蘭加甘茂林出巡北非海岸
page 4	美國艦隊開大西洋演習
page 4	紐約鄉間天氣嚴寒冷死者三十一人
page 4	美陸次演說為羅氏張目危機四伏當見機而作增強軍備使敵有所戒
page 4	國聯今日開會我緊急要求制裁日本胡世澤盼各國有動作
page 4	動盪的歐洲陳依範寄自倫敦
page 4	西政府軍實施總動員可徵召三十五萬人叛軍總攻死傷慘重
page 4	歐洲和平德請義再維持一年駐義德大使已否認
page 4	黑色大廈德議會將重建門前廣場擴充
page 4	德積極拉攏波蘭希特勒溫語誘波外長戈林與德外長將赴波
page 4	蘇彜士現狀不能改變運河公司副總理演說對國際威脅痛加斥責
page 4	加拿大發行公債財長上程議會
page 4	蘇聯調查人口預定費時八日可完竣人口總數約二萬萬人
page 4	日又恫嚇蘇聯聲言要絕交將武裝保護前往捕魚
page 4	德駐荷使舘被槍擊案調查結果通知德方
page 4	悖乎人情英　難民募救濟金法西斯黨示威搗亂
page 4	德國難民紛紛赴法迄今已達十萬人
page 4	西南西北都不足慮
page 4	何不試一試
page 5	西江前線醞釀大戰我軍準備出擊反攻三水等地蔡廷鍇譚啟秀抵肇會商軍事新興至江門途中治安可慮
page 5	東江別動隊活躍隨時突擊增城石龍
page 5	澳門四校演劇賑災澳督蒞場參觀井損鉅款一夕收入約港幣二千元
page 5	轟動全瓊稅警私梟激戰案紳士吳某嫌疑未白文昌緝私糾紛解決
page 5	澳門糧食管理劃歸經濟局負責由本日起開始實行
page 5	西南傀儡王芝圃被擊垂斃
page 5	瓊山鼓勵教育
page 5	台山保土會議
page 5	西江戰區實踏記季鳴
page 6	防空當局嚴密保護港九各水塘積極計劃作戰時準備防禦敵方投細菌毒劑
page 6	救濟粵各災區中央賑欵未動用俟整個計劃決定後散放
page 6	禪房裏來的一封信響應一元還債運動佛門子弟齊驅逐那支魔軍
page 6	軒鯉詩道昨晨大火焚燬貨倉一座損失二萬餘元
page 6	青年會隨軍團昨晚舉行授旗禮聯青社蔣代表各界贈旗何明華會督為該團禱告
page 6	陸軍義勇隊續徵募華人入伍義勇隊增建新輪
page 6	印刷工友五千餘實行長期還債昨日工會二屆職員就職教育家陶行知蒞會演說
page 6	香港七姊妹難民營速寫
page 6	調劑被囚華軍生活難民營中設運動場籃球塲完成排球塲在建築中設置無線電收音機辦圖書室
page 6	港九各區雨水紀錄
page 6	歌姬美麗麗榮膺歌后前晚義唱成績共得三千餘元
page 6	本港籌設飛機廠資本現定五百萬元已派員赴英美購料
page 6	安利號輪改航港澳昨日起開始
page 7	南華會挑燈夜戰四比二勝南圻乙逢凶化吉僑胞騰歡
page 7	首戰詳情七比四擊退法聯隊
page 7	大生杯排球賽培英勇克南華
page 7	普通界女子籃球賽今晚華僑會戰西南
page 7	抗戰期中的體育問題
page 7	英國足球甲組賽結果
page 7	一番惡鬥斷難成功東南西北
page 7	洋米輸入本港數量較前增加暹羅進口最多安南緬甸次之
page 7	國府統制黃金穩定市場金價增厚外匯基金飾物金類仍准民間自由買賣
page 7	我國各種土貨由港轉運出口概況
