page 2	社評歐洲的砲聲響了
page 3	歐洲的砲聲開始響了德軍三路進攻波蘭但澤市內亦起戰事德機大舉轟炸波蘭被擊落七架英法宣告動員急起履行義務
page 3	德孤注一擲希特勒竟預備後事如遭不測以戈林繼
page 3	但澤的命運福斯德竟宣布歸德德國會亦予以通過
page 3	英向德警告如不停止對波侵略英決履行援波義務
page 3	波決心抵抗正式要求英法援助莫錫基向全國廣播
page 3	英輿論强硬德侵波非局部事件英法不畏對德戰爭
page 3	美總統羅斯福向五國呼籲
page 3	義國仍守緘默調整全國軍隊指揮火車客運減少一半
page 4	我軍圍攻神岡北江形勢益見順利增城殘Ｘ在殲滅中
page 4	徵募寒衣運動最低募足三百萬件南洋港滬募集代金
page 4	大批Ｘ人強佔滬海關原有人員被迫離職
page 4	日本已陷絕境軍政外交均無出路阿部僅能敷衍一時
page 4	阿部談話
page 4	孫科返國報告歐局
page 4	滬西偽會褚民誼等參加
page 4	我國公債一致猛漲
page 4	北平Ｘ偽繼續反英運動
page 4	膠東偽軍相繼反正殺Ｘ
page 4	郭大使照會英外部勿移交程案嫌疑人
page 4	在戰鬭中長大的晉冀察邊區陳適懷寄自陝北
page 4	Ｘ酋杉山乘坐飛機受傷
page 4	倫敦情緒緊張防空佈置積極進行學童疏散開始實施
page 4	尼赫魯桂行作罷即將由渝返國
page 4	巴黎撤退市民當局勸告及早遠離全市學童開始疏散
page 4	德官方發表宣言公布對波十六點建議
page 4	蘇聯增加兵額伏羅希洛夫演說稱蘇聯準備單獨作戰
page 4	希特勒的苦悶一週來寢食不安日夜與僚屬密商
page 4	德國企圖速決
page 4	我們同情波蘭
page 5	我軍反攻告捷江會情形混亂
page 5	我軍沿鳥石岩向寶安推進境內戰事行將廣泛開展
page 5	湘桂路上
page 5	川北發現煤田藏量愈萬萬噸
page 5	粵振會政治部會訂難民回籍處理辦法
page 5	省府嚴厲限制兌換毫券如屬牟利者不許兌付
page 5	火線下的衡陽
page 5	戰地記者紀念記者節
page 5	皖北各縣水災慘重哀鴻遍野亟待救濟
page 5	切實振刷粵省民氣蔣委員長電飭省府政工人員應除惡習
page 6	立法局昨通過總督離港時部署港府引用戰時立法程式修正迫遷條例草案照准
page 6	深圳Ｘ軍假道新界
page 6	陸軍演習昨日結束
page 6	國內缺衛生人員留港醫師護士從速返國服務衛生處長黃雯來港呼籲昨日招待駐港救護委員
page 6	香港旅行社茶菓嶺海浴流產
page 6	八一三獻金運動本月六日結束首批三十萬元今日匯出小販義賣深水　區最佳
page 6	中旅設立電影部第一部影片將攝竣盧翠蘭唐槐秋主演
page 6	港僑維持治安自衛團中旬成立以街為單位使地利人和擴充後備警察應付事變
page 6	中賑會常委黃伯度由渝來港慰問許世英並有所請示據談賑濟工作進展甚速
page 6	業餘聯誼社社友交誼會三日在孔聖堂舉行
page 6	港府昨恢復電報檢查發電限中英法文詳書收發人地址
page 6	金銀世界中央戲院今日起映
page 6	墨水精霍卓奎新發明
page 6	四日公假郵局辦公時間變更
page 6	工業合作社餐舞彩券尚有十獎仍未領去限十五日以前領取
page 6	萬人緣會明日開壇吳鐵城羅旭和主祭僧侶道尼全體動員
page 6	記者學會昨紀念記者節
page 7	今天國際棒球賽英對美改期舉行因感受歐洲惡戰風雲影響明日表演賽美水兵對華聯
page 7	南遊日記
page 7	南華遠征足球隊征菲秩序排定十九日起一連比賽四場
page 7	籃球聯會增設小組委會
page 7	播音台
page 7	西勃萊特網球賽派克奪錦標失意七年今番償夙願單打決戰氣走麥尼路
page 7	水球
page 7	八月一日淩晨抵星洲
page 7	昨日英滙更淡美匯市況緊縮申匯最初趨勢不定後見好轉
page 7	八九金昨狂漲最高峯達七十八元五毛
page 7	歐洲戰事爆發本港股票低跌人心惶惶存戶紛紛拋出
