page 2	世界大勢明朗化
page 3	納粹攻勢顯受打擊蘇軍抵抗沉著英勇雙方傘兵均出動旗鼓相當
page 3	多布魯克英軍突破德軍入圍北非英軍保持主動地位
page 3	歐洲戰雲蔓延北歐兩國勢危芬向蘇開始軍事行動英強調英強調指摘瑞典允德軍假道
page 3	西將派兵與德合作
page 3	蘇聯紅軍的制度與組織二
page 3	德軍集中主力攻列寧格勒區
page 3	德內部裂痕在進攻蘇聯之前夕軍部黨部意見衝突
page 3	英國否認德挑撥宣傳英蘇並無向土要索
page 3	軸心走卒捧場助威匈牙利已正式宣布對蘇戰爭狀態存在
page 3	日本之南進與北進一
page 3	英機繼續猛炸德海國根據地英國擬就縝密計劃實行有系統之轟炸
page 3	郭新外長昨抵陪都英大使親往歡迎
page 3	美正式向蘇保證迅速予以援助首批貨物不久可啟運日傳蘇向同盟國要求訂約戰事未結束前不單獨媾和
page 3	美國會議員呼籲增強太平洋防務擴大阿拉斯加據點嚴密監視日本行動
page 3	伊朗通知蘇聯表示仍守中立
page 3	西向英道歉並向英國保證不作反英運動
page 4	日本悽惘沉默謂對大局暫不作表示柏林認日閣將改組
page 4	松岡談話故作鎮定
page 4	芳澤黯然返國對荷印當局竟表示感激
page 4	海空猛襲貝魯特維希軍力量荏弱
page 4	福克斯抵滬盛贊陪都之民氣與紀律預定兩星期後再返重慶
page 4	日本西部洪水為災房屋淹沒三萬幢
page 4	蘇聯如長期抵抗必能擊潰納粹沙遜過檀香山之談話
page 4	美國建艦程序一律提前完成
page 4	中美英三大國並未簽訂同盟王部長斥日報謠言
page 4	戰時蘇聯全貌續要區及名城
page 4	美墨兩國經濟防務協定日間即可成立
page 4	財政會議宣言續
page 4	陪都各界踴躍購債勸募會報告成績已達一萬二千萬
page 4	美艦隊總司令由美返抵防次據談海軍士氣甚佳海部要求眾院通過留軍服務案
page 4	前線戰事轉沉寂各處蠢動籌軍均擊退
page 4	蘇州河交通又一度封鎖敵肆意搜查並捕人
page 4	澈底清查土地賦稅各省設田賦管理處
page 4	為松岡進一解
page 5	粵勸募總隊擬定各縣戰債配銷額意味著銷額最高達二百萬元
page 5	粵省積極發展婦女生產事業各縣合作社紛紛成立
page 5	東江各縣散振經過盧少荃等返韶談片
page 5	桂省合作社進展甚速總數約達一萬八九千社日前各地大雨豐收可期
page 6	華僑生建協會成立昨日招待記者報告組織經過理事錢新之杜月笙等十一人
page 6	牛奶供應短絀入夏以來各方需要增加全港奶產每日三萬餘磅
page 6	我在港高領事大體不成問題一切有待重慶倫敦決定輔政司昨日對記者表示
page 6	港督昨晚廣播宣布發行節約券增加稅收乃屬必需之舉稅款用於加強港軍需業
page 6	警方應付緊急事變隨時召回警員用電臺廣播等方法通告全部高級警員新部署
page 6	港印人協會昨日歡送港督參加官紳名流盛況一時港督演說盛讚印人合作
page 6	燈火管制下週可望公布防空總監談話
page 7	今天棒球聯賽南華大戰港啤下午二時一刻在漆咸道球場第二幕中華迎鬥工程
page 7	星東足球征澳隊第一戰詳記四比六敗於新南威隊第二三四戰均奏凱歌
page 7	卓雄杯賽太古同義奏捷
page 7	中西男女籃球戰今日四路會師首場黑豹女子隊對南商下午四時起在卜公球場
page 7	中學籃球戰嶺東不敵華南今日三場戰事
page 7	股票漲風續熾買胃暢旺市況呈活躍昨日成交十三萬餘元
page 7	外匯牌價俱無變更美匯仍靜申匯微淡
page 7	國幣市況略趨下游
page 7	四四金市仍甚黯澹
