page 2	再論德義日三國同盟
page 3	以新加坡為重心英美將締防務協定美與論促美蘇親交韋爾斯斥責日本侵略越南
page 3	德報繼續攻擊美國
page 3	英人自信不受影響
page 3	周鍾嶽部長痛斥日人造謠慣技早被窺破無人置信
page 3	立法院例會
page 3	贛省新聞界勸募寒衣共得六千餘元
page 3	泰國向越又提新要求泰機並掃射越警隊
page 3	翁文灝部長表示滇緬交通可望恢復
page 3	上海公共租界交通工人復工公司方面損失三十餘萬
page 3	滇七四老人請纓報國
page 3	粵省府決定津貼公務人員辦法四項暫以三月為期
page 3	滬小學生被匪綁架
page 3	發展滇省錫業雲南錫業公司組織成立下月接收礦區開工採冶
page 3	黔省決心禁煙規定禁種為中心工作並令各專員按期出巡
page 3	滬米價狂漲每擔達 九十元
page 3	太陽旗下的上海
page 3	美國輿論多主積極
page 4	桂越邊境劇戰晉南我軍包圍陽城
page 4	攻入長治機場擊毀日機三架
page 4	地中海有空戰德機飛馬爾太投彈北非英空軍亦出動
page 4	泰戈爾病勢甚劇
page 4	傳保亦將參加軸心同盟欲藉此以對抗希臘以謀取愛琴海出路
page 4	美新機場奠基禮羅斯福總統演說決心建立海陸空防務以克勝任何侵略行動
page 4	英德空戰兩月德國損失重大喪機二千架陣亡五千人倫敦及法沿岸均有空襲
page 4	菲總統奎松歡宴吳部長
page 4	法屬赤道非洲總督斥達卡爾當局此次既以武力抵抗高爾將來對德義將萬難例外
page 4	英土兩政府談判新商約
page 4	羅前要人多被輭禁
page 4	土肥原任軍參院參議
page 4	麥克納特演說勸擁護民主黨共和黨僅懂得空談無力應付經濟勢力
page 4	重光葵有考慮辭職說
page 4	印回族同盟反對印督建議
page 4	美蘇關係
page 4	日謠的無稽
page 4	智利準備建大船塢以供西半球防務之用
page 4	美售英的艦隊第一隊抵英德國雖曾危言恫嚇但卒能安渡大西洋
page 4	明年九月的日全蝕北平研究院長李書華廣播演詞
page 5	星島渡海克光華東方嘉山擒士葛
page 5	洋門彈琵琶東方會巧勝四比一
page 5	比賽簡情
page 5	德權鼎賽昨日戰況熱烈
page 5	光華後衛弱星島隊輕取五對零 
page 5	球藝漫談
page 5	上半年國產經港出口總值逾一萬萬元桐油佔居首席茶葉藥材次之
page 5	勝球經過
page 5	加山看球別記
page 6	全港學界雙十節贈旗籌振製旗廿五萬枝分發各校委託三銀行為收款地點
page 6	本港警察當局積極疏散寬赦犯對潛回者已有補救辦法津貼接收機關務使遠離
page 6	九龍城防疫大會舉行衛生宣傳週將防疫知識灌輸於學生附近各村現已有自來水
page 6	孫家哲太夫人昨日大殮送殮者七百餘人遵遺志素筵待客
page 6	泰國代理領事談暹米無統制必要除本國需用外供過於求對限制運港說尚無所聞
page 6	徵　　　　　八月一日起明年三月止治療瘟疫痧創傷等藥
page 6	世界語學會昨歡迎胡愈之講述世界語之種種便利推廣世運進行國際宣傳
page 6	北大同學今日聚餐晚六時在大華舉行 
page 6	越南日軍沒收華商存貨華僑損失逾萬萬元以上已紛紛轉往南洋或回國
page 6	華高貨倉多被搜查
page 6	華僑損失逾萬萬元
page 6	港灣交通恢復常態
page 6	青年會少年部組織兒童劇場為教育兒童之良好工具指導委員會定今晚聚會
page 6	南頭日軍高射砲轟擊本港軍用機發砲十響在機四週爆炸機師機警卒能安然脫險
page 6	紫羅蘭歌舞劇團今日啟程赴泰
page 6	張善子畫展盛況四小時內觀眾二千餘人留港名詩人均紛紛題贈
page 7	養成三千萬國防人材各省組訓國民兵鎮保隊部明年一月成立川省本月已先著手實施
page 7	伶仃洋面四貨艇被日軍電船撞沉溺斃 船夥廿餘人交通輪救起兩人
page 7	澳市政委員會改選委員定十月六日舉行
page 7	日機無聊舉動草人偽裝降落
page 7	奸人作惡被擒槍決畢展平等四人伏誅
page 7	鏡湖醫院募集經費義影賣花籌款 
page 7	陳偉文反正後奉委為支隊長率部參加抗日陣線八區防務積極加強
page 7	粵振會收容僑胞
page 7	江會各線戰事仍烈 
page 7	婆蘿島馬騮洲被擾
page 7	西康日記一八二第九編九龍木裏途中
page 7	老隆韶關車費漲價專車需款二千餘元
