page 1	社評行憲要由下而上
page 2	隴海東段戰局仍緊冀東國軍進駐武清縣城
page 2	大連之接收與中長路問題我將與蘇方在京商談熊式輝昨對記者談東北現狀
page 2	馬帥在檀談話中共並無受蘇援助證據對離華聲明之反應不加評論
page 2	整理現行法規意見
page 2	國際關係學會定明日在京開成立大會申請入會者已逾三百人
page 2	黃汎善建會議閉幕各代表將赴汎區實地視察
page 2	運輸業營業稅繼續免徵一年
page 2	中共發言人談黃河堵口
page 2	出獄人保護會京市人士發起組織
page 2	平美軍強姦女生案美當局曾召集我方證人會談
page 2	孫張雷昨離滬返京試探恢復和談尚無具體方案
page 2	西康武力對付夷人靖邊軍分三路攻五裏菁
page 2	航機遇難者家屬對中航公司不滿百萬卹金不擬領取
page 2	珠江又沉一船台山號觸雷
page 2	蔡元培八十冥壽北大師生開會紀念胡適等講蔡氏生平
page 2	飛機停輪船少臺灣恍如孤島
page 2	凱恩論我經濟情況混亂最大因素厥為預算不平衡若非停止內戰經濟必續趨惡化
page 2	宣慰僑胞情狀李迪俊向蔣主席報告
page 2	武昌碼頭糾紛正徹查肇事真相日籍販毒犯川口處死刑
page 2	蘇北大貪污案主角楊昀保釋逃匿省當局正嚴究責任
page 3	共和黨巨頭范登堡發表演說美應改變對華政策鼓勵共產黨以外各黨組織聯合政府貝爾納斯籲請保持強大軍備與軍隊
page 3	美軍還要留駐中國共和黨參方員馬丁等說美軍必須留駐中國一半為防蘇一半為踴壓中國敵對軍隊
page 3	美黑人青年大會反對馬帥任新職
page 3	吉田內閣勢將倒潰可能擴大基礎重行當權左翼團體反對聯合內閣
page 3	威爾斯講遠東情勢東亞和平之關鍵在於華盛頓與莫斯科間之最後全盤諒解
page 3	越南解放的領導者越盟續
page 3	蒙帥返抵倫敦訪蘇成就甚大
page 3	越軍進攻河內胡志明籲請越自由職業者各盡其力為爭取獨立奮鬥
page 3	繆戴返法談話說要確保安全
page 3	倫敦官方否認英法同盟傳說
page 3	北非法屬地抗議法國對越政策
page 3	南國外長談話將不簽署對義和約
page 3	瞧瞧人家法國介紹法國的四年經濟計畫
page 3	美國一年間罷工四七五起
page 3	印尼續有激戰巨港荷印兩軍衝突嚴重僑胞受害籲請救助
page 3	美國務院喬遷本月起開始搬到陸軍部新廈馬歇爾元帥對那裏並不陌生本報特輯
page 3	馬來亞憲草馬來民族大會通過
page 3	玻利維亞新總統選出
page 3	滬菲線機失事呂宋小姐號墜落海中乘客已有三十六人獲救九十四號機同日在海南島降落
page 3	伊朗普選學生要求選舉自由
page 3	簽訂友好條約
page 3	巴勒斯坦問題歡迎聯合國解決猶太公談話會主席
page 3	德國鱗爪和會首都賠款
page 3	法總統候選人奧里沃有希望
page 3	美原子政策不變華府人士評巴魯治辭職
page 4	滬參會昨討論稅收電請中央再撥出一部份補助
page 4	旅棧捐收百分之五
page 4	參會花絮一飯三千局長餐附和舉手道OK濃裝豔抹驚四痤參議夫人誇夫來
page 4	筵席捐娛樂捐意見不一今日繼續討論
page 4	參會小組審查市政計畫
page 4	樓國威繼長上海直接稅局
page 4	修馬路拆房屋居民請願燒香下跪實驗民校敵屋居民昨亦請願
page 4	滬二屆籃球聯賽巨人及綠隊奏凱Ｖ隊敗於晨友二九比四十
page 4	滬工部局舊職員向英領索取養老金
page 4	榆林杯越野賽樓文敖獲冠軍
page 4	中國航機今日起飛中央亦於今日售票
page 4	南京惠中兩飯店因年賞先後罷工
page 4	二十三分二十五秒雲南旅滬同鄉願意收容一部
page 4	有情人未成眷屬大學生蓄意自殺遺書自謂全係厭倦人生
page 4	今日天氣預測
