page 1	日本人的思想如此四月選舉所見
page 2	保定外圍戰事猛烈國軍進駐完縣蠡縣高陽晉南晉中各地激鬥進行未已
page 2	魯境戰況國軍進駐蒙陰青島外圍戰事沉寂
page 2	論教育的權利義務與免費基本教育研究之一章
page 2	孫連仲由平返保
page 2	新河美軍火庫傳已移交國軍
page 2	淩鴻勛等離平赴瀋視察路政中　路北段已修復
page 2	政務會議定於今晨舉行各部次長人選將提出
page 2	中政會昨晨舉行會議
page 2	政院昨日外賓咸集各國使節拜會張群
page 2	行政院副院長王雲五昨視事對記者談今後工作三點希望資委會新舊委員長昨辦交接手續
page 2	蔣主席昨召見考績最優人員
page 2	憲政會常委會今日舉行會議
page 2	關於地方政權政府同意青年黨人充專員縣長將可由該黨先行提出名單一批
page 2	李璜在渝談話
page 2	雷震昨晤伍憲子
page 2	立法院將討論經濟方針公教人員待遇亦在討論之列張群張嘉璈等均將列席報告
page 2	晉省參政員已選定四人
page 2	各地糧價漲風未戢京市各銀樓定下月停業
page 2	立委選舉閩省設三選舉區投票監委五名由參會選舉
page 2	粵境內匪患日熾參議員請增兵協剿積極整飭吏治軍紀
page 2	回民參政辦法滇回協分會請求修正
page 2	浙省參會呼籲停止田賦徵實
page 2	谷正綱報告社會部工作
page 2	日賠償分配待決定遠東委會賠償委會週後開會傳美將建議與我百分之四五關於工廠分配盟總即發通告
page 2	遣送下關難民連日加緊辦理已有二萬餘遣送回籍
page 2	柏文蔚遺體昨在滬大殮
page 2	食鹽陸續輸日日輪駛津裝運
page 2	戰時我國航業損失日方應以船隻補償航業界要求商震向盟總交涉先行劃撥日方船舶五十萬噸
page 3	聯大開會前發現暗影猶太代表團拒絕參加英國欲擺脫單獨肩負責任各方咸重視蘇聯所持態度
page 3	巴勒斯坦問題透視自所羅門統治起擾攘至今現在是聯合國面前的難題
page 3	談海上安全會議
page 3	貝文取道柏林返國英美會商兩佔領區經濟合作倫敦刻正討論政治合併問題
page 3	猶太復國運動要求參加會議
page 3	皮杜爾返國途中曾與波外長會談
page 3	威爾斯廣播盛讚美強硬政策
page 3	普選後之日政局民主黨舉足重輕蘆田齊藤主張組織聯合內閣
page 3	蘇報檢討外長會議仍望進行國際協商
page 3	印制憲議會開幕回教聯盟代表仍未參加蒙巴頓赴西北邊省視察
page 3	司徒森返紐約
page 3	斯退丁紐斯演說強調積極改進中美友誼籲請國人踴躍援助中國
page 3	戴高樂又將發表演說
page 3	美檢討外交政策白宮會議馬歇爾曾出席報告杜魯門防共政策為議題之一
page 3	馬歇爾今晚播講莫斯科會議經過
page 3	研究原子能華大設生物化學實驗室已着手研究輻射等部門
page 3	鞋王拔佳通敵正被缺席審判
page 3	日婦女選舉結果在眾院中佔十五席
page 3	英波臨時協定機器易取煤斤
page 3	美國小說家卡索爾逝世
page 3	修改英伊條約伊擬與英即開談判
page 3	粵漢路車出軌搭客死一人傷多人
page 3	美作家馬匡德發表旅日觀感
page 3	菲籃球隊抵榕
page 4	本月差額金公布為十一萬七千元外傳將規定最低工資吳局長認目下不可能
page 4	正廣和汽水廠工人慢工要求加工資遭拒絕
page 4	冶鍊業冶坊工人要求改善待遇資方違約社局再調處
page 4	振華橡膠廠工人昨怠工社局派員調解中
page 4	清華大學的誕生
page 4	代友領薪挪用盡淨畢克控霍納侵佔中國紡織學會下月初分地開年會理事長朱仙舫報告該會工作
page 4	市立第八醫院實際並未設立張學濂呈報議長
page 4	市立第七醫院先行開始門珍
page 4	朱愛波同情有人中美聯合商場櫃戶同人捐廿五萬二千送交本報
page 4	益社體育會積極培植新人
page 4	中華職教社三十週年紀念下月六日舉行
page 4	救濟清寒教友設食糧供應社回教青年建國服務社
page 4	國際音樂會明晚假青年會舉行
page 4	星島在滬第二仗今午五時戰猶太
page 4	嫌夫貧再嫁別人結婚日被警逮去本夫程鳳池控告重婚
page 4	清華校慶滬同學會今晚慶祝管絃隊奏古典音樂
page 4	洞庭圖書室徵求讀者運動
page 4	羅斯福盃籃球賽中華隊力克美國結果五一比四四遙遙領先包松圓表演出色獨中八球
page 4	比賽過程
page 4	賽後絮語
page 4	本屆高中畢業生堅決反對會攷制交通麥倫正中三校已有表示
page 4	高普檢定攷議教局代為辦理
page 4	中國紡織學會下月初分地開年會理事長朱仙航報告該會工作
