page 2	社評日本佔越與侵略動向
page 3	日本邁開南進鐵蹄維希全部出賣越南竟贊同日佔領越南軍事根據地韋爾斯氏接見野村提出警告
page 3	陪都人士警告英美對日本勿估計過低
page 3	英美擬作經濟制裁對日禁運凍結存金
page 3	巴達維亞演習燈火管制
page 3	晉南敵竄犯不逞福州近郊激戰濟南敵出犯被擊退
page 3	敵軍集中熱河準備侵犯外蒙板垣抵漢城岡村會飛張家口
page 3	我首任澳使徐謨談話中澳關係益趨密切竭力增進兩國利益
page 3	緬甸整軍
page 3	日本議員苟延殘喘
page 3	偽縣長被殺
page 3	三青團提倡滑翔運動每人捐獻一元
page 3	廣州成死市敵臨偽組織撤離市區
page 3	後宮淳赴寧
page 3	我駐德義使節經法西葡返國
page 3	華北傀儡銀行將行新外匯制
page 3	德義日加緊勾結奧特殷德裏又晤豐田大島訪謁裏賓特羅甫
page 4	蘇德戰事膠著柏林承認進攻受阻傳季德爾等已被革職
page 4	德機又襲莫斯科
page 4	義報發出悲觀論調蘇軍實力仍極強大德已無力佔領城市
page 4	美援華總會熱烈舉行歌頌中國領袖宴威爾基任主席參加名流逾千
page 4	自由法軍將有新行動德方所傳如是
page 4	南美國家嚴防納粹陰謀阿根廷警察搜查使館玻利維亞德使被逐離境
page 4	任伯川壯烈犧牲
page 4	德勞工問題日趨嚴重發動對蘇戰事所致
page 4	康特公爵將訪加拿大加政府表示歡迎
page 4	美代英建貨輪第一艘將下水建築時間僅及四月
page 4	秘魯與赤道國又發生衝突秘陸空軍皆出動
page 4	英首相將闡述戰局眾院並將舉行辯論
page 4	美眾院委會通過新稅案達三十五萬萬元
page 4	緬甸華僑發起獻車運動購車百五十輛捐獻政府我緬甸訪問團正籌備中
page 4	甘省學生請纓殺敵
page 4	滬狂風暴雨跑馬廳一片汪洋
page 4	故都日僑激增移殖數逾十萬
page 4	英議會當局邀美議員赴英俾能明瞭英國實情
page 4	蘇軍將領晤英外長
page 4	葡總統赴阿瑣爾島視察防務
page 4	貝當的榮譽
page 5	勸儲總會發表海內外儲款統計總數為四萬萬七百零三萬元各省淨存儲款廣東占第二位
page 5	晉西戰場英勇殺敵的壯烈事蹟
page 5	第四折抗戰經過七
page 5	桂貸款百萬元辦甘棠江水利完成後可灌田一萬五千畝
page 5	衡陽西渡開鑿鹽井蘊藏豐富可供全湘食用
page 5	空間怎樣纔能永久避免戰爭澳洲我探險家威爾金斯談話
page 5	陪都憑證購糧調查已完竣即將實施暫行辦法亦正式公佈
page 5	華南敵軍調動繁忙敵艦結集萬山群島
page 6	警方決心肅清賭風嚴禁俱樂部開賭如以現款下注即犯賭禁俞允時昨日對記者談話
page 6	港九發現反英標語在燈火管制夜
page 6	警探嚴厲執行取締非法組織不良分子如有軌外行動一經拘獲概行遞解出境
page 6	華商隊募債將達百萬元
page 6	尖沙嘴渡輪撞於堤岸上
page 6	官營米業情形政府將發公報官營米價上漲各方關懷巴利局長拒絕發表意見
page 6	大澳匪黨六七人深夜焚劫尼庵搜劫後臨行復縱火焚燒一九十歲老尼慘遭焚斃
page 6	糧食貯存範圍擴大包括醃肉罐頭鹹魚油豆限兩星期貯足呈報當局
page 6	公平糶米會設欄售菜籌備大致就緒與種植總會合作社合作二十七日起在旺角發售
page 6	殘廢軍民療養院募捐中外人士踴躍捐款港督羅富國捐助五百元截至前日民得四萬餘元
page 6	棉子油當局禁止入由於有礙衛生
page 6	港台山商會昨歡迎馬超後馬提議建設新台山
page 6	天廚味精廠擬設鹽場已獲港府批准
page 6	銀都魯籍舞客尋釁舞場內大混戰李雪雪被撞致引起突衝雙方以杯碟擡椅作武器
page 6	娛樂消息
page 7	首週足球秩序編定南華首遇光華星島東方一致槍口向外丙組國際退出港大邀准加入
page 7	孤島體育談
page 7	夏令籃球大戰仿林僑星奏捷
page 7	卓雄杯賽今日比賽兩場
page 7	星華排球錦標賽育英冠群曹古岡甲力戰不敵獲亞軍全部結束功德圓滿收場
page 7	光華新職員產生
page 7	外匯牌價俱無變更美匯微淡申匯仍穩
page 7	國幣市況略形堅穩
page 7	股票市況靜寂遠東時局影響買賣寥落昨成交總值僅二萬餘元
page 7	四四金靜寂
