page 2	社評美國今後的動向
page 3	德軍進展遭遇困難南希邊境抵抗猛烈英陸軍開入前線協力保衛柏林宣傳已侵入南希數十公里
page 3	希臘民氣激昂三軍誓死抵抗
page 3	伊總理廣播外交方針履行英伊條約德傳英陸戰隊抵伊
page 3	南機相當活躍曾飛炸羅匈保境內目標南都被炸成為火海
page 3	土國沉機觀變蘇聯擴大防空作戰演習蘇南締約柏林震動
page 3	美國趕速援南赫爾痛斥侵略
page 3	東非英軍控制全局攻陷阿國首都北非英軍反攻班加濟
page 3	日閣開會東條報告巴爾幹局勢
page 3	英使赴渝
page 3	日西部地震
page 3	鑾披汶訪日說泰官方之解釋
page 4	贛北我軍挺進向南昌日軍迫攻中東江我軍又克復坪山
page 4	何部長對英美演詞全文我們決不停止奮鬥
page 4	公務員退休制閩省已首先採行
page 4	昆明喜雨
page 4	馬來亞政府已同意放寬振濟匯款限額
page 4	駐菲島美空軍舉行示威演習賽雅談菲島防務已大為增加普法姆囗囗首途赴菲
page 4	美國海軍論一
page 4	日本海軍與美國三原文載亞細亞雜誌三月號
page 4	松岡僕僕征途今日可到蘇京
page 4	美總統與胡大使聚餐暢談胡氏設宴招待高斯大使
page 4	滬法租界特捕罷工抗議逮捕伊哥爾
page 4	王寵惠氏調任原因
page 4	閩省府否認禁用女職員
page 4	滬工部局公布候選西董名單
page 4	滬王堯欽綁案藏票地點已明
page 4	中央組織部將召集婦女代表會
page 4	英軍應戰
page 4	阿京攻陷
page 5	柳州警探機關破獲汽油巨刼案主犯三人槍決汽車充公所得贓款撥忠烈祠基金
page 5	西康日記第十四編麗江雜記
page 5	都江堰開水灌溉川西春耕川康水利事業發展迅速四大工程均先後施工
page 5	粵重申前令保護歸僑籍端壓迫者依法懲處
page 5	經部修正公布工廠登記規則
page 5	韶關陳水雲案又獲一嫌疑犯勤務兵陳自銀在老隆被捕開棺檢驗確係被謀殺
page 5	粵閩贛邊區治安情形良好梅縣興寧各地賭風甚熾今年僑匯恐有減少之虞
page 5	粵各縣合作社着手調整組織積極籌組日用必需品供銷處分區派員視察指導合作事業
page 6	中華教育基金董事會月底在港舉行年會翁文灝等代表均擬出席孟祿博士由美飛港參加
page 6	聖約翰救傷隊昨舉行周年大操港督親到頒獎並致訓詞救傷表演舉動純熟敏捷
page 6	旅港教育界組織世界橋教協進會日前舉行首次籌備會議會章擬就現正積極進行
page 6	新警司伊雲散斯即將來港履新伊氏服務遠東二十餘年
page 6	記者公會明日招待各界換物遊藝會日期已迫近港各廠商紛紛贈送物品
page 6	荷印僑領丘元榮昨晚由港飛渝吳鼎新金曾澄飛韶
page 6	上海法租界法警過港赴英投效自由法國領袖高爾
page 6	培正青年會管絃樂隊定期舉行音樂會
page 6	回國旅客防疫新例
page 6	交大校友紀念四五校慶
page 6	梅芳校長昨歡宴鄺炳舜贈送錦旗並聘鄺氏為校董鄺氏今日對該校學生訓話
page 6	金銀業貿易場出錢勞軍十三萬五千元昨已匯呈財部
page 6	二十七年金公債第四次還本付息已提前於二月一日抽籤由四月三十日開始付款
page 6	洋務工會昨開三週年紀念會香港洋務工會昨假座太
page 7	恩德杯排球補賽培英大戰東方賽會擬定本月二十再決雌雄是戰改作義演假青支會舉行
page 7	澳聯女子籃球隊在港初奏捷二十三比十七力挫仿林今日女對防空男戰培英
page 7	足球縱橫談六
page 7	中西田徑義演下月初開鑼協會將於本週另訂對抗項目各健兒如有意參加可速報名
page 7	籃球友誼賽康元勝鐵茅
page 7	仿林球隊征澳昨晨奏凱返港
page 7	星島體育會歡宴澳聯隊
page 7	季末足球比賽秩序
page 7	外匯牌價俱無變更美匯靜寂申匯好轉
page 7	巴爾幹戰事影響股票市況趨靜漲勢稍挫買賣範圍亦告縮小昨日成交總值八萬餘元
page 7	國幣市況略形堅挺
