page 1	立法院集會了
page 2	立院會議討論議事規則各單位昨推定起草委員民青兩黨名額問題無解決跡象
page 2	立院會議花絮論年齡五世同堂膳宿費少了一半吳鐵城做主席怕被噓下來
page 2	華僑問題
page 2	居正辭職
page 2	動員會秘書長洪蘭友堅辭中
page 2	馬鴻逵今飛蘭昨晉謁蔣主席
page 2	何應欽謁蔣主席許多國防部要員去訪他看來他將做國防部長了
page 2	布列特赴滬就要來華南了
page 2	中美兩大學將交換學生
page 2	蕪湖米荒貧民搶米
page 2	國民黨中央紀念週徐柏園報告財政近年國庫收支不敷甚鉅通貨膨脹是由於錯覺
page 2	廣東的鎢礦蘊藏遍全省開採却不多鎢砂官價低走私很嚴重特礦處人錢兩難工作棘手
page 2	抑止物價漲風蔣主席曾與俞鴻鈞會商
page 2	老河口以北激戰南陽益緊國軍克許昌
page 2	杭州灣有戰事共軍佔據一小島滬杭路嚴加戒備 
page 2	黃埔建港準備動手即成立興業公司來主持城陵磯港工程籌委會已成立狗牙洞支線起點決在粵省坪石
page 2	中央研究院院長傳將由胡適繼任
page 2	粵民政廳禁政會議決定武裝剷除煙苗宋子文重申禁絕煙賭令
page 2	胡世澤抵台北
page 2	打狗運動穗警局昨槍決三十隻狗一隻狗咬傷了軍警三人
page 2	禁舞期近舞女等招待記者
page 3	美鐵路職工今起總罷工全國交通及工商業將受影響紐約糧食價格已經漲破紀錄
page 3	阿人殺機又動各阿拉伯國家動員參戰埃及軍隊兩千侵入聖地
page 3	印尼華僑的生活及其困境
page 3	哈里曼抵巴黎將參加歐洲自助會議
page 3	美大選的鼓吹
page 3	美總統候選人社會黨已推定是六十三歲的湯姆斯
page 3	蘆田內閣遇困難片山說恐要辭職
page 3	賴伊論聯合國危機機構如毀滅戰爭即發生戰爭如發生人類即毀滅
page 3	日人盼早開和會對英國最近主張表示歡迎
page 3	北歐三國總理會晤傳商締斯干的那維亞同盟
page 3	北海海面上英海軍將作大演習出動戰艦數十艘飛機百餘架練習海空軍攻防戰各種戰術
page 3	美蘇元首會晤說杜魯門一再否認
page 3	蘇聯人說不怕戰爭如被迫作戰將予敵人打擊
page 3	今天華僑的兩重任務要生存就得自己幹聯合當地民族反抗帝國主義的壓迫
page 3	中日航空線六月可開闢
page 3	邱吉爾向群眾演說重申歐洲聯合要求演辭富煽動性道來娓動聽
page 3	義選總統遇困難史佛卓及尼柯拉旗鼓相當無一候選人獲足夠多數票
page 3	不顧各方激烈反對南韓選舉昨如期舉行警備森嚴漢城仍有騷動發生
page 3	世界奕賽冠軍選出印語字典編纂有人
page 3	聯合國朝鮮委會想去日本被擋駕
page 4	立法局將討論修改稅法提高財產稅起徵點五千元以下遺產不收稅
page 4	國內烽煙處處本港商務不振普益商會紀念大會主席致辭
page 4	防止日貨傾銷廠商會發電各地
page 4	華商總會法律顧問羅文錦請辭職全體幹事值理決定挽留
page 4	火車頭五十將過港運國內
page 4	今天起配陳米
page 4	油蔴地渡海將增加兩輪
page 4	廣州方便醫院在港徵求同人
page 4	警局招領大批珠寶
page 4	白鐵業工會推出理事長
page 4	兒童救濟基金會代表報告來遠東任務遠東各國可得救濟金三百萬元
page 4	岑載華來電有人問貨價
page 4	她控告他扣留行李他說她是包月女人法官念她無知申誡了事
page 4	省港線輪畫一運價統一分配接載貨物九日成立協議定明天起實行
page 4	被控毆打關勝奇勒幫辦否認說只以手按其肩膊而已
page 4	學習司機則例改變
page 4	謝紹芬來港半年監獄丰采未改
page 4	麥耀全案昨又未審
page 4	詳問傭婦企圖行劫事機不密五人被捕
page 4	警官的司閽竟想竊主人
page 4	勞資糾紛久懸不決人力車夫請求仲裁
page 4	上訴仍被駁回勝斯還得搬家
page 4	麥景陶昨日返港
page 5	香港去貨過多仰光市面擁塞異常價格普降百分之二三十
page 5	吧城華商虧折布市黯淡無光
page 5	馬來亞解除統制後椰亁椰油市勢轉旺包落水椰油每擔八十元
page 5	南沙群島的經濟地理
page 5	荷印出產大批運來
page 5	港金市盤旋美匯若不繼續跌落金價似已近最低點
page 5	台幣匯率提高十元一比三一二元
page 5	滬金鈔股票再升申匯繼續跌落省匯比較緩和黃金最高六千一百萬美鈔最高一百十八萬
page 5	多空雙方拋出收進
page 5	中元造紙廠在榕籌設紙漿廠向美借得二千萬美元
page 5	股市平穩
page 5	柳州米價達四百萬
page 5	桐油購價重新調整滬梧每擔千一百萬廣州每擔千二百萬
page 5	消息傳來銀元吃香傳全經會決收兌銀幣
page 5	上海銀根鬆濫物價不斷狂升糧食漲勢尤為猛烈
page 5	粵得田料萬五千噸政院准光撥給
page 5	星馬貨幣總額增加流通額四億餘萬比三月增十餘萬
page 6	四強足球隊獲得決賽權港警滬陸作單循環角逐九日八勁旅四場鏖戰經過
page 6	男子標槍決賽第一名陸軍陳濟川成績四七五六圖為擲標槍脫手前的一剎那
page 6	風風雨雨悶煞人全運停止一天戶外節目全部順延今日能否舉行仍難預料
page 6	菲黑白籃球隊抵滬參觀全運會後將向各隊挑戰
page 6	昨天唯一競賽節目男女乒乓比賽結果女子組港滬選手勝穗台男子錦標部四傑亦產生
page 6	王燦華傷腰進醫院
page 6	大會通告各領隊
page 6	世運足球隊勝曼谷學聯成績十比一
page 6	籃球錦標賽滬菲有惡戰天津隊今非昔比上海隊可勝警察
page 6	拳賽黃勒擊敗台灣選手
page 6	巴達維亞備戰世運隊
page 6	男鐵餅冠軍天津齊沛霖成績四一五五公尺破全國紀錄
page 7	志願兵何嘗志願新會一水客被作為竊犯苦打成招後竟送去當兵
page 7	催糧人員氣燄沖天農民都被武裝看管催兵的也被他打得飛跑中山張家邊幾度起糾紛
page 7	惠陽一鄉長忽挂印潛逃
page 7	石岐數十架單車突被拱北關抄去
page 7	吳淞口不比榮成灣萬里輪旅客苦矣受饑受寒還飽受虛驚長城輪船員竟趁火打劫
page 7	東江上下游船隻已暢通
page 7	船員脾氣大竟又打軍人
page 7	稻蟲隨潮水湧至農民請巫帥作法新會睦州一帶不少田畝受害
page 7	武漢集團結婚同日隔江舉行五歲的小孩登台誦賀詞漢口徐市長三次發脾氣
page 7	房屋獎券武漢也發行
