page 2	日本經濟進入崩潰階段
page 3	綏西我軍又一勝利攻入五原掃蕩殘日靈山附近肅清日軍向南潰竄
page 3	各地日兵車迭遭我軍炸毀日軍損失相當重大
page 3	白主任報告現階段軍事政治戰局我處主動隨時殲滅日軍加強政治力量粉碎日偽迷夢
page 3	遙慰英魂桂各界下月追悼崑崙關陣亡將士 
page 3	桂省府注重民眾教育補助成達師範萬元增設實驗基礎學校
page 3	杜省德政省府下令戰區各縣田賦房稅減半徵收
page 3	美報繼續撰文揭破日汪面具交還佔領地係自欺欺人日本本身困難日見增加
page 3	張敬廬愧悔自戕汪兆娥不齒鄉里
page 3	出力又出錢陳忠里作戰負傷又呈獻節約儲金
page 3	中央及渝市各界追悼蔡孑民先生成都各界同時舉行
page 3	日軍的醜行擄兒童焚民房搶米糧搜銅鐵
page 3	鄂各界追悼丁蔡兩師長
page 3	中央研究院推出院長候補人選翁文灝朱家驊胡適得票最多下屆評議員亦選出
page 3	南僑慰勞團下月抵渝各機關籌備歡迎
page 3	粵省政彙聞韶關舉行新縣制宣傳會省府組都市計劃委員會
page 3	東亞新秩序與民族主義一
page 4	莫洛托夫赴德訊蘇京鄭重否認東南歐風雲變幻莫測德義外交活動甚積極
page 4	法內閣會議各重要閣員皆出席部次長已分別視事
page 4	義擬向比購煤英國極注意此舉將影響對德封鎖但比官方謂不知其事
page 4	日本產業已至崩壞期東京國民新聞三月二日社說原題為產業已至整理期
page 4	瑞典積極鞏固國防向德定購大批軍火籌辦挪瑞聯絡交通
page 4	蘇芬代表舉行移交漢哥典禮集會儀式極為莊重
page 4	義國薪金一律增加民眾皆表歡迎
page 4	波蘭漁船助英作戰擔任掃雷工作
page 4	德機濫炸商輪挪威提出抗議要求懲罰當事飛行員
page 4	楊格被判有罪美報著論譏諷
page 4	北歐同盟恐難成事實德蘇兩國均表反對瑞典態度猶疑不決
page 4	對美總統呼籲我表欣感美國人士工作尤堪加以讚揚
page 4	南路戰事
page 4	民族至上
page 4	英內閣改組說喧傳仍盛工黨或有入閣可能
page 4	鷹獅之翼
page 4	德東北部河流氾濫災情相當嚴重
page 4	鷹之翼
page 4	義匈談判明日開始
page 4	蘇在北太平洋設防美向遠東南美購國防原料
page 5	鶴山邊境緊張日軍增兵江佛路新鶴路方面戰事膠著
page 5	韶關收容戰區婦孺已達四千餘人
page 5	粵普遍推行節約儲蓄運動限各縣市四月底成立支會並定四五兩月大規模勸銷
page 5	推行辦法
page 5	廿八年度福州物價較前均見飛漲
page 5	競賽獎勵
page 5	粵北各縣腦膜炎猖獗現正加緊防治撲滅
page 5	勸銷兩月
page 5	美一碗飯運動成績良好朝野人士熱烈援助募得美金七萬餘元
page 5	滇緬行十二二十三去遮放途中
page 5	翟榮基談作戰經過
page 5	犯南頭日偽已全部肅清寶安我軍反攻大捷深圳各界熱烈慶祝
page 6	萬流景仰備極哀榮港各界追悼蔡孑民林主席蔣總裁派代表與祭羅旭龢代表各界致開會辭
page 6	會場布置
page 6	到祭人物
page 6	致開會辭
page 6	致祭秩序
page 6	港各界祭文
page 6	北大同學祭文
page 6	下月燈火管制東西港口封鎖由日落起至翌晨日出止所有船隻一概不准出入
page 6	東西港口一律封鎖
page 6	同鄉祭文
page 6	燈火熄滅分三時間
page 6	電話用戶減輕負擔規定新例內已撤銷將於立法局會議內提出免費供政府五百個電話
page 6	蔡孑民先生的貢獻
page 6	防癆協進會成立港督羅富國爵士為贊助人首次執委會定廿七日舉行
page 6	蔣總裁祭文
page 6	林主席祭文
page 7	國際杯足球決賽中蘇同爭錦標下午四時在掃桿埔場開火望我軍努力為國爭光
page 7	港澳埠際足球戰香港打贏仗六比三金海變帽子戲法澳隊今晨班師明年再會
page 7	天曉得尖事三則
page 7	國際杯決賽戰前瑣語
page 7	港工業概況二去年外銷九千萬元 
page 7	思豪夜宴港澳英雄聚義
page 7	美國排球聯會最新排球規則九
