page 2	社評最低調的戰時政治論
page 3	贛北我軍繼續追擊錦河南岸全部肅清
page 3	德日會談進行中松岡連日謁見希特勒德方宣布談話涉及整個攻英戰爭
page 3	美國艦隊將訪新加坡華盛頓方面之預測
page 3	日人迷夢希望蘇聯參加軸心
page 3	中國抗戰到底松岡詭計絕難得逞倫敦泰晤士報發表之專文
page 3	泰國務院長視察邊境越南日國派員赴越北調查是否有貨品運華
page 3	劫後通城中央社記者視察記
page 3	日翼贊會軍部提加緊控制計劃末次對新體制消極
page 3	汪特工部圖擴大暴行又對各報記者警告租界當局積極戒備中
page 3	滇緬路改進計劃傳由美陸軍工程師草擬中中美雙方均聲明並無所聞
page 3	郭大使設午餐再招待外賓英官員多人參加
page 3	日海軍代表團離法赴德會視察西歐德佔領區
page 3	經濟部將撥款發展後方工業財政當局起草新計劃解決金融與經濟問題
page 3	日人在滬製造駁船連日分運華南
page 3	滬樂羣中學被日人闖入搜查帶去職員陶廣川
page 3	卡爾大使將離滬赴渝
page 3	金沙皖旌德縣出產當局招工淘取
page 3	美紅十字會助我國藥品業已先後起運
page 3	蕭伯納談話對於中共問題之意見贊成蔣委長所發勸告
page 3	全國今日紀念黃花節中樞舉行盛大儀式
page 4	南國團結禦侮英美積極聲援南保交通完全斷絕
page 4	南國加緊動員人民傾向英美
page 4	教會擁護政府保羅離南赴希
page 4	希臘舉國歡騰土閣會商時局
page 4	話說當今英格蘭玖國際本是座大舞台三一九四零年歐洲稗史大觀倫敦航信
page 4	英王電賀南王
page 4	軸心大受打擊
page 4	美撥款案手續完成英美海軍協定簽署英美合作愈趨正軌化
page 4	美將加緊戰生產製造速率兩倍德國
page 4	加拿大參院通過軍費案
page 4	英情報部印行不列顛之戰縷述德空軍戰情
page 4	英軍佔克倫義屬伊里特利亞心臟已入東非英軍之掌握
page 4	希特勒的苦悶
page 4	叙利亞發生大罷工士人要求自主權
page 5	韶關桃色慘案女主角死於非命情海風波陳水雲血濺德教堂案情複雜某顯要牽連被拘押
page 5	粵公路處長談修建韶興路計劃必要時將停止通行以利修築粵南信宜羅定間擬開闢新路
page 5	洪深過桂赴粵任中大教授職
page 5	粵省苛捐雜稅規定裁廢標準
page 5	鄺炳舜由渝抵桂談回國觀感陪都人士意志堅強工作努力將士堅苦奮鬥令人感動
page 5	外匯牌價俱無變動申匯市況略見好轉
page 5	股票益見堅挺賣戶乘勢居奇擡高售價昨日成交總值九萬餘元
page 5	國幣市況略形堅穩
page 6	本港各界僑胞今日紀念黃花節九龍各僑校舉行千人操各校及九龍關放假一天
page 6	港九各校籌備慶祝兒童節分在四大戲院舉行大會各會主席團已抽籤決定
page 6	女青年會明日舉行兒童音樂會由各小音樂家擔任
page 6	港出入口署公布上月貿易概況總值九千三百餘萬元進口增加出口則略減
page 6	廣東省振委會港辦事處昨會議募捐共約二萬三千餘元決函催各委員報繳捐款
page 6	黃文山由美來港即將赴渝
page 6	現代畫展今日開幕
page 6	港大舊生會昨舉行聯歡會
page 6	四月一日執行娛樂稅修正稅則娛樂業商應與政府訂立繳納娛樂稅之固定辦法
page 6	扶輪會售旗籌款獻贈中英兩國
page 6	中央派員來港推進電影事業杜桐蓀由渝即可抵港負責提高出品之水準
page 6	電話公司昨舉行股東年會溢利較前年增加四萬元刻正考慮論次計值辦法
page 6	肖麗章家信被人竊去私開偷閱更改字句向其妻騙去八百元
page 6	黃花崗七十二烈士墓
page 7	甲級聯賽獨幕劇星鳥重遇香港會提前下午三時在快活谷開場星島如不輕敵穩獲兩分
page 7	草地網球年會新職員產生混合雙打因婦孺疏散不舉辦團體網球賽定下月十九開幕
page 7	南華足球隊征菲下月十三出發高佬陳靜濤統領三軍慶功宴下月十二舉行
page 7	恩德杯排球精采戰東方迎抗南華下午三時正在卜公球場上演雙方實力雄厚得失有關錦標
page 7	滬足球三傑名位表上海通訊續
page 7	正廷杯南華戰半山甲
page 7	桂林樂群杯球賽全是丘八天下足球賽防校打勝軍校籃球戰輪隊包辦兩場
page 7	球圃菜根集四十四
page 7	中美籃球賽民大奏凱卅二比廿三打退投路沙
page 7	星島戰陣十傑雄姿
