page 2	美日海軍力之檢討
page 3	蔣委長勉全國軍民努力抗戰發奮雪恥日與汪簽約為其失敗總表現近衛此次舉動僅自貶其國格
page 3	摩根韜向國會解釋
page 3	改善滇緬路加強運輸力全部工程將開始
page 3	日反美示威東京美大使館加緊警戒並促日外務省注意此事
page 3	德態度如此政府發言人談話對汪暫不考慮
page 3	有獎儲蓄陪都開始發行
page 3	湘編製概算訂定審核標准四項
page 3	淬勵精神鞏固團結
page 3	日機又襲滇我損失甚微
page 3	中央社之創舉倫敦分社開幕郭大使致詞表示欣慰
page 3	孤島瑣聞
page 3	教育部派員視察各省中學
page 3	谷正倫赴甘履新
page 3	滬西勢將絕糧日竟加緊封鎖一切食物均不准運入領事團交涉亦遭拒絕
page 3	李國欽氏又獻美金萬元
page 3	另一友邦將對我貸款
page 3	空中閃電下的倫敦縮影倫敦一週間一倫敦十月二十九日航訊
page 3	美輿論動員一致對日嚴厲斥責對我抗戰熱烈同情
page 3	美將加緊對我援助正討論我軍火需要參眾兩院開聯席會議一致通過對我貸款案
page 4	南北兩線激戰未已希軍繼續深入義又一師團被殲滅
page 4	羅京德軍舉行大示威羅匈將重談割讓地問題
page 4	軸心的難兄難弟軍事失利黑衣宰相有苦難言激發人心納粹頭目大開其會
page 4	蔣委長電李長官嘉獎有功將士鎮南關被我完全收復
page 4	日對在華外僑故意留難
page 4	德大隊飛機仍繼續襲英蘇桑普頓死傷頗重
page 4	德第五縱隊在美活動美當局極注意 
page 4	德國報紙攻擊瑞士謂其態度不中立
page 4	德對南斯拉夫仍不甘心傳將有新鼓動
page 4	日閣議通過增加輸出
page 4	日新駐美大使野村之談話還是祗責人不責已
page 4	湘榮譽將士重上前線衡陽各界熱烈歡送
page 4	陳軍長靈櫬過衡陽歸葬南岳
page 4	復大校董會通過四項議案
page 4	美國對華貿易輸出輸入均較去年增加由日本輸入較去年減少
page 4	南京與滬西
page 4	美輿論之熱烈
page 4	羅斯福離美京巡視加里比海
page 4	法元首辦事處將移設凡爾賽
page 4	英西簽訂財政協定
page 4	挪威新領袖遇刺未中
page 4	美國與中國的合作一
page 4	泰越局勢愈惡化邊界上空仍續有空戰越土人叛變向南蔓延
page 5	日軍南進聲中粵討論救僑問題僑務座談會提出救僑辦法三項
page 5	陪都建委會計劃委員會人選決定
page 5	邕寧民眾返市已達六萬某軍建陣亡將士紀念碑梧電輪復航日俘虜解到
page 5	軍訓部派員來粵校閱部隊
page 5	高考延期明年一月舉行報名本年截止
page 5	廣州炸彈案上月中發生十餘起
page 5	艾黎抵桂即赴貴陽轉渝公幹
page 5	伍觀淇縱談上粵中游擊戰
page 5	太平場日軍擾我受創
page 5	禁公務員賭博國府重申前令本月一日實行
page 5	桂文化供應社選舉職員李任仁等當選董事蘇希洵等當選監察
page 5	川建設經費下年度預算定二千萬元
page 6	米價狂漲情形嚴重居民咸望當局設法平衡存量充足實無上漲理由
page 6	五日前後比較
page 6	米價狂漲原因
page 6	改善清糞制度政府在考慮中因清糞工人請當局體恤市政衛生局昨舉行例會
page 6	美時代雜誌前編輯彌維爾由美抵港據談美國決制止日本侵略目前仍有一千水兵駐上海
page 6	士敏土價格飛漲建造業大受打擊青洲出產多供防務工程之用越南來貨運費昂貴來源短缺
page 6	聖約翰同學會
page 6	聖約翰救傷會
page 6	粵救委會
page 6	本港扶輪會籌款購買救護車捐贈英國本港及中國將分在港九舉行餐舞會
page 6	老人宣慰團週內出發先至粵省慰問軍民以陪都為最終目的
page 6	馬澤民訪問記購買節建儲券一百萬元深信祖國抗戰勝利不遠
page 6	糧食百物騰貴
page 7	週末光香之戰收入將救濟難民海軍對抗警察因故改期舉行明天友誼賽南華乙迎戰軍醫
page 7	女子籃球十日截止報名
page 7	學界籃球比賽平正輕取皇仁初級南華棄權華大獲勝
page 7	外匯牌價申匯略漲英匯美匯市況沉寂
page 7	國幣價格繼續趨漲
page 7	股票市況續趨好購買戶增加賣家不放
page 7	四四金市仍甚沉寂 
page 7	上海足球甲組現狀東華六戰六勝冠軍希望濃厚
page 7	女子籃球友誼賽廣大勝明生
page 7	週末東星大戰今日開始售票
