page 2	從蘇聯經濟論蘇聯外交
page 3	痛斥日汪最近陰謀蔣委長講演詞全文
page 3	蔣委長令各地駐軍協助民眾推行冬耕
page 3	彭澤一帶日軍全陷我包圍中重要據點已先後克復
page 3	粵省民食可望無虞冬耕成績甚好
page 3	日機又擾滇向滇越路投彈
page 3	我國鋼鐵產量增加將差可自給自足
page 3	海參崴美設領蘇已同意
page 3	美國援華情緒益濃伊薩克主張對日完全禁運以一切重要軍需品改運華蘇紅星報論日本政潮
page 3	美紅會振華藥物運出兩批價值卅五萬美金
page 3	滬租界巡捕又醞釀罷崗
page 3	日公共汽車竟侵入滬西攫佔英公司路線
page 3	泰僑代表謁見領袖獻錦旗致敬
page 3	空中閃電下的倫敦縮影倫敦一週間四倫敦十月二十九日航訊
page 3	水曜日
page 3	野村赴美展期將先至中國淪陷區搜集情報以便活動
page 3	阿部抵漢即將返日
page 3	桂南急振除政府已撥鉅款外省府擬電全國呼籲
page 3	盧案發生之始即曾明確宣示
page 3	日本絕不悔禍戰事決難結束
page 4	希軍再度告捷南北兩線義軍紛紛撤退傳德圖使土國出面斡旋
page 4	汛美航空公司開辟遠東新航線在對日軍事上意義非常重大
page 4	巴西商輪被英艦搜查並捕去德國人二十二名巴西政府向英提出抗議
page 4	英機飛德義猛炸工業區
page 4	英眾院否決和平呼籲案美報紙反應極為良好
page 4	德法簽訂經濟協定
page 4	日本圖進一步控制越南內政戴古對日要求已電維希請示越經濟代表抵菲轉 日
page 4	義大利石油不虞缺乏官方所傳如此
page 4	英美財政當局開始舉行會商摩根韜表示英並未要求貸款
page 4	羅斯福諾克斯視察海軍防務
page 4	匈外長薩基傳將訪南
page 4	聖羅倫斯河水道條約羅斯福希望國會批准
page 4	為野村設想
page 4	美將貸款予阿根廷
page 4	英四掃雷艦被毀失蹤
page 4	經濟之平等即獨佔日汪協定之明文與密件第四論
page 4	義國失利下參謀長易人
page 5	梅貽琦報告西南聯大局部遷川先修班及一年級遷叙永
page 5	石龍日軍出擾福隆村受創傷亡共約八十餘人
page 5	澳門賽馬明日下午舉行頭獎二萬四千
page 5	廣東防範拐帶人口頒佈辦法七項
page 5	桂林簡報
page 5	美匯牌價回漲申匯市況穩定
page 5	股票市況漲風益盛昨成交十五萬元
page 5	國幣市況稍趨下游
page 5	新嘉坡日間諜案續審記一
page 5	正審五日概況
page 6	陳慶雲談赴美經過勸銷航空救國券成績良佳對抗戰前途可抱無限樂觀
page 6	在美備受僑胞歡迎
page 6	美洲各地報認數字
page 6	林主席等發起追悼徐謙定明年二月十六日在港舉行祭輓文字將彙輯印行
page 6	農植訓練所十五日舉行開業禮
page 6	菲僑胞亦踴躍認購
page 6	粵回教墳場多被掘毀墳場管理當局派員通知各該亡人子孫
page 6	澳駐日公使來港候輪赴日履新
page 6	防空務主任談防空洞建築情形過少問題當局經已注意明年舉行燈火管制展覽
page 6	克利夫蘭總統輪旅客捐款振濟難童
page 6	婦女兵災會主辦賣物會昨日開幕孫科夫人剪綵觀者甚眾會期三日今明繼續舉行
page 6	紅十字會昨歡宴李夫人
page 6	國展會會場開始蓋搭
page 6	燕大校友今晚餐舞購券校友三百餘人
page 6	人才調劑協會港站舉行技工專技測驗成績及格定期遣送回國常識測驗及格技工百二十餘名
page 6	移民局局長解釋領證手續不即須離港勿急於領證憑籌領證辦法下週實行
page 6	認購航券熱烈情形
page 6	不離港者幸勿爭先
page 6	代領證社紛紛成立
page 6	新訂辦法憑籌領證
page 7	南華士葛再度相逢光華香港義戰花墟全部門票收入擬充救濟難民跑馬地內國際新軍迎戰九龍
page 7	界限街頭光香對峙
page 7	明日東星大戰星島決作殊死戰靈聖天申北華足傷尚未痊愈或將起用坤勝斗文出打前衛
page 7	跑馬地內聖九爭雄
page 7	南華陸運十日截止報名
page 7	仿林華雄合辦籃球義賽決定十一日舉行
page 7	學界籃球英皇力克保羅
page 7	東星大戰前瞻
page 7	嘉露連山南士重遇
