page 2	義參戰後之遠東
page 3	巴黎城郊大火
page 3	聯軍控制地中海英空軍飛義轟炸土耳其埃及宣布對義絕交
page 3	英機襲非洲義屬地油庫機場損失極重大 
page 3	美對英法援助更趨積極飛機軍火大量接濟
page 3	英法首要在法會商政局
page 3	蘇聯在中東歐地位日見重要
page 3	羅斯福總統表示不放棄太平洋現駐艦隊將不予調動撥巨款鞏固兩洋防務
page 3	日泰兩國忽締友好條約公開宣布內容三點南進聲中大可注意 
page 3	歐戰通訊十二血戰中的法國一九四○年六月四日本報特約駐法通訊員孝隱寄自巴黎
page 3	阿特里在眾院論義國參戰義純為貪婪欲望所驅使此後勢將飽嘗封鎖痛苦 
page 3	土國密切應付匈牙利準備忙
page 3	巴黎爭奪戰白熱化法軍決死守士氣奮發
page 4	宜昌附近戰況激烈日軍幾度猛衝迄在相持中襄河各渡口我仍奮勇爭奪
page 4	七七三週年擴大慰勞運動慰勞總會決組四慰勞團並準備發動萬民慰勞信
page 4	滬租界現狀可暫予維持領團方面商擬辦法美國防軍加緊巡邏
page 4	滬法日小糾紛偽女探員拒檢查起爭執法越捕竟被日憲兵拘捕
page 4	滬槍擊案陸錫侯被擊受傷
page 4	日機又飛渝逞兇被擊落兩架蘇聯大使館受損害甚重國民外交協會派員慰問
page 4	湘建設公債還本抽籤揭曉
page 4	義國參戰後日貌示鎮靜四相會議無結果白鳥談話見獵心喜
page 4	在華日軍民反戰表面化日陸海軍當局頒律嚴禁
page 4	埃及新疆學生返國受訓
page 4	吳忠信返行都據談漢藏感情較前增進藏中各地一切亦均安定 
page 4	川縣政人員資格審查一期第三批竣事
page 4	滇南數十縣將廣建僑樂村鼓勵僑胞返國墾殖龍主席赴西南各縣視察
page 4	美國的遠東態度
page 4	日閥對租界的陰謀
page 4	滬海關抄獲大批煙土價值百餘萬元
page 4	滬特區法院當局態度嚴正不屈偽司法部派員活動無效
page 4	血戰中的法國續第三版特約巴黎航信
page 4	粵中克街口贛北迫南昌
page 5	粵中日軍紛紛南潰我軍再迫從化城近郊據點多處已克復突襲新街站亦告得手
page 5	紀念張將軍南僑籌賑募款五萬元計劃在重慶建立紀念碑
page 5	龍泉睦洲再遭侵騷我軍緊守厓門古井 
page 5	粵省黨務工作調整改善人選將重新分配
page 5	廣州米荒路有餓殍
page 5	桂省舉辦植桐貸款各縣已成立合作社
page 5	粵省禁種罌粟已有十二縣剷除煙苗嚴厲督飭下收效良好
page 5	東戰場上的游擊戰七
page 5	桂中教研究會桂林區結束白副總長親臨致訓詞
page 5	桂公費留學生展期出國
page 6	港府按原定計劃續發公債六百萬元照票面百分九十五發行由明年起開始抽籤還本
page 6	粵教聽頒發僑校畢業試辦法自本月廿一日開始舉行教聽派監試員會同辦理
page 6	冼秉熹律師稱讚政府公報譯刊 
page 6	義僑十一人送入喇沙集中營傳教士不准越過限制區域義籍婦女行動亦須受限制
page 6	梁家姊妹旡色旡相為中英傷難義演十五日晚在聖士提反女校舉行兼善粵劇京劇馳名港滬
page 6	香港舊書店運到大批新書
page 6	陳翰笙談西南農村經濟地主售煙買田地價高漲米價工價均增影響工業
page 6	寧紹缺糧莊崧甫為桑梓請振
page 6	漫畫協會舉行集體寫生
page 6	大華飯店二週紀念十五日起增設茶點
page 6	帝航機暫停來港
page 6	慶祝英王誕辰今晨在灣仔舉行閱兵禮港駐國三千人參加檢閱
page 6	利威首飾行劫案嫌疑犯李雄魁昨被解控尚有證人待訊明日續審 
page 6	佐敦道昨晚火警何乾記衣店被焚
page 6	國立各院校統一招生香港分處招生事宜指定中大負責辦理
page 7	體協會昨通過五個團體入會另有三個小型球會遭否決同人聚會定廿五舉行
page 7	高級學籃
page 7	詳述於下
page 7	顏色鮮明 
page 7	造成和局
page 7	統觀昨戰
page 7	公開籃球比賽鍾聲勝銀聯紅
page 7	東方軍聯之戰上
page 7	港圓價格昨又高漲申匯市況略見回淡
page 7	國幣價格漲勢稍戢
page 7	八九金市昨略轉趨淡
page 7	股票仍乏生氣昨日成交僅一萬餘元
page 7	記者伶星小球十五開場在九龍會球場
page 7	東方轉戰吉隆坡六比二勝冠軍隊
page 7	化險為夷 
page 7	東方征星第一戰痛打陸軍聯四比一戰情緊張刺激兩翼齊飛金海搶頭功
page 7	均無參加
page 7	名符其實 
