page 1	"社評畢業生無出路"
page 2	"大郝案擱置待司法院解釋"
page 2	"大學畢業生出路問題"
page 2	"健全考試增加造產社會纔有需要新人纔有出路"
page 2	"如何幫助學生解決就業問題"
page 2	"財部增收地價稅許多地區已開徵"
page 2	"并綏署副主任楊愛源昨抵京"
page 2	"榨廈配售糧食暫以公教人員為限"
page 2	"改善公教人員生活立委多人即提具體建議立院全體職員呼籲平等待遇監察法經立院大會修正通過"
page 2	"郵資決定增加兩倍立院討論時引起一陣紛擾孔庚吳望伋兩人憤而退席"
page 2	"大赦案擱置待司法院解釋"
page 2	"綜合審查預算預算委會今起開全體會"
page 2	"新聞雜誌航空郵資一再磋商終於減半"
page 2	"立委相率赴會後民社黨一篇聲明"
page 2	"魯中國軍進駐大汶口鄂北襄陽城郊續戰南漳棄守"
page 2	"瀋陽學生昨開大會追悼七五被難同學東北國代捐款慰問死者家屬華北總部發表慘案善後辦法"
page 2	"反對政府違憲摧殘新聞自由並為南京新民報被停刊抗議"
page 2	"江西霪雨成災災區廣達卅三縣市淹沒禾田卅七萬畝"
page 2	"大法官資格如何監察院昨續審查今晨開大會投同意票"
page 2	"監院審計長傳劉紀文充任"
page 2	"國民黨首要舉行座談會下月將在牯嶺開會"
page 2	"台灣同胞的呼聲省參議會抗議扶植日本反對盟總播侵略的種子"
page 2	"五十年前傷心史台灣民主國國旗蒙塵日本省參會決議請政府交涉收回"
page 2	"拜綏署副主任楊愛源昨抵京"
page 2	"榕廈配售糧食暫惟公教人員為限"
page 2	"夏日炎炎許多人登牯嶺避暑"
page 3	"美民主黨大會暗淡進行各領袖演說反擊共和黨杜魯門柏克雷將被提名競選"
page 3	"英美未增兵柏林兩國當局闢謠說並非事實英蘇總督回國請示求即返柏林"
page 3	"倭奴國王駕臨東京世界棋手雲集瑞典"
page 3	"美民主黨大會黯淡進行各領袖演說反擊共和黨杜魯門柏克雷將被提名競選"
page 3	"總統競選政綱大部經提案委會通過民權問題仍相持不下"
page 3	"仰光通信緬甸政海彙聞"
