page 2	社評改進地方行政的實例
page 3	戰局重心又移華南Ｘ艦集結南路有犯北海模樣廣州及廣九路一帶Ｘ軍驟增
page 3	八月上半月我軍戰果斃Ｘ官兵九千餘名擊沉Ｘ艦十有四艘
page 3	仰光華工中獎獻金六人深明大義海外傳為美談
page 3	汪派圖收買滬教界敗類
page 3	黃琪翔發表論文展開肅奸運動
page 3	滬租界空氣又緊Ｘ偽圖攫佔特區法院
page 3	滬米狂漲今日起停市
page 3	外匯黑市之長期穩定對策三
page 3	美國務院注意津僑被辱事
page 3	陳濟棠談話奸人造謠不值一辯最近赴渝晉謁委座
page 3	鼓島問題Ｘ又重提交涉
page 3	常玉清擊斃壯士七人殉職犧牲
page 3	滬職業界電領袖致敬堅決擁護抗戰國策誓對漢奸奮鬥到底
page 3	汪逆認賊作父粵將領一致聲討決加緊肅奸誅除敗類
page 3	孤島雜訊
page 3	王造時在贛病逝
page 3	張君勱通電痛斥汪逆主和謬論
page 3	發行新貨幣說全係無稽謠言政府始終努力維持法幣
page 3	Ｘ機炸英輪猶力圖狡賴
page 3	孟買回教領袖對我抗戰同情
page 4	德國野心復熾但澤形勢愈緊德報將波蘭廊問題竟與但澤並為一談
page 4	但澤武裝演習德國宣傳波蘭反德藉以掩護反波運動
page 4	德義和平計劃比報所傳共有三項主張召開四國會議
page 4	卓達基返華沙報告但澤談話經過波蘭舉行人才登記
page 4	匈外長抵德舉行重要談話日內並將赴羅馬商三國整個問題
page 4	美國動態
page 4	滬英法庭對四華人拒絕簽發身體狀負責辦理該案之律師擬再向上級法庭起訴
page 4	張伯倫下週中止休假遄返倫敦視事
page 4	德農業代表團抵莫斯科
page 4	英全國國民登記準備工作完成現正着手逐步實施
page 4	抗日影展馬尼拉僑胞發起揭露Ｘ軍之暴行
page 4	法德邊境發生糾紛法關員被毆已向德抗議
page 4	蘇聯空軍舉行演習明日紀念空軍日
page 4	三國軍事談話縝密進行外間難獲消息
page 4	鮑爾溫演說倘世界大戰不幸發生英必以全力堅持到底
page 4	Ｘ財政困難將竭澤而漁明年度實行增稅人民負擔益加重
page 4	Ｘ五相會議延期舉行
page 4	美和平計劃如德有意維持永久和平美願以放款換取德裁軍
page 4	歐局如何
page 4	法幣問題
page 5	寶安戰事發生後虎門Ｘ軍大增犯三沙Ｘ偽前晚全部撤退中山沿海平靜無事
page 5	粵南防軍踴躍助耕
page 5	沙頭角昨晚淪陷Ｘ在梧桐山贈遭截擊
page 5	從七七到八一三
page 5	中山追悼陣亡將士
page 5	Ｘ軍六千續開南頭圖控制東莞惠陽
page 5	南海縣境我軍活躍民眾復仇心切協助抗戰Ｘ軍力弱僅能死守一隅
page 5	桂山綠林歸誠殺Ｘ
page 6	全港義賣獻金今日可圓滿結束昨日各區義賣情形熱烈各公司獻金以永安最佳
page 6	本港菜蔬來源並無切斷之虞上週運港數量且有增加衛生局主席托特之意見
page 6	中華廠商聯會理事昨日會議八一三獻金逕匯財政部捐香翰屏部膠鞋五百雙
page 6	羅楚雲女士
page 6	婦女慰勞會明日賣花名媛閨秀參加義舉
page 6	中華義學教師催發拖欠薪金現擬聯向主管機關呼籲多自動應召回內地服務
page 6	瑞興公司捐款賑濟粵省難胞
page 6	北方薰茶擺花街五芳齋代售
page 6	告羅士打道三賊設計行搶住客均屬婦孺從容飽掠搶去現款金飾七百餘元
page 6	嶺大同學會護校募捐
page 7	南華隊捷報頻傳大勝井里汶選手李惠堂打開殺戒獨建兩功全隊今日開拔三寶壟
page 7	一百碼胸泳陳律紀第一七十一秒五分二破紀錄四人接力泳成績亦優異
page 7	英國田徑約請賽兩項新紀錄芬蘭麥奇三哩無敵手美國比桑一千碼稱霸
page 7	全馬來亞網球功德圓滿
page 7	東方足球義賽港聯陣線昨日已選出
page 7	異冬季世界運動會有十六國參加滑雪狂歡節同時舉行
page 7	一鱗一爪
page 7	越匯牌價略漲英美匯市均沉寂申匯市況微淡銀行頗多拋出
page 7	八九金市依然堅穩買賣猶少價格微漲
page 7	買賣相持不下股票市仍靜穩全日成交僅四萬餘元
