page 2	社評美中立法修正案通過
page 3	美國又一偉大步驟中立法修正案通過決定武裝商輪並開入戰區
page 3	總統作最後呼籲修正案卒獲通過
page 3	倫敦如釋重負譽為自由勝利大批英艦將出現遠東
page 3	美民意測驗之結果多數贊成對日作戰
page 3	渣華郵船停駛日本
page 3	日本若再侵略立將遭遇還擊英議員盼望對日再提警告
page 3	改訂財政收支系統實施綱要
page 3	國家財政收支系統
page 3	日竭澤而漁將向議會提議普遍增稅藝妓稅將提高百分之一百
page 3	郭外長歡宴比大使夫婦
page 3	美眾院規章會核准菲國防案
page 3	來栖赴美使命攜五項荒謬建議北平方面如是觀察
page 3	英美助我統制外匯我輸出貨物亦受管理往為賬款按官價結算
page 3	宇邵抵紐約日內將赴美京
page 3	德艦傳將開來遠東星洲人士目為笑談
page 3	馮玉祥氏壽辰領袖親臨致賀
page 4	列寧格勒外圍激戰紅軍繼續反攻殲滅德軍二十一萬餘
page 4	蘇游擊隊活躍破壞德運輸線
page 4	李維諾夫安抵伊朗因天氣惡劣曾繞道飛行
page 4	東線泥足深陷德又侈談攻英泰晤士報訪員傳來消息
page 4	本年度英機損失數目共二千五百零一架
page 4	新英蘭年會美總統致訓辭竭力從事建設防務抵抗步武獨裁走卒
page 4	一碗飯運動在美國
page 4	英國航空母艦皇家方舟擊沉英海部已正式宣布
page 4	湯森女士向劉易士要求離婚
page 4	洪澤格殯禮德派代表參加
page 4	中牟近郊激戰敵竟大量使用毒氣彈皖南我軍分三路出擊
page 4	敵機飛襲桂林中航機乘客受虛驚
page 4	英工黨議員主進攻北非並抨擊政府遲緩政策英海長答辭望少說風凉話
page 4	西班牙難民乘輪抵南美
page 4	貝爾演說述印度在戰時重要性
page 4	馬夏爾闢謠否認準備遺派遠征軍
page 4	顧大使演說盛譽英相明快宣言
page 4	中立法與日本
page 4	德艦將東來
page 5	今日國軍一路開出南華嚴陣擊九龍下午四時三刻在嘉山麓開火香港警察分戰約瑟米軍
page 5	光華怎樣破東方
page 5	南華陸運會項目多精采
page 5	明天港九有好球看光華迎抗東方花墟場上預料拚個你死我活星島在愉園戰蘇皇軍
page 5	薔薇處處開
page 5	銀聯小球本週比賽五場
page 5	三角對抗第二幕民大打南華下午八時在九龍青支會球場民大肯掙扎劇戰難免
page 6	我在港設領事館下月中旬可成立我外部派員來港籌備一切並將派軍事商務專員駐港
page 6	昨晚燈火管制成績未見滿意希望今後能不斷舉行防空副處長淩空視察後談話
page 6	九龍城蒲崗道昨晚發生火警燈火管制中施救感困難經將街燈開放始行撲滅
page 6	大華鐵工廠徐季良講港工業現狀與希望供給中英軍需頗形蓬勃盼銀行界予以資助合作
page 6	金銀賀易場昨日停市今日仍不開盤
page 6	貓熊兩頭昨晚抵港
page 6	嘉年華會國產品四
page 6	財次顧翊群昨暢談我外匯之管理荷菲即將繼起助我統制外匯准國幣現鈔買賣係便利商人
page 6	港民眾防衛部隊舉行聯合大演習定於本月底開始舉行
page 6	柴薪黑市活躍每元僅十六斤來源缺乏商人乘機操縱大批柴薪即可運抵本港
page 7	不堪回首話越南鵲巢鳩佔敵軍到處橫行兔死狗烹法僑亦遭浩劫
page 7	丘元榮返吧城報告國內情形希望僑胞踴躍投資回國捐助金雞納丸多多益善
page 7	廣西滑翔分會積極展開工作大校場闢為初滑翔場計劃籌設滑翔機製造廠
page 7	議決重要案件
page 7	淪陷區見聞錄由上海到常州二
page 7	廣西紡織業示範工場
page 7	桂計劃墾殖十萬大山預定十五年內獲利五百萬元
page 7	申匯市況仍屬靜穩英匯美匯依然呆滯
page 7	股票市況驟形蓬勃昨成交二十餘萬元
page 7	國幣期貨停拍之後現貨價格略告低降
