page 2	社評歐戰初期的趨勢
page 3	華沙以南發生激戰德軍渡河犯魯伯林西線法軍續進迫齊格菲陣線英遠征軍一部加入前線作戰
page 3	波軍西部獲勝後華沙人心振奮德軍一師之眾被擊潰
page 3	應付聯軍之進攻德軍增援薩爾百萬大軍源源開拔中
page 3	馬奇諾防線北端法軍開始總攻德封西線壓力感恐慌
page 3	華沙半成廢墟德國損失亦重
page 3	德方殘暴行動槍決舒斯尼格大捕捷斯族人
page 3	德恫嚇中立國赫爾嚴正表示
page 3	傳德蘇已同意設波蘭緩衝國
page 3	英機飛炸德艦情景歷歷如繪
page 3	英輪兩艘又被擊沉同盟國軍艦通過土海峽伯特勒表示已訂有辦法
page 3	英將舉行全國登記違禁品統制效果極良好情報部長解釋工作意義
page 3	要聞簡報羅匈商約續訂十年
page 3	南非宣佈戰時法例
page 3	波蘭存金運往羅國
page 3	土與英法進行締約
page 3	英王參觀倫敦船塢
page 3	南非總理告國民書
page 3	溫莎公爵返國後首晤英王
page 4	我軍克復花縣現正乘勝向追擊空軍連日飛晉南轟炸長治仍在嚴密圍攻中
page 4	Ｘ報鼓吹德日恢復關係傳奧都曾向日有所勾結
page 4	華中Ｘ軍調用毒氣部隊
page 4	赫爾再發表談話密切注視滬局勢美亞洲艦隊司令抵滬
page 4	滬駐軍擬增加
page 4	論中蘇關係並闢蘇日協調論二
page 4	津Ｘ滋事干涉英輪卸貨
page 4	豫北偽軍全部被解決
page 4	軍風紀視察團二十餘人抵洛
page 4	滬辦理平糶
page 4	美中立法勢將修改
page 4	Ｘ機昨襲寧夏蘭州亦有空襲警報
page 4	反政府派勢力漸弱
page 4	天津大水紀詳
page 4	大批麵粉由滬運往天津
page 4	滬文匯報復刊絕無把握
page 4	滬蘇聯領館遷回外灘舊址
page 4	不值一闢的奇謠
page 4	汪逆的無恥口吻
page 5	張家邊外圍戰我軍確佔優勢反攻大王頭殘Ｘ不支後退黎村方面仍對峙中
page 5	粵東缺乏醫藥糧食
page 5	嶺東戰事將有新開展潮汕Ｘ軍日趨疲憊梅縣與寧我軍繼續向前挺進
page 5	韶關準備疏散貨物避免空襲捐害
page 5	軍風紀巡察團張貞在韶籌備開展工作
page 5	中央警校學員抵粵服務
page 5	暹羅正式宣佈歐戰嚴守中立
page 5	潿洲島Ｘ忽全部撤退
page 5	暹京新民學校最近亦被查封當局並強迫華僑學童此後須改入泰校肄業
page 5	論暹羅排華運動八
page 5	粵工業試驗所短期內可恢復建設廳正積極籌備中
page 6	奸商抬高物價港當局決予處分居民可向統制專員投訴有數家商店已在調查中
page 6	記者公會昨開會員大會開會時當局特派員旁聽選出第二屆監事及理事
page 6	紀念九一八各校發起一角獻金運動報名參加僑校極為踴躍詳細辦法各校自行擬定
page 6	徵募蚊帳畫家李鐵夫周公禮展覽作品舉行義賣
page 6	中央陸軍軍醫學校在港招考新生
page 6	兒童保育會難童遷回國內食料改善難童體重日增籲請當局展緩收回院址
page 6	歐戰爆發後英輪相繼武裝各皇后輪均已裝配完成英海軍部頒佈商船禁令
page 6	中山邑僑王棠呼籲救濟家鄉函請中山商會召開會議商訂慰勞及救濟等辦法
page 6	文化協進會明日舉行成立大會中國文化協進會自上旬
page 6	粵Ｘ限制入境志在搜刮外幣登陸須將所有易軍用票偽警氣燄萬丈隨意淩辱
page 6	萬人緣大會結束會議報告成績約得五萬
page 6	風流歌舞班皇后平安今日起映
page 6	土產公司昨日正式開幕
page 6	戰事影響出口商西商昨日會議增加之保險費及載腳一律由客商方面負責
page 6	東華三院下屆總理產生無期
page 6	運美貨物更改新增運費減為百分二十
page 7	九一八排球義演今日行開幕禮下午三時在鐵崗保羅球場嶺保聯隊出戰南華會
page 7	孤島足球第一聲麗都力克頑敵四比三小勝聖芳濟隊看客二千逸園呈熱鬧
page 7	費城重量級拳戰賽前的面面觀巴士達年青大有可為肥佬加倫圖臨敵不懼
page 7	今晚乒乓義賽
page 7	英國草綱協會將停製名位表
page 7	公開排籃球賽展期報名定廿二止截
page 7	中華體協會週年水運下月七日舉行
page 7	越南海防足球隊明晨可抵港東方特僱小輪準備迎迓因戰事影響選手有更動
page 7	心嘉杯小球賽銀星打勝仗
page 7	體育郵箱
page 7	夏令籃球賽今天兩場青年獻劍會明日贈繡旗
page 7	英匯市況靜寂美滙略趨緊申匯穩靜需求仍少
page 7	八九金市再度趨堅美匯影響價復上漲
page 7	蓬勃氣象曇花一現股票市昨回淡存戶紛欲拋出價格略跌成交數量同時亦告大減
page 7	荷匯趨縮糖價高漲
