page 2	中山善後不容再緩 
page 3	包圍南昌形勢已成我軍挺進直迫城郊桂南日軍西犯左同亦遭重創
page 3	滬工部局董事仍維持原額日人企圖完全失敗滬上人心為之大慰
page 3	海斯被釋曾被日人重毆頰部且被囓傷
page 3	宋故委員靈柩定期移厝
page 3	奧調劑民食設糧食運銷調委會由李主席親兼主委
page 3	滬英商會報告指摘日人壟斷物價較戰前增加三倍半由日人之操縱結果
page 3	汪派又一暴行擊死滬學生陳錦標
page 3	于院長廣播聲討汪偽組織汪兆銘又由寧抵廣州
page 3	英振華會主席何德金之讜論 
page 3	奸逆伏誅邕寧偽維持會三逆被我計擒執行槍決
page 3	死灰複燃已與偽警請妥條件定十五日重新開台
page 3	日機窺滇不逞我機淩空警戒即行遁去昆明重慶均曾發出警報 
page 3	滇積極發展合作事業設合作事業管理處中央並准撥款補助
page 3	日軍官司岡本致函友人表示厭戰
page 3	內政部厲行禁煙督促各省切實施行限本年六月底禁絕
page 3	鄂參議會首次會議開幕
page 3	孔副院長撥款獎賑綏西軍民
page 3	實施新縣制行政院竭力推進中
page 3	英兩院著名議員電賀國民參政會
page 3	天津蘇領館奉令辦理結束
page 3	美國的黃金問題 
page 4	挪威海面戰事仍酣聯軍增強實力包圍德艦隊西線又緊傳德將侵犯荷比
page 4	萊諾報告戰況德犯北歐戰略錯誤鐵苗來源將盡喪失
page 4	英挪獲得聯絡傳英軍在挪北登陸奧斯陸灣發現英艦
page 4	德軍前進受阻挪軍總司令已委出各處防線皆經充實
page 4	德續佔丹島嶼控制波羅的海出口丹麥人民備受限制
page 4	德方片面宣傳謂挪威西部之沿岸已全入德軍掌握中
page 4	納粹報紙攻擊瑞典
page 4	北歐美僑準備撤退
page 4	傳義大利將繼續動員藉以應付時局發展英法政府重視巴爾幹問題 
page 4	澤田談話日不參戰
page 4	賽雅將赴日訪問格魯討論時局
page 4	桂南戰事
page 4	荷比如何
page 4	邱吉爾演辭補誌挪威海外激戰結果德軍遭遇空前失敗
page 4	比外長聲言決抵抗侵略
page 5	四邑醞釀大戰日軍圖進犯三埠我分路推進準備迎擊侵擾婆蘿島日偽已退回前山
page 5	宋哲元將軍在川養疴逝世經過
page 5	國府明令公布社教人員養老金及卹金條例
page 5	雲南地震玉溪石屏倒屋傷人為數十年來所未有
page 5	和尚廉義可風
page 5	曲江繳納營稅
page 5	中山再度淪陷記
page 5	不敷調應 
page 5	相繼淪陷
page 5	如何善後
page 5	建築砲壘
page 5	搶掠物件
page 5	徵集穀米 
page 5	威迫之下
page 5	各方唁電
page 6	周詒春談貴州省戰時建設已設衛生院等共七十所實業建設計十二個單位
page 6	普樂夫人等發起香港工合單位在港粵設合作社四百所六千難胞可以恢復生產
page 6	美爾頓學生又奉令回國服務
page 6	文協漫協茶話會歡迎施蟄存丁聰歡送寒波應努力調查文化　
page 6	龍宮神女
page 6	潘巧雲
page 6	花影恨
page 6	王昭君
page 6	菲自由日報社長過港縱談歐戰前途預測本年仲夏可以結束汽油缺乏德國必將失敗 
page 6	抗戰文藝
page 6	前晚燈火管制演習各區成績參差或因未媳燈火或因掩蔽物太薄兩個月後或將再度舉行
page 6	未能劃一
page 6	平劇本
page 6	傷兵之友港澳賑濟會發表徵求成績擬奪取本港徵求冠軍
page 6	香港舊書店運到大批新書
page 6	孟祿博士昨抵港出席中教基金董事年會董顯光氏昨日同機抵埠
page 6	燕大校友今日歡宴司徒雷登
page 6	香港轎夫生活
page 7	今天足球聯賽南華南大戰水兵下午四時三刻在加路連山米軍在界限街鬥光華 
page 7	保羅週年陸運甘榮華冠軍各項成績均優越士刁域夫人頒獎
page 7	香港銀聯會旅行新娘譚
page 7	南華國術部續辦初級拳訓練班
page 7	美菲荷匯牌價續漲英匯沉寂申匯穩定
page 7	股票市仍穩定各低價股票買戶頗多全日成交共廿萬餘元 
page 7	倫敦外匯
page 7	八九金市先淡後堅上午略跌下午回漲
page 7	銀聯小球本週秩序頒布
page 7	戰爭影響到體育
page 7	教部在渝辦體育講習班
page 7	四球員鄭重聲明收回建議的真因
