page 2	社評日本已感受經濟壓力
page 3	湘北戰事規模擴大敵軍渡汨羅江南犯我克復關王橋擊潰敵軍萬餘
page 3	陪都一般觀察敵軍終必北侵豐田再謁日皇報告國際局勢
page 3	西南熱帶試種新植物獲得良好結果金雞納樹等大量增植
page 3	中美貿易增進總額達一萬六千萬元上海仍為貿易之焦點
page 3	三國同盟週年紀念日本限止民間慶祝
page 3	英國戰時經濟的進步倫敦八月十日航信
page 3	黨政工作考核委會考察團將出發本年內先組四團體分赴滇黔等省考察
page 3	陪都觀測日蝕科學家作高空視察景象迥異氣溫低減
page 3	法駐美大使海雅有被召回說維希否認要求日軍自越撤退
page 3	泰總理籲請人民應嚴守中立美總統電賀泰幼王生辰
page 3	本多召開日領會議
page 3	張伯苓
page 3	緬甸建築新飛機場
page 3	廣州灣法兵尋釁與我軍衝突經調停和解
page 3	卡爾大使抵新加坡德夫古柏返星
page 3	統制生產的辦法
page 3	更進一層的統制英政府對生產和消費
page 4	蘇德鏖戰三月德機損失近萬
page 4	中路紅軍反攻再推進十三哩
page 4	多布魯克英守軍電慰俄底沙軍民
page 4	英美對日的包圍陣四
page 4	保宣布戒嚴謂曾在境內捕獲蘇傘兵
page 4	英機數百架橫掃西北歐陸在西線展開白晝攻勢德方捐失達到最高峰
page 4	巴黎德軍再遭襲擊法人五名以身殉
page 4	地中海英機襲敵護航隊巴第亞軍火庫亦遭猛炸德機飛襲蘇彝士河
page 4	達爾頓演說英兩大目的作戰直至獲得全體勝利根據英美宣言建新秩序
page 4	美總統簽署新徵稅法案
page 4	美掃雷艦三艘下水
page 4	維希內閣開會討論經濟社會問題
page 4	維希法庭濫施刑罰三人又被判死罪
page 4	英軍兵工廠印軍用品出產日增在東亞占重要地位
page 4	蘇德戰事三個月
page 4	伊朗國會要求審判前王因聚歛有據
page 5	粵省擴大組織本年政務視導團由省府軍區保安部會同辦理共分八團出發實施計劃訂定
page 5	中國史上之大教育家十六
page 5	松香煉柴油試驗成功
page 5	廣州敵軍戒嚴交通迄未恢復竄擾九區殘敵我正圍殲中
page 5	粵各農校學生輔導冬耕工作推廣面積可達五十萬畝
page 5	敬悼季鸞先生
page 5	粵企業公司資本四千萬元官商合辦定期十月初成立
page 6	中航機南京號由南雄飛港失事在港機場降落前突下墜幸機內無乘客機師受傷
page 6	日蝕目觀記
page 6	四十餘文化團體昨追悼許地山張一　主席致開會辭葉恭綽宣讀大會祭文
page 6	西人冒正副警司名義圖騙二十八元被控竟謂兩警司欲吃加厘雞原告為防空洞工程管工
page 6	普陀寺遊山觀日墨池觀日別具情趣中旅社招待交通界
page 6	居民救傷防衛演習動員救傷隊員等數千人昨日演習情形頗為逼真
page 7	西聯隊不堪一擊南華淨勝五球竟成不出偉權上馬陣線完整文治惠堂松生定勝局
page 7	看球別記
page 7	鐵城杯籃球決賽南華出兵鬥中青
page 7	星甲組足球聯賽華人壓倒馬來三比一國材兩隻阿易添一記難關渡過錦標希望越趨濃厚
page 7	昨事華足球隊大破重砲淨勝九隻球
page 7	特別銀牌籃球賽育賢出擊星島雙方勢均力敵劇戰難免補賽秩序昨編定
page 7	籃聯會開小組會議討論修章問題
