page 2	社評援英運動與美議會
page 3	太行山麓血戰四日日軍大敗被殲數千綏西日軍圖犯河西亦被擊退魯南我軍攻入日照進襲安邱
page 3	對泰越糾紛解決泰抱悲觀預料一週內將發生大戰連日邊界接觸轉劇
page 3	汪紙無人問津滬寧路亦拒用僅賭窟或將搭收兩成滬法幣公債反均上漲
page 3	新青藏各省同鄉歡宴緬記者團麥斯武德宇敦丹均致詞戴院長報告出國經過
page 3	十二月二十九日美總統廣播全文國際宣傳處譯
page 3	平日兵逮捕美兵案雙方談判復陷僵局將呈報華盛頓與東京有謂此事件意義重大
page 3	日機又襲滇
page 3	那諾爾號無人知其下落恐為德艦截留
page 3	滬工部局籌備選舉競選將必劇烈
page 3	交通部在贛設廠製造木船汽船首批船艘三個月竣工
page 3	滬又一綁票
page 3	青島市長遇刺受傷日倀大舉捕人
page 3	桂節儲運動成績極良好
page 3	美紅會代表貝克抵上海將轉赴陪都
page 3	須磨途次檀島猶作不經之談
page 3	近衛苦悶學佛談禪
page 3	渝市合作金庫成立資金暫定為一百萬元
page 3	申報館門前又被投一彈
page 3	蔣委員長函勉廖百芳
page 3	野村已返日
page 3	日政潮洶湧政黨有復活醞釀財界與政府對立
page 3	桂學生響應獻機運動北流中學捐千餘元
page 3	南寧民國日報月內將復刊南寧圖書館已遷回
page 4	北非英軍大勝巴第亞已佔領俘虜義軍聞逾三萬
page 4	蘇聯陸軍延長服役年限預備徵兵期內加強體育訓練
page 4	美國輿情主積極援英美與軸心已在戰爭狀態惟有行動始能避免戰禍
page 4	巴爾幹抵氣壓傳德將和平佔領領保國巴爾幹蘇使節將返國會議羅國內混亂德軍大部東開
page 4	十二月二十九日美總統廣播全文國際宣傳處譯
page 4	美態度堅定日言論畏縮
page 4	英經濟作戰部長論德經濟狀況糧食貨物尚感充裕惟德將為義所牽累
page 4	英國內閣將再度調整增設戰時生產季會議會重開前可宣佈
page 4	德機在英投下地雷
page 4	維希內部互相傾軋德方表示不耐謂已到忍無可忍時期或將引起一全新局面
page 4	希軍士氣旺盛進迫阿爾巴桑英機屢襲阿境交通
page 4	法哲學家柏格森逝世曾獲諾貝爾文學獎金
page 4	墨索里尼之悲哀
page 4	德對法又一不滿
page 4	李海抵維希
page 4	義獨裁者看大獨裁者看後仍能發笑恐非墨索里尼
page 4	菲總統病況有起色
page 5	湘努力改進茶業去年茶葉貨款共二百餘萬元設廠自製磚茶運銷西北各地
page 5	南路各縣頻遭空襲日機在防城失事機燬人亡南路行署已辦理結束
page 5	澳門移民分署昨日辦公簽發入境證分三種
page 5	湘省民眾熱烈獻機首次定三十架
page 5	經濟部續核准專利案十三起
page 5	我軍增防中山八區斗門情勢轉趨安定
page 5	粵軍管區擬定兵役中心工作
page 5	澳門米價略告回跌
page 6	米價未抑柴價又增昨日最高價每元廿八斤貧民生活之苦實不堪言
page 6	東華三院女護士昨日舉行畢業禮史美夫人主禮頒發證書本屆畢業生共四十六人
page 6	移民條例實施在即商會擬再請延期今日值理會將提出討論領證手續居民多已明瞭
page 6	劉景清昨巡視小販義學並解釋禮義廉恥
page 6	滬來雪豬醃肉衛生局將予取締屠宰地方不明的礙衛生食之有得白喉等症危險
page 6	大批日魚運港傾銷由鄭某經營其事
page 6	銀業聯誼會會址遷大道中
page 6	廠商聯會徵集對展覽會意見
page 6	屈文六談視察振務經過湖南江西兩省難民最多多數鄉民不願遠離故鄉
page 6	港法領雷諾闢謠日擬在西貢登陸說無稽如日南進法方決不讓步
page 6	施行教育新例貧兒將大量失學僑團紛紛開會討論救濟順德公社創設義學一間
page 6	兒童教養會
page 6	陳寅恪演講
page 6	河內美總領
page 6	收音機轉換牌照發照地　郵局二樓
page 7	麗華杯足球初賽農曆元旦日舉行足球總會定明日開會商討春節內比賽節目
page 7	公開女籃球賽平正星島奏捷
page 7	協會小球賽催繳相片
page 7	學界籃球中級廣大挫保羅初級香江勝華大
page 7	拾零集
page 7	東方征澳記兩戰一勝一和球藝博得好評澳門總會擬來港報聘
page 7	體協會今日開會議
page 7	外匯牌俱無變更美匯靜寂申匯仍穩
page 7	國幣市況依然堅穩
page 7	股票市況堅穩成交總值八萬餘元
page 7	四四金市仍屬沉寂
