page 1	社評如何處理日本與美國人談對日政策
page 2	兗州情勢轉緩鄒縣不守開封驟緊國軍進駐許昌唐山危局已過國軍重入豐潤
page 2	白色的威脅渝貧民搶米多人被捕滬平津糧價都在飛漲湘產米區遭大水損失慘重
page 2	政府訂製銀幣財政部說不確
page 2	乾枯東北下
page 2	北平學生不要美救濟品布告說我們情願餓死
page 2	平市平抑物價採取緊急措施
page 2	機動性的外交王世杰對立委有所說明他說要拿外交配合軍事
page 2	何應欽談話開封沒有問題
page 2	張群抵滬拉青年黨曾琦暗示仍有討價還價餘地並對記者誦駢體文以明心志
page 2	日賠償歸還物資共運到三萬多噸
page 2	孫科批評立委說他們都是職業政客用盡心機保持委員位置
page 2	審查開徵財產稅案立院財政金融委會激辯決定法人財產也要課稅
page 2	勾結統治集團也算豪門資本
page 2	漢口查戶口捉了百多人
page 2	台華南考察團自廈飛返台北帶的絲襪等被海關扣留
page 2	監察院第四次會議決議監察法草案重付審查
page 2	招商局過一難關油料外匯問題解決各線航輪今天開出
page 2	監委開座談會討論司法考試兩院人選
page 2	粵省參會今開大會宋子文正擬訂施政報告
page 2	連天豪雨粵各江水漲
page 2	牙病醫不起穗牙醫公會增加診費口腔手術費至低千萬
page 2	徵稅等於徵產不如乾脆沒收
page 2	正當生產事業可以減免稅額
page 2	南雄客感慨話軍情粵湘贛邊境共軍曾退入山區最近國軍北調情形又嚴重了烽火連天地方元氣很難恢復
page 2	僑校問題我促暹考慮
page 2	亂世多奇聞據說上海也有楊妹多年不吃飯但吃香蕉
page 2	美援人物分路出動史蒂爾曼俞大維等飛漢萊普漢司徒雷登等飛青
page 3	西歐在動亂中各國工潮洶湧澎湃英法比卅萬人罷工西德學生示威抗議吃不飽
page 3	六國對德協議法議會終核准要政府附加六條件接受
page 3	柏林盟管委會蘇聯代表退出
page 3	新德里通信印度的土邦
page 3	西德幣制改革法政府已同意皮杜爾在議會中說
page 3	魯爾區問題貝文重申英國立場反對煤礦歸還原主
page 3	蘇願與英美法協商共謀全德幣制改革要求西德暫緩一週實行
page 3	德人食物配給量盟管會決予增加
page 3	美扶持日本復興威脅太平洋各國澳外長評美對日政策
page 3	杜魯門與國會結怨旅行全國沿途駡不絕口國會以推翻否決為報復
page 3	滬文藝界正告司徒
page 3	日工業水準問題英法等八國已同意建議案美尚嫌太低中蘇亦持異議
page 3	美人戰時損失政府決予賠償參院司法委會通過法案
page 3	美徵兵法案眾院已予通過期限改為一年
page 3	南韓供電問題蘇方拒絕與美商談新任司令麥庫羅夫函覆霍奇叫他與北韓人民委員會接洽
page 3	原子能管制蘇抨擊美議案
page 3	日人想來訪華蘆田同意片山建議親善訪問
page 3	馬來阢隉不安柔佛續有流血事件發生吉隆坡工人卄名被逮捕
page 3	蘇工人生活水準已提高
page 3	喀斯貝里政府獲得議會信任
page 3	寄十萬元買美報一份罰五塊錢為了鬍子一撮
page 3	阿人停戰條件苛拒絕宣布聖城不設防
page 3	美眾院堅持減援款反對參院通過數額兩院聯席會議正謀調協歧見
page 4	華商總會訟案宣判革新派控訴被駁回改選名單明天或可發表
page 4	宣判後兩派反響高派為勝利而喜氣洋洋判詞未到革新派無意見
page 4	九龍灣海面將畫新禁海
page 4	銀荊號新船卄四日抵港
page 4	償債法例問題華商會態度如何三天內可以決定
page 4	工團註冊事兩總工團負責人昨往勞工處談商
page 4	米店老闆被控接贓
page 4	葬身之地難尋東華義莊滿座該莊重修工程完竣
page 4	金像出口籌像委會正辦手續
page 4	海陸空軍警檢閱昨在大雨中舉行
page 4	偷糖一罐入獄半年
page 4	唆使童子偷錢皮鞋匠兩人驅逐出境
page 4	偽造支票案續審偽件已交指絞部專家鑑辨今天下午可在證供中透露
page 4	一個可憐的女人黃珍前因阻街遞解出境近因潛回照顧幼子判處入獄六月准攜幼子進獄
page 4	抱女投海婦人被控意圖謀殺昨日提堂週後審訊
page 4	偽造印信勒索巨款案罪證不足被告獲釋男子石康壽黃錦瀋無罪
page 4	搶人手袋終被拘捕辛錫坤入獄兼出境
page 4	亂叫一通忙壞警察太子行警鍾昨誤響
page 4	賭友變寃家梁八打人被罰
page 4	冒稱找朋友實行搶東西廟街昨夜發生劫案
page 4	溜冰競賽開始籌備由本港溜冰協會主辦到時並選舉溜冰皇后
page 4	紅磡填海工程開始完成後將劃為商業區
page 4	鏹水橫來女人受害汽車過處工人遭殃
page 4	得不償失擅押朋友衣物梁昌被判罰款
page 5	入口洋行營業困難毛利減到百分之二還無客戶問津按金只收百分一五尚須墊付一半
page 5	自行辦貨來港結果虧折居多
page 5	新聞紙現跌破成本玻璃紙煙紙亦慘落
page 5	金鈔股票市態呆滯港轉運站日趨下坡六底結算在即銀根奇緊商場一片淡風資金凍結
page 5	國行當局研究華北游資南流物價高漲主因之一攜現匯兌嚴格限制
page 5	金市閑散期待將來
page 5	我與南非互減關稅十四日開始實行
page 5	世界黃金產量近三千萬盎斯總值九億七千萬美元
