page 2	社評協力保衛南洋
page 3	贛北我軍迫攻彭澤日軍迎戰被殲過半
page 3	英關切泰越糾紛領土要求不難和平解決希望泰注意第三國陰謀
page 3	邊境衝突依然劇烈
page 3	緬記者訪華團告別中國友人切望中國抗戰勝利來臨各界惜別紛贈錦旗
page 3	日本內外債將達三百萬萬兩年中赤字增加六十七萬萬
page 3	羅斯福總統致辭全文一月六日向國會發表
page 3	十八集團軍桂林辦事處奉命辦理結束
page 3	日機肆虐昨日曾襲渝郊
page 3	一種善意的砥礪中國抗戰不勝不止事實將可告慰友人
page 3	日物資枯竭代表團在南美活動冀傾銷日貨換取急需品
page 3	川行政會議開幕張羣主席致詞張氏已返蓉出席參議會
page 3	行政院舉行例會通過羊毛統購統銷法案褒揚朱慶瀾蕭友梅
page 3	桂林區高考初試二十日起舉行
page 3	閩省積極推行糧食管理政策
page 3	我以礦產易蘇機器年底交清所值甚鉅中蘇貿易協定已完成
page 4	德機飛地中海參加英義海戰義海空軍均受損失保否認同意德軍入境
page 4	阿皇重臨國門策劃復國曾與各酋長晤談東非義軍已日見孤立
page 4	李察森上將有出任英使說英美之間海權關係重要
page 4	美眾院外委會討論租借軍用品案財外長出席陳述意見有主以英太平洋島嶼為抵押
page 4	羅斯福總統致辭全文
page 4	波境蘇德疆界依然未變悉照協定所規定
page 4	赫金斯進謁英王
page 4	蘇普遍設立中型工廠因現有之集中計劃未能利用各地資源
page 4	辛浦森提修正議案
page 4	共和黨員無聊提議
page 4	抵押問題引起重視
page 4	美大使抵義携有總統私函勸義勿盲從妄動
page 4	美國調查英方投資
page 4	菲島擁護援民主案
page 4	日人惶恐高唱準備
page 4	德義要小心
page 4	日本的徬徨
page 4	英相邱吉爾將向荷印廣播
page 4	澳總理將訪倫敦會商戰局
page 5	粵省勸儲工作各縣積極推動中擬定購券辦法分電各縣辦理去年儲金總額一千三百餘萬
page 5	滬物價不斷高漲全因日人操縱物資來源悉被非法統制平抑之道有賴設法流通
page 5	西康日記二一八第十一編木裏永寧途中
page 5	瓊崖我軍勇戰迭獲優良戰果
page 5	桂林區高等考試本月下旬舉行本屆報名共達四百餘人
page 5	利用國產桐油實行浮油淘金王恒守教授研究成功
page 5	韶關振展會圓滿閉幕生產品評定等次
page 5	嶺東各縣積極建設黃元彬報告出巡經過
page 5	粵省緝私處將改隸中央
page 5	粵稅警總團組特別黨部
page 5	湘贛川黔聯運現正商洽籌辦中
page 5	桂林簡報成立商業倉庫
page 5	西江邊防鞏固各地安定如恒
page 6	本港今日實施統制移民法例昨由澳來港者蜂擁而至羅文錦談移民法之觀感
page 6	美作家卡爾遜談對華印象中國抗戰力量殊不可侮民眾精神暢旺向所罕見
page 6	港大醫師兩名入黔服務
page 6	民昇民平兩小輪昨相撞沉沒施救迅速搭客船員脫險因避貨艇貨艇亦被撞沉
page 6	本港教育當局厲行教育新則例以提高本學期教育水準皇仁建新址事暫行擱置
page 6	中茶公司推銷精製名茶
page 6	兒童保康院今日舉行畢業禮
page 6	拒毒會重整會務昨呈當局請示工作方針農曆新年後即開始進行
page 7	二次東南大會戰提前開始定座下午二時在謀得利琴行發售門票收入款項一部撥充義舉
page 7	田徑展望三角對抗的芻議
page 7	應付緬隊小組會明日召開會議計劃緬隊來港進行事宜擬請星南兩會派員協助
page 7	學界籃球華仁輕取華大
page 7	公開女籃球賽新編程式公布今晚一場南商戰南華
page 7	華聯戰陣今天遴選
page 7	白蘿仙盃賽定今晚抽籤
page 7	美菲荷匯牌價略漲英匯呆滯申匯微淡
page 7	四四金市依然不振
page 7	股票復略堅挺昨日成交五萬餘元
