page 1	"社評看下半年總預算"
page 2	"蔣總統昨由牯返京即將處理經濟問題"
page 2	"美援復興計劃翁文灝賴樸翰等昨續商粵漢路及開灤部分即將發表"
page 2	"父子師生兩代間上"
page 2	"傅斯年由美返滬說和談絕不可能"
page 2	"我對美出口貨值六月較五月略增"
page 2	"顧維鈞晤馬歇爾談軍品採購問題"
page 2	"南海醞釀颶風"
page 2	"西北糧食問題一部業已解決"
page 2	"僑資申請輸入辦法迄今仍然未能實行因為實施細則沒有公布原定辦法也要設法補充"
page 2	"蘇豫主席傳將更動"
page 2	"公審岡村寧次廿三日假滬市參會禮堂舉行南京有關部會將派大員觀審"
page 2	"西康寧謐賀國光在渝談稱"
page 2	"公務員出差費政院通過增加"
page 2	"你爭我奪缺乏合作對日貿易糾纏不清商人辦運物資數不多"
page 2	"澳擴展移民限制我外部已提抗議"
page 2	"旅德華僑創辦報刊"
page 2	"央航中暹線票價已定好"
page 2	"中航央航運價又增"
page 2	"被控的鄧仲和在滬招待記者說認了五百億特捐一切　候法院解決"
page 2	"交部各單位概算案多與規定相差太遠立院預算委會決定退回"
page 2	"大法官預備會最近將可召開"
page 2	"敵偽產業不再標售即移交中央銀行保管作充實發行準備之用"
page 2	"盛京輪侵我航權輪船業通電反對"
page 2	"總統命令"
page 2	"監委抨擊飛快車路局標新立異糜費公帑徒供富豪享受不合時宜"
page 2	"郭懺飛濟"
page 2	"滬海軍材料庫昨天一度失火發覺早救得快損失不多"
page 2	"立院第二會期部分立委主張稍緩"
page 2	"攻洛陽國軍下偃師冀北熱南大戰復起灤平棄守平承交通截斷"
page 2	"滬軍火庫爆炸詳情"
page 2	"中央地方警察業務按照性質作新劃分"
page 2	"桂永清真除海軍總司令"
page 3	"蘇京會談撲朔迷離傳蘇方曾提出重要文件美英法對西德計劃進行不懈"
page 3	"反對多瑙河新公約英法奧昨正式通知大會美國即將採取同樣行動"
page 3	"紐約通訊為和平自由民主而奮鬥下美國進步黨在華萊士領導下正式成立"
page 3	"太平洋美空軍傳陸續西調中"
page 3	"美間諜案的悲劇懷特突病逝他曾在非美會嚴正答辯受刺激返家後竟爾不起"
page 3	"希魔雖死難逃裁判"
page 3	"一波未平一波又起湯瑪斯說又發現蘇間諜組織"
page 3	"雷諾經濟法案通過法共領袖杜克洛力加反對認為是美國托辣斯的工具"
page 3	"南國局勢新發展前參謀總長圖逃亡被擊斃駐捷克使館官員指摘狄托"
page 3	"沙地阿拉伯拒絕美貸款不滿美對聖地問題態度"
page 3	"蘇駐美人員最近已減少"
