page 2	社評對主計會議之期望
page 3	豫南戰事最後階段確山克復我各路圍攻明港信陽李宗仁將軍談此次獲勝原因
page 3	月餘鏖戰完成勝利
page 3	豫南戰場現勢圖
page 3	我王外長設宴款待寇里寇氏繼續研究工作
page 3	中國抗戰這偉力一宋子文在美演講全文
page 3	農本局改組穆藕初繼任局長
page 3	中國藝展繼續在蘇舉行
page 3	西北交通進步新疆銳意開發盛主席對抗建有深切認識
page 3	遠東風雲日緊滬美僑續撤美人恨日依附軸心野村活動勢必失敗
page 3	大國風度蔣委長電余漢謀禮葬大角等屍體
page 3	吳鐵城部長謁蔣委員長報告宣慰南僑經過
page 3	日本議會奄奄一息田淵反對任期延長竟被交付懲戒委會
page 3	普法姆飛抵澳洲與澳國防部領袖公商史托林論英美在遠東戰略
page 3	日機日艦紛抵西貢
page 3	周佛海與須賀一生一死乃見交情江寧囗囗史之一章
page 3	日機襲昆明
page 3	整理警政內部已頒發原則令各地詳擬計劃
page 4	邱吉爾首相發表演詞重申英國勝利信念英得美援助在東方力量亦增強
page 4	邱吉爾披露美總統私函前進兮國之方舟前進兮邦之徽猷
page 4	佛蘭克福兵工廠失慎原因未明
page 4	霍金斯昨離英返美
page 4	維希向德示意內閣局部改組達蘭任副理兼掌外交對拉伐爾仍虛位以待
page 4	北非英軍兼程西進繼續進攻的黎波里前鋒部隊已佔領艾爾阿蓋拉
page 4	威爾基對記者述遊英印象援英方法認須有修正愛爾蘭問題避不置答
page 4	佛朗哥傳赴柏林桑納與俱
page 4	邱吉爾演詞
page 5	陳嘉庚倡議組設海外閩僑聯合會擬定四月初旬在星舉行大會謀改善福建省政及民生大計
page 5	緬甸閩僑開會響應當場通過提案四條
page 5	粵省派員催運桂穀洽商贛穀備荒改善湘穀交收
page 5	粵桂派員赴渝出席主計會議
page 5	澳門三巴門又一碎屍案被害者係一女性
page 5	中新戰事仍烈日軍圍攻斗門我猛烈堵截迭予重創
page 5	欽縣重謀復興政務視導團召集各界座談會訂定計劃分別實施
page 5	悲愴痛悽話瓊崖二
page 6	鯊魚涌日軍尚未全部退去日軍犯惠州在永湖受創淡火近郊日軍死傷慘重
page 6	高爾將軍駐菲代表費羅奎因公來港美僑及菲律賓人六百名請求參加自由法國軍隊
page 6	回教南洋訪問團攝影展明日舉行由本港婦女慰勞會主辦
page 6	燈火管制演習二十六日開始一連三日時間始一連三日時間業經規定成績若滿意可提前結束
page 6	鯉門輪由越開港載有米石不多
page 6	全國漫畫展徵求本港作家出品
page 6	吳詠香畫展作品售出泰半今日最後一天
page 6	瓊僑開會紀念瓊崖抗戰二週年議決致電蔣委員長致敬籌款慰勞瓊崖抗戰軍民
page 6	模型飛機協會昨開理事會議
page 6	青記昨日聚餐招待總會理事長江夏衍
page 6	娛樂消息國民戲院灣仔洛克道國民戲
page 6	柴價飛漲昨日益烈每元只購廿二斤
page 6	沙田發現新鎢礦當局派工程師試探礦苗產鎢成分不亞於大帽山
page 7	澳門足球選手隊今晨到港交鋒即午在加山對抗東方澳總會長領隊一行十五人
page 7	全港公開網球賽華選手參架寥寥
page 7	戰運會在前線二
page 7	公開男子籃球舉辦尚未有期俟新委員產生然後舉行女籃表演賽日間可決定
page 7	體協會
page 7	協會小球賽各隊定期邀相
page 7	正廷杯賽截止報名
page 7	外匯牌價不動申匯市況微緊
page 7	股票市況呆滯昨日成交一萬九千餘元
page 7	國幣市況稍趨堅穩
