page 2	重慶將成陪都
page 3	桂南我軍克復上思日軍圖犯惠陽淡水晉東我軍曾一度攻入壽陽
page 3	中央議決褒卹邵虛白
page 3	顧翊群將任設計局秘書長
page 3	上海法租界戒備較前加嚴準備慶付任何意外事件
page 3	新任政治部長張治中視事
page 3	中央將正式規定以重慶為陪都渝各界感奮決心努力復興以表現中華民族抗建偉力
page 3	桂林劇戲界響應獻機定雙十節義演籌款
page 3	某戰區官兵捐款六萬元救濟襄陽難胞
page 3	全國各都市慶祝記者節
page 3	陳嘉庚等抵長沙備受歡迎
page 3	政府積極救濟東北流亡同胞於斌主教允予主持一切 
page 3	思樂縣政府尋獲日機兩架軍委會特獎三千元
page 3	汪宣傳機關又添一個平報在滬出版
page 3	滬汪系報紙又大彈老調為國交調整會議宣傳
page 3	豫黃水氾濫災情甚重省府施行急賑
page 3	在華日軍積極反美
page 3	粵公耕造產運動昨正式開始李主席曾親率所屬耕作
page 3	抗戰來貴州工業鳥瞰一
page 3	晉東南劇戰 
page 4	德國再進一步圖獨霸多瑙河召集關係國日內集會羅當局對人民之哀鳴
page 4	全世界已屆暴風雨前夕美天文家作如是預言
page 4	英德空戰激烈倫敦一日內六遭空襲柏林重要目標被炸中
page 4	美客機失事乘客死難二十五人 
page 4	菲移民法案羅斯福已予批准
page 4	南非聯邦繼續作戰國會否決和平建議
page 4	美記者團訪新加坡日報大事渲染謂美記者所發言論為對日之嚴重威脅 
page 4	維希政府計劃鞏固殖民地當地政府意見雖分歧駐防軍隊大體仍堅定
page 4	義國空軍襲英護航隊一輪被炸重傷
page 4	戰局的佳音
page 4	樣本是什麼
page 4	不會合拍
page 4	美總統委出新郵務部長法蘭克華克繼任
page 4	希臘商輪實行武裝
page 4	愛文諾擺脫一切職務
page 4	從東非到近東一
page 4	羅國損失重大
page 5	日再侵入白蕉後中山八區戰事仍烈日機又狂炸大小托斗門
page 5	東江各縣實行疏散商店改夜市營業惠博河龍八月中旬實行 
page 5	桂加緊充實空防籌設重傷醫院組織流動救護隊設固定救護站避難岩設留產所
page 5	兩個電影廠精誠合作奮鬥青年中國即將開攝
page 5	中山戰地記者慶祝記者節
page 5	西康日記一六○第八編九龍見聞
page 5	孫文藻談西南工合可得貸款六百萬
page 5	商店營業利用夜市
page 5	民眾疏散避免損害
page 5	粵民政廳調整縣區署依據新縣制實施
page 5	香翰屏任邊區總司令陳驥繼指揮所主任並兼四區專員等職
page 5	衛生工作
page 5	設留產所
page 6	昨日第八屆記者節港新聞界熱烈慶祝三團體分兩處聚餐同樂
page 6	記者公會開會紀念
page 6	遊藝節目精采百出
page 6	紫羅蘭下週重上紅氍毹
page 6	為程遺族捐贍養金
page 6	各廠致贈精美禮品
page 6	廣州大學在台山覓得校址樓宇兩座可容學生二千各部投考學生甚為踴躍
page 6	佛山輪今日來港輔政司昨日宣布
page 6	邊界日軍激增積極建築工事演習防務附近鄉村民房多被佔據
page 6	何艾齡博士結婚期近擬將親友賀禮移辦社會事業
page 6	港各銀行今日休業郵局變更辦公時間 
page 6	畢打士等
page 6	中國飛剪號
page 6	防空演習
page 6	摩托車工會
page 6	廣九鐵路
page 6	港越航運恢復法郵羅斯號已由港開出越方日內亦有商輪抵港 
page 6	當局在九龍擇地增建平民屋宇新界方面決定暫緩舉辦灣仔一帶天台遍佈難民
page 6	博愛社義學昨舉行開學典禮
page 6	教授四人獲獎
page 6	前日駐港荷僑慶祝女皇壽辰國難當頭舉行簡單儀式荷領演說力圖收復失地
page 6	粵曲平劇拈鬮贈彩
page 6	青記外聯聚餐慶祝
page 7	昨日棒球義賽美水兵痛飲嘉山選手隊始終一籌莫展五比二戰況不見精彩
page 7	上海草地網球許承位被淘汰直落三敗於老將王文正
page 7	夏令籃球東方對美爾頓今天爭奪冠軍
page 7	東南戰軍聯陳容已選出前日足球友誼賽士葛大破香港會
page 7	星島歸鴻
page 7	歐亞戰事影響進出口俱見低減糧食與五金為數尤甚
page 7	記者水運大會各項成績美滿女子二百米四人接力南華小姐不敵華人會
page 7	德權鼎賽昨日比賽結果
page 7	東方水藝會今晚七時半開始
page 7	星島健兒返抵檳城六比二大勝吉打隊
page 7	體育的廣汎觀點英國里特體育大學校長邁喬下
