page 2	社評憲法草案應否再研討
page 3	南北戰場紛傳捷報粵東我克潮安冀西收復阜平鬱北醞釀大戰晉南日軍崩潰
page 3	晉南日軍死傷慘重積極增援尚圖再逞
page 3	嶺東縱橫行二
page 3	冀西我國續攻王快綏包日軍東犯被阻
page 3	湘北我軍克雲溪站日軍狼狽退竄岳陽
page 3	吳佩孚哀榮國府褒揚追贈一級上將中央及蔣夫人電唁家屬
page 3	史達林花甲大慶渝中蘇文化協會將舉行盛大慶祝
page 3	粵普及民教省府通過增設民教館輔導區
page 3	黔鳳岡縣志願兵團已編組完成正加緊訓練
page 3	日本財力枯竭仍拼命死撑明年度預算數字驚人總額達一百餘萬萬圓
page 3	滬西偽警隊長被人槍擊倖免死路人三另傷二人
page 3	美日兩國難迅獲妥協美在華財產損失極重大
page 3	粵三青團積極訓練團員
page 3	非常時公務員攷績暫行條例國府已明令公佈
page 3	滬偽警強迫收捐英領提抗議不承認偽市府有此權利
page 3	滬米價狂漲米業限制投機辦法自今日起開始實行
page 3	三水縣長李敏効死不退粵府傳令嘉獎
page 4	歐美各國紛起積極援助芬蘭芬政府發出急切呼籲美正考慮作財政協助
page 4	英將擁護制裁建議北歐國家努力促進和平美國人民對芬願予援助
page 4	蘇猛攻曼諾海姆線死傷雖重已獲一立足點芬軍奇襲擊潰紅軍五千
page 4	法參謀部增強馬奇諾防線過去三月改進尤多均已布置二道防線
page 4	蘇聯不會放過日本
page 4	法西斯大會宣言義仍保持中立對巴爾幹局勢表關切德仍努力籠絡土耳其
page 4	美對英國封銷政策聲明保留權益聞英已願略為讓步
page 4	國聯行政院開會期延展兩日
page 4	荷輪被擊沉此為第八艘
page 4	德發宣言向北歐恫嚇望各國採親德政策對瑞典將提新要求
page 4	義報記者贊成美禁軍火運日
page 4	桂戰形勢
page 4	日本的預算
page 4	英王在法法總統設宴招待
page 5	日軍謀犯合靈南路戰事轉緊張各縣市積極空室清野張司令勗勉前線將士
page 5	粵省參議會二日開幕會期十五天李主席報告省政
page 5	行政區所在縣份籌備改新縣制先劃定示範縣逐漸推及全省
page 5	廣州日騎兵開江門增援在北街趕築防禦工事
page 5	東江米鹽已有解決辦法
page 5	經濟部嚴格取締囤積日用必需品同時規定平價購銷辦法
page 5	西康日記十八
page 5	潮汕日軍四出搶掠竄擾桑田蝔港遭我痛擊
page 5	粵定期完成全省宣傳網韶關舉行巡迴漫畫展
page 6	本港數大工團籌備擴大募賑運動援助國家爭取最後勝利廠聯會響應慰勞英戰士
page 6	緊急賑難會擴大與前屬該會之兩全合併仍望善長仁翁繼續援助
page 6	中紅會外僑協會籲請各界捐藥前線士兵痢疾疥癬流行健寧丸吐根精均可寄送
page 6	學界消息
page 6	本港九龍新界盜劫案頻頻發生史塔士道西人首飾被盜共值二萬七千九百餘元
page 6	青年會慰勞團視察中山返港組中港通訊站籍資聯繫視察所得即將集成書
page 6	張發奎招致港澳坎僑胞歸國從事開墾參加抗建工作由駐港省賑會負責登記
page 6	慈善機關公款請獻作救國捐款募捐善款尚未動用部份均宜全部獻出以助政府
page 6	基督教會追悼誠靜怡
page 6	影戲
page 6	取締婦孺夜間工作實為國際勞工條例規定本港按例執行不能更改
page 6	冬季畫展十日起在金陵舉行
page 6	出版消息
page 7	今日甲組足球賽兩幕精采好戲東方會在愉園初逢米杜息南華南雄據加山對抗光華
page 7	遠足趣味
page 7	英網球名將絲湯瑪出閣有期
page 7	菲遊憶舊錄港星隊征菲之一頁
page 7	今晚籃球決賽星島戰南華南下午七時半在中青球房實力相等輸贏未敢預言
page 7	零零碎碎
page 7	排球決戰保羅對南華南
page 7	外匯牌價申漲荷縮英美匯市仍沉寂申匯市況穩定銀行買賣不多
page 7	粵北香蕈售價奇昂每擔值千餘元
page 7	股票扶搖直上買戶競購賣家奢求不已全日成交達卄一萬餘元
