page 2	抗戰新階段之開始
page 3	我王外長鄭重聲明非法條約完全無效倘有任何國家承認汪組織者我政府即與之斷絕通常關係英美嚴正表示對華堅定立場
page 3	開採黔鹽甚為順利
page 3	蘇州炸車案日方所傳如此
page 3	汪日條約乃舊調重彈陶希聖駁斥汪之談話其所牽涉當無人置信
page 3	上海同胞情緒激昂青年遍處張貼標語痛斥汪簽約陰謀
page 3	日機襲川在渝下游某地投彈
page 3	襄河戰事告一段落日軍各路潰退我繼續圍殲斬獲無算各重要據點先後克復
page 3	許崇智抵渝杜月笙亦同機到達
page 3	日憲兵被刺後滬西全被封鎖數十萬中外居民均被困
page 3	川省節儲成績良好各縣士紳繼續捐獻軍糧
page 3	贛提倡冬耕
page 3	本屆高考改明年一月舉行
page 3	日汪條約之附件
page 3	美國大舉貸款陪都深表欣慰
page 3	附屬議定書
page 3	諒解事項
page 3	華盛頓一般觀察貸款意義重大
page 3	美公布對我貸款一萬萬
page 4	羅陸軍總動員與鐵衛軍激戰羅京德軍保護米嘉爾蘇聯不滿羅現政府
page 4	吳部長南行紀
page 4	芳澤發表談話希望荷印諒解日人赴荷印者日漸增多
page 4	威廉二世又傳健康如常
page 4	泰軍超過邊境佔據越南土地
page 4	義內閣明日開會
page 4	德遠射程大砲隔岸轟擊多佛
page 4	達爾頓向美呼籲協助封鎖德國
page 4	各友邦態度嚴正
page 4	芳澤赴荷印
page 4	澳新驅逐艦舉行下水禮
page 4	所負使命至為重大
page 4	菲島當局熱烈歡迎
page 4	酬酢宴會幾無暇晷
page 4	星督瓊斯奉命招待
page 4	談話演詞紀不勝紀
page 4	僑胞節約捐獻政府
page 4	墨西哥共產黨謀害總統被捕五十五人
page 4	英屬馬來的資源二
page 4	德正式宣布歸併羅蘭省貝克爾氏發表演說
page 4	美海軍實力現有大小軍艦四百餘艘尚有八十餘艘在建造中
page 4	義軍反攻不逞又失重要據點傳阿王索古抵土耳其
page 5	粵省昨起施行徵集國民兵抽籤年次以壯丁多寡為標準由軍管區核減徵集年次
page 5	中山徒刑監犯撥充國民兵役
page 5	粵公庫法各縣本月起實行
page 5	所希望於僑胞者
page 5	葡國復興節澳門昨日紀念今晚結束慶典
page 5	送人飛行入蜀詩
page 5	江門混亂日軍入鋪拉伕
page 5	昆明簡報
page 6	大道中廣信金舖昨晨被兩賊械劫新張未設警鐘又不呼救致賊於得手後從容遁去
page 6	開張數日竟被賊劫
page 6	損失金飾值千餘元
page 6	中國化學分會五日舉行聚餐會並由史堅演講講題鑄鋼歡迎各工程專家蒞會聽講
page 6	當押業避港人眾門庭若市
page 6	移民局再指示領入口證辦法1攜像領表2填寫找保3取回號碼4等待領證
page 6	團體代領 
page 6	領取手續
page 6	輔政司函謝教聯會雙十節贈旗得九千餘元撥港慰勞會港幣二千元
page 6	沙頭角鹽田間闢設一新航線明日起由耀生小輪航駛港府並派印警駐輪護航
page 6	白雲故鄉優待商界半價票華商會今日代送
page 6	利安運輸公司接運各地出入口貨
page 6	中國文協舉辦中學生繪畫比賽已開始報名十二日截止評閱後取三名給以獎品
page 6	中青餐舞會歸來
page 6	新界蔬果豐收農民試種蔬果成績甚佳中大嶺大農科專家設大農場
page 7	南華聯絡鬆懈一比零小挫光華前鋒演出平凡後衛尚稱落力光華士氣奮發輸在射門無術
page 7	東方突擊奏效輕取聖約瑟上半時東方會連中四球下半時聖約瑟還敬一只
page 7	球藝概評
page 7	女子公開排球南華大破星島惠靈出色威風不減當年玉瓊勇戰惜乎得不償失
page 7	港澳乒乓義賽演出精彩緊張
