page 2	孫桐萱軍襲開封
page 3	我軍奮勇攻入開封粵漢南段我克花縣
page 3	開封激戰
page 3	鄂中反攻
page 3	我炸綏Ｘ
page 3	粵漢路南段我光榮戰果誘圍Ｘ軍二千餘人擒殺高級官佐數十
page 3	一週戰況四月六日至十二日軍事委員會發表
page 3	粵各級黨部人事澈底調整陸幼剛等視察後決定
page 3	美金一元救活一命費佳德在美募捐
page 3	Ｘ已陷困境美報之正確觀察認我軍反攻得勢
page 3	郭大使訪問英外部
page 3	反日刊物滬Ｘ要求取締
page 3	日機濫炸美國財產美使館提出抗議
page 3	行政院會議在河口設置僑務局辦理僑胞入境事宜
page 3	英大使昨過港赴河內
page 3	六個漢奸在汴被刺身死
page 3	英報記者盛譽滇緬公路地勢險峻工程艱巨我工程師毅力可欽
page 3	全菲華僑學生通電Ｘ汪兆銘並向蔣員長致敬
page 3	我國財政金融過去與現在四孔院長之重要講演
page 3	英遠東政策依舊不變克萊琪返日談話
page 4	美總統警告侵略國美國力量較德義過無不及戰爭果爆發美不置身事外
page 4	英在地中海沿岸增強防禦力量
page 4	張伯倫覲見英王議會今日開會
page 4	法報傳德義日西密訂軍事同盟將利用西國為侵略根據義陸軍又一批開入西境
page 4	地中海的策略
page 4	法內閣討論歐局決採軍事準備開始召集後備兵入伍達拉第今日發表宣言
page 4	駐西英使呈遞國書
page 4	駐西法使返國報告
page 4	荷蘭當局採必要措置在沿海積極佈防比否認軍隊集中
page 4	匈牙利秘魯退出國聯
page 4	阿王子領導抵抗義軍阿王將暫留居土京王后產後染病極重
page 4	捷克黨人圖刺希特勒壯志未成身先被逮英雄本色直認不諱
page 4	德企圖與波締結新協定駐德波大使返國報告德對波態度
page 4	羅斯福批准原料交換計劃間接增強民主國力量參院通過社會救濟案
page 4	羅斯福的獅子吼
page 4	我們的決心
page 4	英商業代表團下週可抵羅京
page 4	瑞士慘劇雪崩壓倒學校宿舍死傷兒童二十二人
page 4	Ｘ強派公務員來華服務
page 5	九江頑Ｘ蠢動侵入谷埠圖援江門新會Ｘ我在汾水江激戰中山我軍已封鎖大　口
page 5	瓊Ｘ增援萬餘雷州半島漸緊張徐聞再度疏散居民
page 5	汕頭備戰舉行各種演習美艦亦作必要準備
page 5	汕頭Ｘ艦侵犯英輪案西利士已往福州交涉結果尚未知
page 5	南頭Ｘ慘敗後寶安全境無Ｘ蹤城內建築多被焚燒市民犧牲約十餘人
page 5	華洋機工服務團四日抵滇共五百九十四人
page 5	Ｘ機昨又肆虐炸塘頭廈一機飛擾深圳
page 5	閩參議會下月成立
page 5	在淪陷區工作五十天脫出海南島六續完
page 5	台山嚴查奸宄
page 5	梅縣發現偽幣
page 6	我教部舉辦回國留學生登記羅致專門人才介紹服務未畢業者分發各校試讀
page 6	一二二八蔣委長演詞粵教廳訓令港僑校編入課程詳為講解
page 6	敬告菲律濱同學本港各團體定今晨招待菲律濱學生赴日考察團
page 6	美奧柏林大學贈李應林學位李氏將赴美親臨接受並赴歐美作國際宣傳
page 6	本港新警報機明日午後試放緊急警報與解除信號燈火管制演習期未定
page 6	防空屋宇防空幹委會呈當局請由港府下令徵求
page 6	廠商考察團今晨出發赴澳七十三人葉蘭泉領隊逗留三日十五日返港
page 6	孩子們的救亡工作組織戲劇協會
page 6	兒童救濟會理事司徒德昨抵港詳談各地救濟難童情形藥品及治療器具極缺乏
page 6	Ｘ人在港購買軍需由某洋行經手搜購大量銅鐵
page 6	英帝航機港河班期本月二十四日起改星期一四抵港
page 6	中區填海計劃第一步工程着手進行工程費五十八萬餘元
page 6	粵慰勞會今日籌募委員會議
page 6	舉辦種植救濟難民檀香山僑團供種籽嶺南大學分發難民
page 6	寶安小輪昨晨仍照常開行海關職員返蛇口
page 6	滬實業團由澳返港據稱此行頗感滿意
page 6	兒童保育會
page 7	甲組聯賽壓軸戲南華南再戰海軍定本星期六在海軍球場舉行對方健將星散後備軍充主力
page 7	昨日公開綱球單打賽李惠堂勝拉錫今天節目精彩大徐出戰小林珍
page 7	澳洲台盃隊人選決定並堅信必得錦標
page 7	英國職業足球界狼隊出賣球員四年來已獲利十萬鎊
page 7	球壇瑣聞
page 7	港大籃球隊敗于警察結果三七比四六
page 7	外匯牌價仍不動英美匯緊後略穩申匯市況趨緊華商頗多吸進
page 7	八九金市堅後略淡價較前微降五仙半
page 7	股票市況穩靜人心較安成交略見增加
page 7	粵省果品來源恢復市價暫告穩定
