page 2	社評墨索里尼政權的沒落
page 3	美總統代表將到華蔣委員長表示歡迎希望美國加緊對華經濟援助遠東恒久和平賴中美蘇合作
page 3	美國加緊準備對付日人南侵日本對荷印野心益亟松岡承認蘇日關係困難甚多
page 3	日處境益凄凉物力人力枯竭德籍顧問充斥全國企圖牽引日本參戰
page 3	倫敦泰晤士報論現在的日本模仿納粹的作風趨向於危險途徑
page 3	山下抵德拜見戈林
page 3	印度禁止鐵錫出口日人方面最受影響
page 3	川陝公路渝廣站通車二月一日起實行
page 3	日議會中近衛等被質問大感辭窮理拙違憲問題不能解答對美援華束手無策
page 3	泰越休戰會議中日方強施壓力澄田竟提出通知書限期答覆
page 3	上海日僑又興波作浪不參加納稅人會圖與工部局為難
page 3	豫南我克復黃龍寺對日軍加緊圍殲中
page 3	英報指斥松岡日託言同情甘地反英將印度列入新秩序
page 4	美國會對租借法案完成初步審查眾院外委會通過三項修正案對於授權總統並無重要限制
page 4	英倫海峽潮汐平靜攻英之說又囂塵上倫敦重視愛爾蘭地位
page 4	希王及新總理勉國人再接再厲希臘必將生存獲得勝利庶幾不辱烈士創國苦心
page 4	英國加緊執行人力動員擴大服軍役之年限盡量推進工業出產
page 4	一月二十日羅斯福總統就職宣言
page 4	國際大盜侈談法理蓋達竟指美國違背海牙公約
page 4	北非英軍又告捷佔領竇那進迫班加濟
page 4	希特勒廣播縷述英帝國歷史
page 4	美工人罷工影響國防計劃文生已提出一議案禁止國防工廠停工
page 4	伍德將報告英國財政並向國公要求通過籌集戰費
page 4	威爾基在倫敦視察戰時景色出席英國工會聯合大會並會與郭大使晤談
page 4	日議會之插曲
page 5	粵積極充實糧食草訂計劃綱要繼續標本兼施設法增加生產實施糧食統制
page 5	緬報界訪問團員談訪華印象全國萬眾一心政治修明向抗戰建國之途程邁進
page 5	陳嘉庚倡議閩粵兩省創設華僑師校
page 5	粵省府各機關評定施政成績進度最高者為增加農業生產
page 5	粵建廳籌設省營工廠紡紗織造各一所
page 5	桂南各地災區全部攝影完成現正加緊趕印廣事宣傳並將輯成電影巡迴施教
page 6	華人代表函移民局長促請改善領證辦法提議採用通信領證辦法照片一家專攝之說不確
page 6	新地洋行小汽船在海南海峽被劫海賊十五人　　　　　携來福槍盡劫銀物而去
page 6	中航貨機失事確息五人遭難身死
page 6	史美由渝返港所得印象甚佳據稱此行係應友人之約與我政府會商事未發表
page 6	郵費加價明日實行航空郵費照舊
page 6	印回教徒史亞會紀念穆聖外孫成仁
page 6	立法局財委會通過追加預算案五十九萬九千六百餘元有兩項係屬於移民局者
page 6	洋貨復出口九龍關公署昨
page 6	防奸隊工作近況守衛靠港輪船以防破壞由本港義勇軍隊員擔任
page 7	麗華杯足球決賽總會提前擧行改在二月二十六日開始交鋒海軍三健將昨晨離港
page 7	滬史高塔杯球賽東華失荊州延長半小時內出毛病一比二慘遭西捕淘汰
page 7	南華征澳奏捷三比二勝鱆魚
page 7	美福斯籃球隊前日過港赴菲在菲比賽完畢取道香港返美過港時極願作慈善球賽一場
page 7	澳足球隊下月十一犯港
