page 2	無名的偉大
page 3	浙東海戰猛烈展開鎮海我軍英勇抵抗象山港口艦不斷開砲滋擾
page 3	滬日本報紙又向美攻擊日憲兵被捕案尚未解決吊咖啡館毆鬥案又被重提
page 3	王孝英抵韶
page 3	浙閩航運滬各西商航業公司密與日方商洽恢復
page 3	韋永成兼任皖民廳長
page 3	滇參議會三次大會閉幕
page 3	英國議員續有質問
page 3	朱家驊電薛西爾勸英國懸崖勒馬政府積極加強西北公路運輸
page 3	日發言人神氣活現
page 3	蘇省當局召開中等教育會議決定三大建設綱領
page 3	政務巡視團蔣廷黻等抵筑
page 3	日師團長在宜昌受重傷
page 3	來華日人逐漸減少
page 3	滬沉舟慘劇溺斃達數十人
page 3	贛省下年度施政文案省府已著手草擬
page 3	申報投彈犯王阿標解往法院滬軍警搜查五馬路
page 3	滬大美晚報經理張似旭被刺身中五彈當即殞命
page 3	粵政彙聞
page 3	美國朝野感覺失望
page 3	近衛東條松岡二
page 3	海內外同胞同悼張將軍
page 3	豫偽警廳長海雲帆來歸
page 3	晉城外圍激戰高平被我控制
page 4	近衛與松岡等會議商決外交國防方針點川有出任藏相呼籲
page 4	法西斯機關報論英蘇關係謂英希望蘇能擯棄德義德草成新歐洲經濟計劃
page 4	英眾院討論戰時有關措置限於航運婦孺難盡疏散內閣要員行將日夜留署
page 4	羅斯福廣播演說願盡其才力繼續從政對一切侵略國家不予妥協華拉斯被推為副總統候選人
page 4	民主黨內擯斥法萊
page 4	總統夫人出席大會
page 4	農業區域將予贊助
page 4	菲島人士表示歡迎
page 4	蘇真理報載日危機四伏三年侵華戰事結果工人困苦社會混亂
page 4	月亮圓
page 4	張似旭君被刺
page 4	華拉斯氏發表演說
page 4	日本對美的威脅道五
page 4	英在沿岸一帶加緊佈置防務從新修葺舊時工事堆積沙包準備迎戰
page 4	德軍第一師返抵柏林
page 4	汎美會議期近赫爾赴古京啟程前曾發表聲明熱望獲得良好結果
page 4	德機大舉進襲英東南岸航運希特勒演說德要人雲集柏林弗朗哥公開表示將擴展勢力
page 5	廣州灣血案僑胞要求懲兇賠償各界組織陳興等慘案後援會羅庇和斯飛往河內請示善後該埠禁止起運花紗布疋
page 5	無聊舉動日砲擊鶴山谷埠海口荒野落彈二十餘發中山偽國要買路錢
page 5	仁愛村俘虜的生活從侵略戰爭中救出將來必是中國友軍
page 5	昆明特價觀
page 5	余漢謀飭屬保護港歸僑
page 6	國立院校統一招生入學試今日起舉行試題由渝寄發今晨可達試場計分三組共十九個
page 6	僑胞回國可向省振會登記派隊領導沿途招待膳宿港府華員會商疏散辦法
page 6	華商籌振會定期義演昨已開始售票
page 6	中振會撥款振濟新界難民國幣二千元振衣五千件統交寶安商會妥辦急振
page 6	崇正總會決定舉辦施米憑票領振米每三日一次地點在新界馬草　一帶
page 6	在菲婦女藉無線電報告平安
page 6	英籍婦孺繼續疏散最後一批將於月底離港已扣留某輪將直駛澳洲
page 6	英童書院闢為臨時醫院收容華界被炸受傷平民分設男女病房職員飯堂
page 6	港菲無線電話
page 6	光華醫學院畢業同學聚餐
page 6	拳師譚三病逝
page 6	各界振聯會催繳七七花款卅餘團體逾期尚未繳交若再推延則將名稱公布
page 6	警察司闢謠歹徒異動說不確最近所傳謠言均無根據警察職責修正應付一切
page 6	婦女慰勞會預撥六救護團經費
page 6	陳策返港
page 6	法機停航港越
page 6	東北來客談
page 7	國際棒球聯賽定下月四日開始本屆參加有中美英葡印五隊美國實力雄厚奪標希望濃厚
page 7	補賽秩序
page 7	今日棒球聯賽中華再戰港啤
page 7	中華體育協會昨開第三次會各部副主任人選決定足球部由林中灝出任
page 7	高級學界籃球球員糾紛問題已趨簡單化鑰智擬自動退出
page 7	夏令籃球今日比賽兩場
page 7	新加坡籃球大戰中國對抗聯隊雙方比賽緊張扣人心弦結果勢均力敵握手言和
page 7	美菲荷匯牌價回漲英匯沉寂申匯穩定
page 7	股票市仍堅穩昨日成交三萬餘元
page 7	國幣價格仍甚穩定
page 7	青支會設立籃球訓練班
page 7	八九金市沉寂金條亦無成交
page 7	港九乒乓選手舉行籌振義賽定廿三日起在聖安堂舉行
