page 2	應堅強自信
page 3	蔣委員長通令全國加強實力爭取勝利集中意志增進軍隊攻擊精神予日顯著打擊促其從速崩潰
page 3	滇越邊境我已予封鎖表示我並無越境意
page 3	又一批美僑定今晨離滬
page 3	桂浙傳捷報滬市民興奮兩路特別黨部電蔣總裁致敬
page 3	向我政府求和日本自知絕望傳已放棄直接談判夢想
page 3	美官方正考慮封存外國資金用以資助中英之建設日本將無法換取外匯
page 3	邕寧秩序恢複邕賓路亦已通車
page 3	戴院長病愈即將抵南洋宣慰僑胞
page 3	阿部信行定二十六日返寧
page 3	閩省實行計口授糧社會生活安定
page 3	粵積極推行機關學校化
page 3	張群主席發表告川省同胞書列舉三事希望與眾共勉
page 3	松岡自己承認美日糾紛解決無望美記者由日抵夏威夷之談話
page 3	滬又一綁案銀行家胡筠秋子被匪徒架往滬西
page 3	渝臨參會三次大會開幕
page 3	歐戰特約通訊大時代的巴黎10
page 3	韋爾斯談話揭穿日本陰謀故放英美泰訂盟空氣實際圖造成侵泰藉口
page 4	軸心再作外交攻勢召開中歐會議羅匈南保均將參加保王已抵德晤希特勒
page 4	貝當演講法國新政制全國劃分二十經濟區域置總督外更設省行政會
page 4	希軍進攻節節勝利傳德軍將經保攻希東線希軍攻克科爾加
page 4	西印防務興築問題英美已成立協定初步工程最近將可開始美洲防務會議進行順利
page 4	史汀生氏對美勞工演講喚起認識當前危機保證維護工人利益
page 4	世界樹膠會議改二十二日舉行
page 4	日本西部發生地震
page 4	倫敦方面人士觀察北非局勢將有開展魏剛極力反對割讓摩洛哥
page 4	丹京納粹黨發生滋擾民眾敢怒不敢言
page 4	事實的諷刺
page 4	解釋兩件新聞
page 4	羅鐵衛軍報復私仇阿吉斯安努被捕
page 4	美加緊調查軸心間諜行為台斯委會已擬就報告書德特務員被拘案情複雜
page 4	美國遠東政策應更強硬 
page 4	墨索里尼之言證明義益沒落
page 5	蕭衛國談東南聯運五省分設八辦事處日內成立辦理水陸運輸桂驛運處設廠製造車船備用
page 5	中新游擊戰我攻港口睦洲中山日軍壟斷貨運柴薪米糧昨禁輸出
page 5	重慶空郵各線班期更改郵局通告發表渝港線每週來回各三次
page 5	茂名成立僑民指導處
page 5	西康日記二○九第十篇神秘的木裏
page 5	川教廳募集獎學金獎勵優良清寒生預計募足一千名
page 5	海外奇談泰國性感化女人青年將當眾摟抱
page 5	川康興業公司資本一萬萬官股四千萬先全部撥出公司先行成立推進業務
page 5	三水日俘虜解抵粵北
page 5	防空節前防空展記重慶中蘇文協的立體戰場面
page 5	重慶點滴
page 6	保衛團執委會昨發表成立宣言組織大綱重新訂定頒布減少出勤時間配備槍枝
page 6	成立宣言
page 6	組織大綱
page 6	郵寄報紙當局訂定辦法
page 6	領證人蜂擁而至移民局應接不暇勿忘取回收據以免麻煩注意請求書中有誤印處
page 6	北大同學會前晚舉行理事會議
page 6	美教士雷力斯曾被日軍扣留由梧來港無故被拘六日最後以真對不起了事
page 6	粵警四十名短期內訓練完畢
page 6	柯武韶區靜儀昨日結婚
page 6	市政衛生局昨日舉行例會
page 6	兩雄比賽請看誰優勝
page 6	主教被竊
page 6	貨艇被劫
page 6	書信檢查處
page 6	對英獻金
page 6	限制英婦孺來港港府擬訂新例在移民例實施之前適用華人不受該新例之限制
page 6	李宗仁夫人前日由桂飛港
page 6	經濟部擬訂華僑工業製品證明辦法華資工廠出品獲得保障廠商聯會昨開理事會議
page 7	督憲杯大戰前夕華聯陣容昨產生惠堂放棄被選德輝出任中鋒雙翼採用侯鍾後衛託付兩生
page 7	上週甲組聯賽表演最佳的人
page 7	南華陸軍大會今日開始報名運動節目共有四十項
page 7	外匯牌價俱無變更美匯靜寂申匯穩定
page 7	國幣市況依然穩靜
page 7	股票市況靜穩昨日成交六萬餘元
page 7	四四金市仍無起色
page 7	岷甸奴籃球隊最後一戰今晚對抗華雄會
page 7	小球友誼賽大公勝漢興
page 7	角球一得
