page 2	星期論文日本與荷印間的交涉張忠紱
page 3	波境蘇軍向後撤退調整陣線準備反攻德軍冒險深入損失頗重大貝沙拉比亞前線蘇軍採攻勢
page 3	日本之南進與北進二
page 3	德方乘機發出大量聳聽戰報
page 3	蘇聯紅軍的制度與組織三
page 3	德巨型戰鬥艦傳又被炸毀尼斯諾號已成廢艦
page 3	英機遠跨海峽對德施猛襲工業區受重大打擊
page 3	美民意贊成打倒軸心反對維持現狀為條件獲得和平
page 3	美參議院一致通過百萬萬陸軍預算案
page 3	維希竟成納粹工具竟籌組志願兵助德對蘇作戰
page 3	德官方否認向英提和議
page 3	捷克政府呼籲抗德
page 3	英國撤退在西僑民
page 3	英艦十六艘增援地中海
page 3	英軍事經濟代表團已行抵莫斯科克利浦斯氏亦偕行
page 3	李維諾夫傳將任要職
page 3	怪消息莫斯科發現大陰謀蘇政府正計劃遷都
page 4	日又開軍政聯席會依然徬徨無策英報謂日無事不倒霉
page 4	美決加緊援華對日決不姑息
page 4	蔣委員長聘美顧問
page 4	我十萬青年函謝美總統已由胡大使遞交
page 4	荷印積極鞏固防務正建造摩托魚雷艇
page 4	美墨談判日竟表不滿指為非友誼態度
page 4	美機產量又形減縮因原料缺乏所致
page 4	河內存貨亦被劫奪
page 4	國際局勢已澄清反侵略集團形成凡立場同者我必與之合作郭新外長談旅程觀感
page 4	德國飛機空襲大馬色英軍距貝魯特僅十五哩
page 4	陳慶雲將赴海外募款購機
page 4	美控制航務案將送交眾院討論
page 4	滬法租界昨又捕人正中書局經理被架
page 4	謝團長被害案昨日判決兇犯四人處死刑
page 4	蘇德戰爭之因果
page 4	戰時蘇聯全貌要區及名城續
page 4	美當局考慮增強愛爾蘭防務惟愛須保證不與德妥協
page 4	晉西河水高漲我軍出擊獲勝趙城近郊殘敵全殲滅
page 4	陝籌設鋼鐵廠預定十月間開工
page 4	日水災擴大大阪區陷屋五千
page 4	步步高昇之中國魯斯氏撰文述遊華之印象對蔣委員長夫妻備致讚揚
page 4	颶風襲菲島呂宋島受損重大
page 5	餘漢謀談出巡觀感虞地充滿新氣象士兵體壯神健軍風紀極良好戰地軍糧民食今後不成問題
page 5	財政會議宣言續
page 5	鄺炳舜返美後熱烈鼓吹捐款救濟粵省兒教院婦女生產團首批二十萬元業已匯到
page 5	德蘇戰事爆發國際局勢於我有利桂辦公廳李主任對記者發表談話
page 5	桂省臨參大會開始討論提案各長官施政報告完畢
page 5	第九次會議
page 6	戰債勸募委員會發動用公積金購債運動華商會認購十五萬金山莊五萬吳涵真昨函各僑團響應
page 6	在政府醫院住院及診治收費辦法重新訂定新價目由下月一日實施醫務處昨日在憲報公布
page 6	颶風有襲港勢昨日下午懸出一號風球颶風已過菲趨東沙群島
page 6	學振會救濟失學下月開始登記家境清貧者均可申請分資助學費旅費等項
page 6	衛生局設公共食堂代替熟食小販此事業已獲得港督批准現時正在積極進行籌備
page 6	戰稅局通告薪俸及溢利稅納稅人須於下月十四前呈報
page 6	青年會籌辦升學指導演講各科分由專家負責講述定由下月四日開始舉行
page 6	港護照處遷往中天行辦公入境證不能轉換
page 6	燃料轉換器經得經濟部之專利梁守一昨招待報界
page 6	憲報昨日公布清糞收費辦法住宅每層樓每月收十元由本年七月一日起計算
page 7	今日棒球有兩戰岷甸奴對香港上午十時港啤鬥工程港啤慘敗南華香港不敵中華
page 7	南華在吉發生糾紛
page 7	中西籃球大戰黑貓南商奏捷
page 7	全港中學籃球賽今天全部結束培英綠白作錦標爭奪戰賽畢鄭宗樑主持頒獎品
page 7	居聯會參加中西義賽定期檢閱成績
page 7	鍾聲社泳場風箏比賽各組順利進行
page 7	外匯牌價申匯略漲英匯美匯市況仍靜
page 7	股票市況蓬勃買戶踴躍賣家堅持不放昨日成交總值七萬餘元
page 7	國幣市況仍穩但靜
