page 2	訪問甘肅朱主席上
page 3	我軍援集固守邕寧那麗附近激戰合浦情勢緊張分路進犯西江日軍全部潰退
page 3	日軍深入桂境已種覆敗之因
page 3	粵漢南路日軍北犯傷亡奇重
page 3	晉省我軍連捷猛攻壺關進襲趙城黑龍關日軍已東潰
page 3	奉新日軍受創我軍砲轟城內起火九宮山以東激戰中
page 3	論粵桂戰局二
page 3	黨政軍機構調整問題中常會本週可決定
page 3	我軍襲徐州斃日軍官二名
page 3	國府明令褒揚吳光新葉楚傖被任國選副主任
page 3	蘭州各界努力捐募寒衣
page 3	桂林舉行村街民大會民廳長邱昌渭出席演講戰時工作督導已成立
page 3	兵源士氣旺盛我愈戰愈強蔣夫人函慰菲島僑胞胡大使在美發表演說
page 3	津租界煤荒已告解決
page 3	滬法兵三營調往西貢雨營昨已啟程
page 3	桂省府規定港澳僑胞移居該省辦法
page 3	益世報準備由昆明遷渝
page 3	泰晤士報評稱日侵華陷絕境列強不放棄在華利益美日關係調整亦無望
page 3	太平洋學會在美國佛吉尼亞開幕討論側重於中日問題
page 3	南京烏煙瘴氣煙行林立日銷三千兩煙民占人口八分之一
page 3	滬槍擊案流彈傷行人三名
page 4	德威嚇中立國企圖避免封鎖英報復行動引起注視義日等關切對德商務
page 4	德犯荷蘭主權被越境捕去英人兩名情節離奇傳與和議有關
page 4	德軍瘟疫愛城駐軍傳已後撤
page 4	蘇芬談判芬望重開芬閣舉行會議
page 4	暹羅大興政治獄多人被判處死刑
page 4	國務卿赫爾解釋美商務關係羅斯福報告增加國防費希望歐戰能於明春結束
page 4	在西北線上活躍的回教同胞上
page 4	墨索里尼接見北非將領會商軍隊分配
page 4	英萬噸巡艦在東岸被炸傷損失不大已拖出修理英掃除大批德國水雷
page 4	英專家建議辦法防止磁石水雷建特種水雷掃除艇船身概用木料製成
page 4	美影業工人實行總罷工
page 4	日外務省討論照國丸被炸事結果假定三種措置
page 4	英土商務談判進行順利丹代表團抵英
page 4	南國對外貿易輸出輸入德居首位
page 4	西線戰訊夜間有砲戰
page 4	西線開戰以來德機損失百架空軍氣餒不敢飛越陣線
page 4	羅新閣組成達泰萊斯科任總理仍保持嚴密的中立
page 4	比政府增撥國防費
page 4	邕寧的戰局
page 4	努力除奸
page 5	日軍犯清遠未逞北路形勢已穩定從化我軍克復大岡嶺三墳地炭步白泥爭奪戰劇烈
page 5	合作社法國府修正公布四
page 5	九江方面日軍增援圖牽制西江軍事高明鶴山邊境我加嚴防範
page 5	瓊崖各地我軍活躍日軍到處遭遇突擊
page 5	西康日記五
page 5	蓉市平抑油米物價查封私有倉庫
page 5	莫干山避暑區地方情形安謐在我控制下日軍已絕跡人民安居樂業無異戰前
page 6	香港嶺南分校新校舍昨行落成禮由該校校長李應林揭幕校董李星衢亦親自招待
page 6	教部派錢雲階來港輔導海外學生歸國失學失業者均妥為安置並在本港嶺大設先修班
page 6	潮安救火災會集欵救濟潮安難民昨假勝斯酒店開會歡迎馬潮代表團及廣東賑委
page 6	憲政運動參考材料全民抗戰社編生活書店發行
page 6	糧食統制專員再頒糧食標準價格定明日在衛生局義事室會見販運食料入口商人
page 6	菜子菜油等禁運國外九龍關昨日布告
page 6	追悼馬相伯各界今日開會
page 6	西風月刊第四十期已運港
page 6	蠻島魔王皇后平安今日起映
page 6	督轅舉行授勳禮港督親自主持受獎者兩人港大的比教授及盧列喬斯
page 7	南華南三軍用命九龍兵敗加山五比一我軍輕易取勝
page 7	港滬菲越足球埠際賽的透視
page 7	明年冬運會決停止舉辦
page 7	今日愉園足球東方出戰蘇軍
page 7	拳賽冠軍加西亞將在港表演對手仍係格倫李丹普西擔任裁判
page 7	混合網球雙打戰洪羅組第一直落兩盤獲得大銀杯潤培渭濱輸在不默契
page 7	米杜息勢雄二比七光華慘敗
page 7	港圓價格昨日再漲英美匯市均淡靜申匯牌價續漲市況復略趨淡
page 7	本港糧食來源低減各物俱告漲價
page 7	過去一週間股票市況靜寂股價起落為數尚稀微昨日市況已稍趨穩定
page 7	八九金市市況仍淡靜
