page 2	社評光榮的蘇聯戰績
page 3	蔣委員長發表談話盼各友邦加緊制日中國決不改變抗戰到底決心將不惜任何犧牲擊潰侵略者
page 3	紅軍繼續順利反攻俘獲德軍達七千人
page 3	政院決議改善教員生活修訂財政系統
page 3	中宣部增設藝術宣傳處
page 3	蘇軍固守俄底沙
page 3	日本又弄玄虛聲言欲脫退軸心關係盼美國鬆懈煤油禁運我方觀察美日談判無結果
page 3	大後方採金熱各省金融機關協助開發淘金改用機器產量激增
page 3	貿委會擬定桐油增產計劃加緊整理新舊桐林並電西南五省為實驗區
page 3	農林部擬定蠶絲增產計劃劃定樂山等地為增產區
page 3	中央研究院評議會條例國府明令修正
page 3	澳政府提出巨額新預算
page 3	蘇聯磁鐵戰一
page 3	湘北殘敵蠢動晉南我軍出擊
page 3	戰事倘延至太平洋英美決挺身應付德夫古柏在新加坡談話
page 3	美載重車大批運華
page 3	滬外商輪船將復航福州
page 3	新聞學會理事提議請政府公葬張季驚陪都市新民報亦著論創議
page 4	英首相報告戰局前途絕對樂觀大西洋之戰獲顯赫戰果歐亞英軍實力日臻強固
page 4	英潛艇建奇勳掃協工作順利
page 4	中東機微局勢現已完全開朗
page 4	英決不計犧牲全力援助蘇聯
page 4	英與蘇聯攜手同拒納粹東進
page 4	英為命運主人自身靈魂舵手
page 4	英首相演辭博得熱烈擁護議員主張進攻歐陸
page 4	德國境內發生暴動
page 4	伊朗國會通過英蘇休戰條件德僑七百名送入集中營英蘇接管境內機場公路
page 4	北冰洋英軍撤退返英斯俾茲伯根煤礦已破壞
page 4	美國國策的檢討主動攻勢與被動守勢三
page 4	美國務部宣布貨輪塞沙號又被德國擊沉美巡邏政策將有改變議員呼籲取消中立法
page 4	美國在這方面激昂
page 4	祝中蘇文協港分會成立
page 4	英國海軍公布擊沉德艦一艘
page 4	美國貨價日趨高漲
page 4	泰樂抵羅馬將晉謁教皇定下週末返美
page 4	美總統太夫人遺體安葬空氣嚴肅儀式簡單
page 5	粵發展農工業各方積極推進中組農村調查團四隊出發各地並擴充工廠大量生產
page 5	獎勵扶植民營工業
page 5	粵婦女生產工作團開始建築三大工廠
page 5	中國史上之大教育家七
page 5	桂省鄉村天花流行普遍舉行秋季種痘
page 5	農林部協助粵省設廠製肥料並選定墾區謀增加糧產甘尚武視察後啟程返渝
page 5	袁帶兼任中山縣長
page 5	影星貂斑華患肺病逝世
page 5	中順各地敵兵移動偽軍結集順德改編
page 5	粵舉辦農貸總額五千萬同時並加強農業指導站
page 6	新總督楊格昨抵港即日宣誓就職視事碼頭熱烈冠蓋雲集歡迎
page 6	總督楊格爵士昨晚公開廣播
page 6	新督答詞致謝歡迎
page 6	歷任要職政績卓著
page 6	菲商會長抵港促進港菲商業計劃成功對港經濟有利渠謂菲美軍事澈底合作
page 6	新督昨已到署視事
page 6	清華同學會昨日改選甘介侯任會長
page 6	中蘇交協港分會昨宣告正式成立職員已選定顏惠慶任會長孫院長報告中蘇邦交
page 6	超立社通告同業小販問題解決取締熟食小販暫緩執行各區小販擺賣地點劃定
page 6	港滬商務團體昨歡宴張嘉璈張氏希望僑商投資國內商會主席代達僑商意見
page 7	洋水兵以卵擊石星島勝十四球祖儒永康缺陣義良柏泉不壞今日星島東方分向外隊挑戰
page 7	黑拳王下月入伍當兵
page 7	體協會籃球部續辦藻泉盾賽十五開始報名月底截止
page 7	體育家腳下
page 7	鐵城杯籃球戰吐倫打勝新青埂卅七比卅五局勢嚴重次場友聯贏居聯
page 7	港冠軍游泳賽昨晚預賽青泳成績佳域多利會主辦之冠軍游
page 7	銀牌籃球賽康元勝新青
page 7	陳鎮和精神獎加聘評判兩人
page 7	外匯牌價俱無變更申匯市況略見好轉
page 7	股票市况蓬勃人心轉好需求續見增加昨成交總值逾廿二萬元
page 7	國幣市況較為堅穩最高價一七二
page 7	滬匯黑市仍無成交標金價格略降
