page 2	社評論政府舉辦外幣儲蓄
page 3	晉西我展開運動戰日軍蠢動自投羅網鄂中鄂北大戰在醞釀中
page 3	華北方面
page 3	湘贛方面
page 3	鄂豫方面
page 3	綏蒙政會通電聲討汪逆出賣蒙胞條件刻毒此獠不除群怨難申
page 3	歐戰觀感錄九月十八日倫敦航信
page 3	滬西偽警察暴行層出不窮租界巡捕又被包圍夏仁麟禁錮拷問中
page 3	我一旅長在豫東壯烈殉職
page 3	日艦一艘在浙海面中彈
page 3	日機肆虐連日飛各地投彈在鄂被擊落一架
page 3	我軍士氣堅強國際局勢變化不能撼動和謠再經否認毫無蹤影
page 3	須磨昨接見記者亦否認直接談判
page 3	董顯光現在重慶工作
page 3	興亞院舉行會議討論偽組織問題
page 3	青海各界踴躍捐募寒衣
page 3	汪逆返滬又向及川磕頭
page 3	俘虜劇團將赴蘭州表演
page 3	法幣市價益趨穩定滬著名經濟雜誌著文詳論法幣上漲之原因
page 3	湘動員會擬舉行追悼大會
page 3	國際貿易委會滇分會成立由財廳長及銀行代表組成
page 3	夏威調任總司令
page 4	莫洛托夫演說重申中立政策一本蘇聯自身利益挾擊英法作戰目的
page 4	蘇芬談判前途難樂觀莫洛托夫發表要求內容芬當局極不滿考慮對策
page 4	西線有接觸空軍極活躍英機再度飛德偵察
page 4	日本窺伺下的菲列賓一
page 4	各國反應蘇聯維持中立將使德國失望
page 4	義新閣成立親德人物相率去職勢將加強中立政策
page 4	巴爾幹各國正醞釀新團結中立自衛並邀義參加義希將訂不侵犯協定
page 4	對燧石城號美國極關切政府通知英德兩國請顧及美船員安全
page 4	美中立法修正案眾院順利討論遠東局勢不致引起問題
page 4	莫洛托夫的演辭
page 4	日閥的最後掙扎
page 5	日軍犯三埠不逞江會仍歸我控制汾水附近尚有戰事東寶日軍已勢成弩末
page 5	紐約華僑慶祝國慶紀念詳情世界展覽會定為中國日名流熱烈參加盛況空前
page 5	增城我軍奏捷突擊秦前嶺日軍倉皇應戰狼狽潰竄
page 5	粵北醞釀大戰我克復象山繼續挺進
page 5	粵南沿海行由廣州灣到陽江二
page 5	粵省停止外人游歷期限六個月
page 5	兒童保育會院長會議蔣委長親臨訓話
page 5	南洋華僑義捐八月份達八百五十餘萬元當地政府准義捐免購外匯
page 6	立法局九日會議戰時預算暫緩討論徵所得脫問題亦擱置新稅特委會人選不發表
page 6	廣洪號小輪誤觸水雷經過擬越猪流角北撞及水雷失蹤四十人生還十三人
page 6	四華人代表巡視九龍城自衛團
page 6	主婦須知魚之營養價值營養研究委員會敦請港大教授克葛氏所撰
page 6	華商籌賬會昨開會歡迎古鼎華
page 6	響應徵募寒衣婦慰會賣物籌款由本月十五日起一連三天各方捐贈物品及藥物甚多
page 6	先施兒童部今日起續贈奶粉
page 6	兵災會主席劉慶萱銷假視事月前赴星暹各地昨日返港對各地救濟工作印象極佳
page 6	歲寒社紀念名畫師高奇峯今日舉行二次畫展
page 6	英統制郵匯不得超過十鎊
page 6	德僑個人財產統交荷駐港代總領辦理財產數目尚未核算清楚
page 6	聯合獻劍會推定赴渝代表定本月內出發
page 6	王殷殺人昨晨繯首鄧萊則候港督開赦
page 6	英國慰勞會六日召開首次會議被邀參加者六十餘商會將次第召集各工團社團
page 7	罌花節足球義賽港聯人選產生軍容頗盛右翼竟屬意阜拉球員屈地犯規案警告了事
page 7	昆明足排籃球賽各場競爭激烈龍主席偕夫人蒞場參觀戰畢大家互祝團結奮鬥
page 7	星洲足球淘汰賽中華得決賽權曼撕斯達慘輸三比零
page 7	拳壇佳話
page 7	昨宵公開籃球星島勵行獲勝
page 7	星體育界組織新華體育社志在推進體育大眾化即席選出籌委十七人
page 7	南華陸運報名展限三天
page 7	大眾體育會昨午開幕小球表演賽球員勝職員
page 7	阿姆斯強又獲勝仗
page 7	英美匯商場仍靜寂申匯牌價略漲市況微緊
page 7	股票市況呆滯買戶稀少成交僅五千餘元
page 7	八九金市仍靜且淡買賣不多價少起落
