page 1	毛主席林副主席接見各地革命戰士毛主席精神煥發神采奕奕身體非常健康向羣眾親切招手鼓掌周恩來陳伯達康生李富春江青張春橋姚文元謝富治黃永勝等參加接見
page 2	同濟大學改革教學半年取得很好成績人民日報評論員文章號召在革命大批判中前進再接再厲把教育改革進行到底
page 2	九成多企業實現大聯合瀋陽工業報增產三月份工業產值大幅增長四月再上升革命羣眾正以文革新勝利迎接遼寧省和瀋陽市革委誕生
page 2	民軍進入西貢港口偽總統府附近和河區均有戰鬥全城有如死市美軍兩連遭伏擊
page 2	津浦線上重鎮淮河航運中樞蚌埠革委五一成立今年全市工業生產連續四個月增產廿萬人參加學習班佔全市人口一半
page 2	約翰遜對泰保證強調侵越不妥協
page 2	沿着五．七指示的道路闊步前進－半年來五．七公社教改方案革命實踐的報告
page 2	勇於進行教育改革方案的革命實踐
page 2	始終抓緊批判資產階級的革命鬥爭
page 2	民軍發動新的攻勢後美軍上週死亡劇增自報死三八三人創九星期來最高峯
page 2	四百處地方選舉正陸續揭曉英工黨大敗之局已定前途黯淡影響現內閣生存問題倫敦民意測驗四分之三人對威爾遜不滿
page 2	美國酒鬼七百萬每年增加廿萬人兩成嬰兒需要精神治療
page 2	捷駐中國使館舉行國慶酒會
page 2	汽油增價四倍米價直線上升印尼學生罷課抗議並定期月中大示威蘇哈托禁止示威雅加達擔心發生衝突
page 2	新澤西州卡姆登市美國學生造反接管學校扣教師全市警察出動
page 2	河北省并陘煤礦連續十六月超產煤炭部號召全國學井陘
page 2	印尼共產黨中央歡呼毛主席聲明印尼人民堅持持久戰滿懷信心建人民政權印尼的馬克思列寧主義者和印尼革命人民高舉毛澤東思想偉大紅旗正沿着革命道路開展革命的人民戰爭來粉碎美帝國主義的看家狗和蘇聯現代修正主義的同伙蘇哈托一納蘇蒂安法西斯軍人政權
page 2	教育革命實踐中的幾點主要體會
page 2	同濟大學五．七公社
page 3	指出廿六路大軍罷得好復得也好工商界支持復工各界警告港英須為工人復工速作安排同時不得再阻撓我祖國慰問大米進口
page 3	港英無理阻我慰問米澳各界同胞嚴斥其非擁護粵支港鬥委會及香港各界鬥委聲明支持港罷工大軍復工警告港英不得破壞
page 3	調景嶺上槍聲卜卜
page 3	無核紅棗等到大量新貨
page 3	各界來信支持鹽業銀行聲明美蔣分子須受嚴懲港英休得再耍包庇和開脫罪責伎倆
page 3	黃大仙一男子離奇僵斃床上死因須待剖驗後始知
page 3	洪馬康再被提控
page 3	五飛仔合謀劫一小學生
page 3	香港仔飛羣毆傷兩父子
page 3	從快艇墮下小孩遭溺斃
page 3	中西區學校宣傳會明午一時接待觀眾內容包括展覽表演和講座等多項
page 3	大坑道木屋居民百多戶面臨迫遷居民大都不願搬要港英緩拆
page 3	中華紙業商會昨夕歡祝會慶要港英即安排慰問米進口及工人復工
page 3	拿香港居民生命財產開玩笑美水兵認意圖縱火罪這傢伙曾在第七艦隊服役參加過侵朝戰爭
page 3	觀塘九人車兩司機又遭警察拳打腳踢
page 3	週末報二十期出版
page 3	元州街梯間發現男棄嬰
page 3	堅尼地城巴士總站昨晚兩架巴士相撞司機售票員和乘客共傷六人
page 4	既是慰問米為何要註冊米商申請三行建築失業工人及家屬怒闖工商處要該處處長改變態度迅速安排進口
page 4	水務局開出支票今年不制水兌現與否要到年底始知
page 4	黃大仙發生劫殺案一老翁遭勒死匪徒翻箱倒篋掠去款飾相機等
page 4	碎雙屍案複雜迷離女死者是華僑富家女七年前與一華僑結婚後來分手偽稱女護士有隱衷林某行蹤仍是個謎
page 5	反英抗暴圖片展覽廣州觀眾已逾四萬顯示廣大革命羣眾對港九愛國同胞鬥爭的關懷和支持
page 6	上月來單應旺反淡美商訂貨未增廠商擔心棉製品配額將用不完
page 6	印尼盾又暴跌五十七盾兌一港元前欠港商貨款已停匯來
page 6	泰國輸入輪胎定額十九萬條
page 6	部分貨家回拋太古粗砂價跌每噸約跌五至八元
page 6	泰米美米提沽只成小額數宗
page 6	加比西德匯價調整
page 6	飾金價復報高K金市卻反覆微順股市尚活躍價則多下跌
page 6	遊客來港續減旅遊生意更淡不少旅行社已先後被迫停業
page 6	梳打食粉成交多噸
page 6	蚊帳開始旺銷出口商連日扯購零售商亦紛備貨
