page 2	英國前途之光明
page 3	宜昌附近日軍受創豫南我軍進迫信陽南路繼續激戰欽縣即將克復
page 3	外交部發言人痛斥日人造謠我抗戰決心絕不受動搖
page 3	湘省推行獻機運動薛岳向湘人呼籲應盡力踴躍輸將
page 3	粵省墾荒貸款省府籌得一千萬元湘贛桂米源源運粵
page 3	贛節約儲蓄總額定為千四百萬元 
page 3	儲蓄運動週全國自明日起舉行
page 3	地理研究所工作緊張各組考察隊出發
page 3	華籍海員在英成立工會
page 3	三團體在筑設殘廢軍人工合傷兵之友社捐款十二萬
page 3	侵華之日軍終將葬身中國英權威時論家贊揚我抗戰
page 3	陪都醫藥界響應義診運動慰勞總會特設茶會招待
page 3	法泰紛糾正在談判中傳將可解決
page 3	滇緬路重開後我國際貿易轉趨活躍港滬首批進口貨物十萬餘噸運抵滇境
page 3	日報無聊舉動危詞恫嚇荷印
page 3	滬法租界兩法院昨竟被日汪攫奪
page 3	國民外交協會及國聯同志會電賀羅斯福連任
page 3	桂收復各縣實行大清除省府令積極辦理
page 3	新加坡間諜案開審記二
page 3	陳公博抵滬將就任上海市長
page 3	日人為什麼撤退邕寧白委員崇禧在中樞紀念週之報告 
page 4	義希戰事仍膠著駐羅德軍驟增德僑一批突由土撤退英空軍將抵薩隆尼加
page 4	捷克人民沉默紀念國慶不顧德方危辭恫嚇
page 4	美澳英續商太平洋合作交換意見範圍甚廣
page 4	紅場陽光普照蘇慶祝國慶列隊遊行軍容壯盛國防委長發表演說
page 4	羅斯福總統由紐約返美京三十萬群眾熱烈歡迎休戰紀念日將作演講
page 4	美國政府要員赴蘇使館慶賀
page 4	威爾基氏定期廣播
page 4	印領袖要求甘地勿絕食
page 4	張伯倫病篤
page 4	希特勒傳將發表演說
page 4	美財長計劃籌款供國防開支將同時增加債額賦稅銀行界認將通貨膨脹
page 4	直布羅陀防務益趨鞏固築成運河隔絕大陸欲施突襲將極困難
page 4	愛總理表示決心維持中立交戰國倘向愛壓迫徒足引起流血事件
page 4	滬兩法院竟被攫佔
page 4	美擬派輪撤僑德拒保證安全義曾予美滿意答覆
page 4	選票結果繼續發表
page 4	荷印的汽油資源與日本一
page 4	希軍把握主動地位
page 5	東方加山會海軍星島渡海探九龍大枱客掃桿埔戰米軍
page 5	足球義賽陣容變動惠堂德輝足傷倦勤
page 5	今日兩場漢英出戰和風魚業會師工餘
page 5	守門技術談門守應該在什麽時候出來
page 5	眼前的難題
page 5	必須要緩進
page 5	越位的可能
page 5	危險的地方
page 5	東方戰海軍
page 5	星島會九龍
page 6	港府昨正式公布統制進口移民計劃統制法草案今日可發表立法局下次會將予討論
page 6	進口移民統制計劃
page 6	華僑概須領居留證
page 6	例外人物免領證書
page 6	政府可頒抵押制度
page 6	各大學聯誼會定期開代表大會討論推進會務改選職員決定編印首屆會務報告
page 6	本港陸上交通擁擠原因警署交通管理處幫辦談定購巴士不能如期運港
page 6	輪船艇舴皆受統制
page 6	模型飛機比賽明日舉行參加各式飛機達百餘架各校學生準備結隊往觀
page 6	比賽程序
page 6	開會秩序
page 6	新運婦女會收到義舞抽彩捐品
page 6	中央訓練團籌組回教教長訓練班白崇禧將軍擬訂實施計劃
page 6	白雲故鄉觀眾空前擁擠流連不忍遞去
page 6	清華校長梅貽琦函本港清華同學詳述西南聯大被炸經過物質損失有限精神淬勵無窮
page 6	崇正總會職員定明日交代胡文虎任正會長
page 6	梅芳中學慶祝二十三週年紀念
page 6	保育會港分會難童已安抵貴陽該會將招待各界報告一切
page 6	強執疏散會撤銷係英殖民部之意輔政司談原因何在不知本港情形殖民部獲確報
page 6	獎品一覽
page 6	多層隧道
page 6	隧道交錯 
page 6	通風裝置
page 6	水之威脅
page 6	需費浩大
page 6	防空洞內幕中
page 6	不能領證之幾類人
page 6	來港者須領進口證
page 7	粵省積極廢除苛雜四個月來裁撤六十三種年徵數達五萬九千餘元
page 7	中新我軍出擊睦洲日陣地動搖馬山戰鬥我獲小勝岐關車路仍開放中
page 7	港紙在澳昨突高漲
page 7	曲乳仁查緝所撤銷
page 7	梁榮光昨病逝
page 7	張發奎將軍談戰場事實證明桂南日軍潰敗
page 7	申匯牌價略漲美匯市況趨淡
page 7	股票市況續趨活躍成交數量增加
page 7	四四金市再度傾跌
page 7	桂林短訊
page 7	國幣市況略趨下游
page 7	三個月中衡陽被炸最慘傷亡三千人損失六千萬南門到北門正街成焦土
page 7	荷印美術館主辦海粟畫展
