page 2	社評當前的經濟問題
page 3	美蘇兩國對日步調一致赫爾重申海洋自由答覆日本無理干涉野村又訪赫爾並謁見美總統
page 3	美各城市建防空洞招募優良華工赴美
page 3	美貨物運蘇日無權過問英與論界猛烈抨擊日本
page 3	蘇聯工業的新分配二
page 3	日又壓迫泰國提出借款要求
page 3	黛維夫人讚揚我抗戰偉大盼我勝利奠定遠東和平
page 3	救國公債抽籤還本
page 3	貿易部長人選內定
page 3	桂省營貿易公司下月成立資本五百萬元
page 3	東戰場我軍反攻克復紹興外圍各據點餘杭武康亦先後收復
page 3	閩江戰事復起我軍克復福清
page 3	蘇皖邊境激戰殘敵反撲高淳
page 3	贛敵施放毒氣圖阻我軍追擊
page 3	教育部發表休假進修教授本年度選定二十人名
page 3	敵艦二十餘艘現又駛回黃埔
page 3	陪都一盛會孔祥熙歡宴國際友人並舉行公祭孔子大典
page 3	中國化學會將在蓉開年會
page 3	菲島美軍官駕機失事
page 3	旅日美僑一批撤退
page 3	滬公共汽車工潮未解決
page 3	藥物自給專家發起座談研商製造問題
page 4	伊朗停止抵抗內閣改組接受和平妥協辦法尚待商談
page 4	法國人心未死內奸拉伐爾遇刺黨羽二人亦被擊重傷
page 4	德用嚴刑峻法法人仇恨愈深
page 4	時局新中心之伊朗三
page 4	破壞鐵路事件德軍防不勝防
page 4	西非自由法軍港口傳將供美使用藉以消滅達卡爾之威脅
page 4	挪威人民群起抗德軍事工程屢遭破壞
page 4	法國議員反對達蘭違背憲法
page 4	洪澤格被委為維希北非軍司令
page 4	義國農產被德統制著令擴大播種區增加對德之輸出
page 4	希特勒將發表演說
page 4	美禁軍用材料運往非交戰國
page 4	蘇軍英勇抵抗全線漸趨穩定列寧格勒防線愈鞏固德軍六千葬身尼勃爾河畔
page 4	德匈公報宣稱渡過尼勃爾河
page 4	北路蘇軍澈底焦土
page 4	羅軍將領表示厭戰被革職者已有數人
page 4	日本將如何
page 4	伊朗停止抵抗
page 4	拉伐爾被刺
page 4	菲島後備兵萬餘人入伍
page 5	水陸嚴密檢查下廣州灣貨運銳減敵艦在海面焚劫貨船
page 5	田賦改徵實物粵省積極辦理本年早造豐收糧食可告無虞省行建廳商訂冬耕貸款合約
page 5	香翰屏抵韶談潮汕局勢敵軍實力薄弱徒能負嵎困守現我軍已把握主動地位
page 5	戰區長官部禁運桐油入越龍茗緝獲大批私藏桐油桂省徵收棉花等出口稅
page 5	粵省戰區綏署嚴禁官吏營商走私包庇者就地槍決軍人賭博決從嚴懲辦
page 5	農田水利技術人才粵教廳普遍培育飭各縣選送訓練
page 5	英國婦女生活
page 5	粵省積極發展國防民生工業機器廠資金增至三百萬紡紗廠貸款正在商洽中
page 5	清遠稅局長舞弊被扣留
page 5	韶關籌設蔴織公司資本定二百萬元
page 6	華商銀行公會募債得二百八十五萬元
page 6	戰時兵險率之規定現尚在縝密考慮中值百徵三商界仍認過高保率過低承保者恐損失
page 6	軍事演習夜汽車渡輪暫被徵用各區燈火局部管制
page 6	新督楊格啟程來港計下月抵港
page 6	衛生米上市每擔售十四元
page 6	澳難收容所但因糧食昂貴難民遣送延宕
page 6	港當局核准發行戰時節約儲蓄券將委託郵局銀行發行
page 6	新聞報紙暫准出口
page 6	水塘保衛計劃各部建設工程現已竣事工務局報告書正式發表
page 6	婦女生活困難乞巧無力昨市況甚平淡
page 6	廠商會秋季懇親會明日下午在金陵舉行招待海外部長等多人
page 6	杜阮慘遭浩劫僑港同鄉進行籌賑
page 6	中環和德酒鋪發生兇殺慘案蒸酒師深夜砍傷四夥伴兇手逞凶後竟奪門逃去
page 6	中航闢港桂線每兩週開客貨機一次票價單程港幣三百元
page 6	國民大學籌募學校基金改善教員生活
page 6	中旅社主辦銀礦灣雅集名流參加踴躍
page 6	中國文協音樂講座開課參加者頗踴躍
page 6	東華義莊內停棺達八百具棺柩有停放達十餘年者東院理擬建築新樓應用
page 7	陸靄雲招待各代表商決義賽辦法定下月二十日起舉行足球義賽兩場六券收入由七團體平均分配
page 7	黑拳王談如敗於羅諾瓦從此放棄拳賽
page 7	復興田徑賽運動舉辦陸運大會域多利與西青會曾研討多次華僑體育界宜加注意並贊助
page 7	公開游泳預賽九月九日舉行九月六日下午八時截止報名比賽秩序及游泳規則已公布
page 7	乒乓事件莫慶發表談話
page 7	滬西聯足球會發週年報告書
page 7	中青泳場開會友聯歡會
page 7	鐵城杯中青對警察平正出戰吐倫
page 7	夏令籃球大戰僑星打勝康元
page 7	外匯牌價俱無變更美匯沉寂申匯靜穩
page 7	股票市況好轉買戶活躍股價有續漲可能昨日成交十二萬餘元
page 7	國幣市況微呈淡勢
