page 2	社評蘇日協定之影響
page 3	對於蘇日共同宣言我王外長鄭重聲明東四省及外蒙為中國之領土第三國任何約定決不能承認
page 3	蘇聯將不放棄援華軸心盟約無形打消英國方面一般之意見
page 3	陪都輿論本報渝版認日將南侵益世報則作沉默抗議
page 3	維希人士檢討蘇日簽約原因
page 3	美國官方態度緘默
page 3	美日關係東京認為將趨嚴重
page 3	近衛得意忘形發表荒謬聲明
page 3	及川狂言謂日海軍不負民望
page 3	日扣美商汽油美將提抗議滬美總領進行調查
page 3	伊格爾被押赴貢審訊
page 3	成都地震歷時二秒鍾
page 3	中報登載漢奸廣告被綁職員已獲釋
page 3	滬華董名單日內可發表
page 3	虞洽卿談話
page 3	鄂北敵攻勢又挫青峯山展開劇戰隨縣進犯之敵亦被我堵剿
page 3	模範軍人下士班長范文標君殺敵致果壯烈犧牲
page 3	邊民獻金團謁林主席致敬
page 4	希北德軍進犯未逞英德大戰即將展開摩拉瓦河南軍反攻中
page 4	德國繞過多布魯克迫近埃及邊境巴第亞蘇倫次第失陷北非戰局形勢突轉緊
page 4	英首相廣播勉勵南人抗戰
page 4	英機猛炸西北歐範圍及五國基爾被投彈三萬枚法沿岸根據地被炸
page 4	蘇聯的力量
page 4	德國放出空氣與土訂不侵約土報表示注重事實無意考慮空洞諾言
page 4	英加緊建艦確保海上霸權維持對鎖歐陸政策加派軍艦增防遠東
page 4	英國本部演習攻守戰參加部隊達五萬人英準備應付大西洋之戰
page 4	英國軍艦襲擊挪港口挪志願軍參加作戰
page 4	英美空軍要員商討加緊合作俾租法案能有效實施
page 4	英首相電勉在華英僑對募款購機表謝意
page 4	教皇演說忠告侵略者善待淪陷區人民
page 4	敵軍隊長厭戰自殺
page 4	希戰展望
page 5	華北青年抵桂向軍政長官獻旗縷述敵人壓迫同胞情形手段惡毒極盡人間慘事
page 5	贛慰勞團出發前線勞軍
page 5	晉南淪陷區烟賭公開土匪橫行敵偽猖狂民不聊生
page 5	西康日記第十五編由麗江返昆明
page 5	閩省統制茶葉產銷制定郵包寄遞辦法	
page 5	抗戰中之粵南農村生產增加文化普遍發展經濟情形好轉政治長足進步
page 5	敵在豫北傾銷毒品淪陷區人民受害巨重
page 5	全國高中女生家事課程標準教育部繼續修正公布
page 5	四邑公私各校實施兵役教育新會縣境天亭各鄉村續辦第三期國民軍訓
page 6	財界某巨子談今年內地可卜豐收陪都對蘇日締約早有所聞認有日對南進尚有所顧慮
page 6	汪偽財部禁滬五金品出口日方早經強制商人登記本港五金用品勢將漲價
page 6	化粧品徵稅辦法手續繁難稅率過重洋貨西藥行昨聯合會商函中西商會請當局改善
page 6	英籍醫師會健士週內赴緬服務於中國紅十字會國
page 6	業餘聯誼社昨召第一組交誼會
page 6	司徒永覺演講醫界道德問題規定嚴格限制辦法六項取締懸掛專醫性病招牌
page 6	青年團體勞軍運動結束共募款一千二百餘元撥交保衛中國大同盟
page 6	我政府設法使港滬資金內移投資國內損失政府補償高利儲存可向港滬去息
page 6	香港大學行政委會明日舉行會議
page 6	福州米荒嚴重港閩僑籌謀求濟已組成織救濟民食聯合會電我政府以積縠辦平糶
page 6	新警司伊雲斯今日正式視事各種非法組織決予取締賭場多處聞風相繼停閉
page 6	時局變幻離港者多領取防疫證官署連日民眾極擁擠
page 6	當局平抑米價非常法令將公佈糧食當局密查已有結果連日會商制裁高抬米價
page 6	照相業商會明日開幕各界多予贊助
page 7	港聯隊土氣旺盛南華淨輸三球丙組決賽飛機勝打旗獲冠軍賽畢由羅文錦夫人頒發獎品
page 7	足球縱橫談十
page 7	星友籃球隊擊退商務卅八比卅二
page 7	軟性壘球慈善賽野貓發雌威九比五大勝港星隊聖約瑟七比一贏馬學士
page 7	督憲杯遴選前夜實力檢討談願既往不咎來者可追遴選諸公盼大加緊慎
page 7	湖南藍田師範體育二月刊下月一日出版
page 7	牛油來源低減售價日益高昂
