page 2	社評歡迎美國軍事代表團
page 3	豫北敵軍增至三萬鄭州附近仍有激戰
page 3	湘北我繼續追殲汨羅江南岸已無敵蹤
page 3	格拉第福克斯昨晚離渝飛港
page 3	浙東我軍反攻紹興
page 3	滬各商業銀行吸引游資內移創辦渝長期存款
page 3	李國欽抵渝將謁有關當局承商貿易問題
page 3	湘北華軍大捷為反攻之先聲菲報記者在星談話
page 3	荷印出產原料決繼續供蘇不因日方反對而中止
page 3	豫黔各界組前線勞軍團
page 3	論華僑匯欵一
page 3	ABCD陣線益增強合作郭外長表示欣慰
page 3	貴州水泥廠昨舉行創立會資本一百萬元
page 3	教部積極推進電化教育與中央廣播事業處商定技術合作問題
page 3	海南島我軍民抗戰情緒高漲
page 3	馬尼拉會議結束普法姆將軍昨晨飛回新加坡澳內閣代表派治訪問馬來亞
page 3	菲島國防法案將可順利通過
page 3	日資源枯竭限用建築材料
page 3	訪緬代表團涂允檀等返渝
page 3	敵機肆虐空襲豫桂諸地
page 3	滬公共租界發生槍殺案俞瑞林中彈斃命
page 3	甘肅省北部發現一古城並獲新石器時陶片
page 3	天文學會年會圓滿閉幕通過要案八起
page 3	東京美使館日警要求保護在館內設立駐所
page 3	中英兩國合作改善滇緬路能操華語英人大批赴緬
page 3	湘北視察團過衡赴長沙
page 3	南僑籌賑會電領袖祝捷
page 3	維希調動外交人員
page 4	蘇德戰事轉劇德軍企圖進攻莫斯科
page 4	北路前線穩定蘇軍續有發展
page 4	北印舉行防禦演習
page 4	美國的經濟戰略一
page 4	論增進生產除非竭力迎頭趕上難望超出德國生產
page 4	希特勒演辭無異懺悔錄自承對蘇估計錯誤東線決勝毫無把握
page 4	德空軍消耗量超出生產能力戰場擴大實力愈削弱人員損失情形更嚴重
page 4	澳內閣組成閣員人選與上屆相同寇丁邀德夫古柏赴澳
page 4	英國空軍活躍威脅德國航運挪北沿岸航行已中斷
page 4	美最高法院舉行開庭禮將處理勞資糾紛及有國際性案件
page 4	巴西附近海面月夜發生海戰璺軍艦一艘已被擊沉
page 4	英德交換俘虜定期今日舉行兩方皆已準備停當
page 4	南愛總理演說讚揚英國對英決心表示崇敬
page 4	懷特號船員有三人失蹤
page 4	英美一片援蘇聲英海長謂與蘇合作到底美勞工聯會主竭誠援蘇
page 4	敵佔鄭州
page 5	中山敵軍抽調空虛江會方面被我包圍
page 5	赤坎大火災鴨乸港焚屋五百餘間死女童一名受傷三人
page 5	康議長發表感想市民富有復興能力希望政府協助建設
page 5	陪都建立週年各界盛大慶祝大會發表告各界同胞書
page 5	南路情況安穩各縣實施新縣制瓊崖定安我游擊隊活躍
page 5	四邑光復記
page 5	桂省府體念僑生華僑班已開課漢民中學共收容八十餘人
page 6	美加強援助中國俾達成自由獨立美軍事代表團昨談話
page 6	旅日英僑撤退抵港談離日時甚狼狽每人只准攜帶一元出口被凍結資金千五百萬元
page 6	入境辦法再事加嚴入境局又定新法
page 6	慰勞湘北將士會昨開二次會議各團體繼續認捐慰勞金各方紛紛進行慰勞祝捷
page 6	安東號輪來港失火
page 6	堅民膠廠籌備舉行鞋展
page 6	格拉第今晨在港將有數日之逗留本港中外人士今晚設宴歡迎
page 6	美輪哥力芝昨晨返美清華學生三人出國
page 6	慰贈孤軍物品
page 6	限令樓宇建築水廁戰爭期內不擬實施認地方經濟均成問題待戰後限五年內完成
page 6	港三國金融會議英美兩代表今日可抵港三國經濟專家雲集此間
page 7	港滬埠際球賽問題下週開會討論總會擬先去函滬方徵詢意見今日决定雙十節日中西戰陣
page 7	中西渡海泳定期舉行
page 7	宋許事件靈聖回心轉意將返娘家東方會決儲放棄許竟成南華赤柱月夜討論某項要政
page 7	攀山競賽參加者近百人
page 7	澳門足球賽揭幕鱆魚初勝警察戰情緊湊雙方殺得人仰馬翻結果二比一鱆魚隊旗開得勝
page 7	鐵城杯中青勝星島黑貓敗於新青
page 7	藻泉籃球賽後日開代表會
page 7	澳預賽杯足球兩華均吃敗仗
page 7	我國青年網球名手蔡惠全返國為美國賑華會作網球義賽四日東返美名將同行
page 7	本年過去九月內股票市況之回顧平均價格比較去年略見低跌
