page 2	社評工業標準化之重要性
page 3	蔣委員長昨發表談話民主國應加緊團結爭取主動摧毀侵略各戰場聯繫始能獲最後勝利
page 3	蔣委員長
page 3	美總統作激昂演說決加強援助中英蘇
page 3	羅斯福總統
page 3	日軍續抵越南傳滇越邊境已起衝突日報暗示將犯滇緬路
page 3	澳洲武裝商船空軍人員加緊訓練
page 3	顧大使赴牛津演講
page 3	外交協會定期招待各國使節
page 3	英當局撤退鼓浪嶼僑民
page 3	湘省桐油牌價增加
page 3	來栖飛抵馬尼拉訪晤菲總統及美專員過港匆匆未作任何表示
page 3	柏林評論
page 3	薛司令長官嘉獎湘陰縣長
page 3	陳逆維遠被日拘捕謂有間諜嫌疑
page 3	閩省僑務處將在永安成立
page 3	手紙印刷所被人投炸彈
page 3	趙老太太宣傳兵役
page 3	維希外交人員參加高爾運動
page 3	英軍精銳部隊開抵新加坡華維爾昨過仰光返印
page 3	菲島緊急法案美參院小組委會通過
page 3	粵展開經濟戰派員考查各地走私實況調整水陸運輸搶購物資
page 3	全國農貸逾一億元
page 4	十月革命紀念史達林氏廣播吾人已獲得英美援助相信不久可擊敗納粹
page 4	史達林主席
page 4	蘇京糾集國慶紅場情緒熱烈
page 4	建立第二戰線要求勢將引起英方反響
page 4	慶祝蘇聯國慶蘇大使館招待來賓蔣委員長親臨致賀
page 4	美國務部宣佈貸蘇十萬萬元羅斯福致函史達林大量器材儘速運蘇
page 4	蘇革命紀念美總統電賀
page 4	夕照譚夕陽無限好只是近黃昏六
page 4	李維諾夫新命使美美國興論一致歡迎
page 4	美孤立派非難政府費煦提出對德作戰案
page 4	加擊沉德潛艇美官員極注意
page 4	土魚雷艇被擊沉沒襲擊者國籍不明
page 4	德軍攻勢被挫蘇軍發動反攻兩翼前線續獲進展
page 4	芬蘭騎虎難下否認有意停戰
page 4	日輪箱根丸又觸雷沉沒地點在海參崴對面鴨居角蘇日關係愈趨緊張
page 4	蘇機襲但澤炸傷德巡艦
page 4	三大領袖的話
page 4	阿富汗國防大會開幕國王柴希爾致辭
page 4	南人三十萬被德軍屠殺希臘教會有詳細報告
page 5	今天甲組兩戰在九龍星島過江鬥警察下午四時三刻在界限街球場漆咸道九龍迎抗米杜息
page 5	論南蘇之戰
page 5	銀聯小球賽明天五場上週成績公布
page 5	藻泉杯賽今夜三戰
page 5	明日掃桿埔好戲蘇皇軍戰南華何國材初出馬試看身手如何海軍遇光華約瑟對抗工程兵
page 5	鐵城杯籃球賽門券開始銷售
page 5	一籠點心
page 5	銀牌籃球戰黑灰獲冠軍卅四比廿七民大遭淘汰頭場金銀贏選手
page 5	李氏健身員生明日旅行沙田
page 6	財政司暫准金融貿易場恢復國幣自由買賣國幣黑市價格昨稍上漲昨晨花紗等市均告停頓
page 6	汽車重油氣化器梁守一將招待記者參觀日內擬往仰光大量製造
page 6	舉行嘉年華會工合覽展國貨工合展品共有一百餘種國貨展覽場積極籌備中
page 6	首次休戰紀念休息一日向紀念碑獻花致敬
page 6	女青家庭婦女舉行展覽會發售自製物品
page 6	華商會昨決定組回國視察團推定董仲偉等負責籌備
page 6	中大商大同學聚會
page 6	防空審委會宣布收回有人供養劉美美語昨日繼續開庭採錄證供並傳工務局各職員作證
page 6	滇緬公路明日續演兩場
page 6	港九的士司機昨突全體罷工因工會主席被開除引起
page 6	紙價飛漲印刷商請當局禁止紙張出口
page 6	華人軍團續行招募華人
page 7	工程師學會決議推行工業標準化設立工業標準協進會各工程學會設委員會
page 7	桂防止糧食走私出境規定撫河大河運輸辦法邕寧各糧食店限制儲糧
page 7	中國工程師年會紀一
page 7	銀幕壞蛋王獻齊逝世
page 7	董爽秋談中大近況
page 7	新法令頒發後申匯黑市已消滅昨日銀行掛牌為四六六英匯美匯市況依然沉寂
page 7	滬標金價略告低降
page 7	股票仍無起色昨日成交四萬六千餘元
