page 2	香港民食問題
page 3	英蘇兩國加緊援華英孟哲斯德導報呼籲 
page 3	宜昌附近我軍出擊南津關日軍受重創
page 3	遠東英軍總司令普法姆語日記者馬來亞有抵抗侵略準備
page 3	阿部交卷月抵將返日
page 3	汪陳傳被殺上海傳說甚盛大場日機場大火
page 3	日機襲粵北在韶關近郊投彈
page 3	衛生技術會議已圓滿閉幕決定要案多項
page 3	共同防共與防共駐兵日汪協定之明文與密件第二論
page 3	滬西依然封鎖日兵挨戶搜查
page 3	汪報罵汪上海傳為笑料
page 3	南路慰勞團即將返粵
page 3	新鮮怪事羅馬尼亞氣息奄奄竟承認滿洲國
page 3	滬電車工人又醞釀罷工法捕房加緊戒備
page 3	平沼入閣任不管部大臣
page 3	滇越邊境戒備嚴密法越軍時受愚出擾均被我軍迎頭痛擊
page 3	行政院會議通過甘建設公債條例褒揚故參政員胡元倓
page 3	任免事項
page 3	日反美行動兩月來層出不窮
page 3	空中閃電下的倫敦縮影倫敦一週間二倫敦十月二十九日航訊
page 3	滬寒衣獻金已逾百萬元
page 3	郭大使訪英外相商談英援華問題美議會注重英美遠東合作
page 3	美報論日汪一幕謂不啻一外交的笑柄對日將有惡劣之後果
page 3	泰晤士報聲斥日汪
page 4	軸心流年不利僵局無法打開備義日俱舉棋不定
page 4	德國壓迫羅國對土地割讓不得異議傳羅總理限三日內解除鐵衛軍之武裝
page 4	英戰費驚人每日一千餘萬鎊
page 4	馬賽事件英答覆法抗議
page 4	西班牙發生撞車慘劇死傷一百餘人
page 4	法泰續起砲戰外交談判仍在進行中法竭力壓制土人活動
page 4	羅斯福乘艦出發巡視沾海防務美海軍入伍人員極踴躍
page 4	成了軸心尾巴就得受苦匈總理勸人民節制
page 4	美財政當局建議貸英鉅款以英帝國產金為抵押品
page 4	英墨關係墨新政府考慮恢復
page 4	英國發明新避彈器
page 4	德機又襲伯里斯多
page 4	美決繼續售船與英維持英國海上航線
page 4	普法姆爵士之言
page 4	阿部將回國
page 4	先照照鏡子
page 4	坦吉爾義人破壞英利益
page 4	美國與中國的合作二譯自十月十四日紐約時報
page 4	希軍南北併進威脅阿國心臟義軍無鬥志反攻不易
page 5	粵公路處長談韶興路月內修竣公車商車將設所管理龍川大江僑亦決修復
page 5	韶興路
page 5	聯繫社
page 5	大江橋
page 5	桑浦山南麓楊營長受傷不退日兩度來犯均擊退
page 5	閩海掃雷記
page 5	王造時中大聘任法學院長王氏就否赴渝再定
page 5	粵慰勞團抵桂林獻旗致敬李主任張長官深致謝意慰勞團將出發慰勞將士
page 5	湘省舉辦特產展覽
page 5	許崇智抵渝談抗戰前途樂觀今後努力擴大延長四字爭取有利於我之時間空間
page 5	中越文化工作者組同志會本月八日在桂成立
page 5	粵生產團學生被人槍擊馮秀珍要害受傷
page 5	伍觀淇縱談中粵中遊擊戰
page 6	傳港府刻正考慮應付米價狂漲步驟譚雅士談願知真實內幕柴價亦上漲島居大不易
page 6	米價之貴前所僅見
page 6	禁止米石運往九龍
page 6	海倫尼克商人號在海南海峽擱淺昨已脫險詳情未得報告摩拿士公司稱已赴海口
page 6	白雲故鄉首次渡海獻映
page 6	婦女慰勞會農植訓練所取錄學生公布正取五十名備取生五名十五日開學十三日報到
page 6	我國茶葉對蘇輸出激增較原額超過百分六十五中茶出品將在本港發售
page 6	蘇聯貨船特克西勃抵港由海參崴來只載壓艙物回程則將載去貨物多種
page 6	茶葉貿易獎學金
page 6	國茶展覽會
page 6	正取五十名
page 6	備取生五名
page 6	今日起施起限制食水晚十時至翌晨五時
page 6	中國海岸線英籍船員辭職者多造成不安狀態引起當局注意原因對待遇及工作不滿
page 6	丘耀西節約救濟難民
page 6	深盼僑胞共襄義舉
page 6	編配各部分工合作
page 6	婦女兵災會主辦賣物會明日開幕孫科夫人主持開幕典禮林主席贈匾獎勵捐輸者
page 7	特別銀牌足球賽甲乙組定期抽籤總會召開月會編排比賽秩序國際杯中華隊月中亦將遴選
page 7	東星大戰來臨定購座券踴躍元半及一元已全部售罄五毫與三毫在球場發售
page 7	男女籃球義賽十一日舉行
page 7	今日足球南華乙戰軍醫
page 7	學界籃球比賽華仁輕取嶺東初級英皇美爾頓亦獲勝利
page 7	美菲荷匯牌價略漲英匯平淡申匯好轉
page 7	國幣市況復略趨漲
page 7	股票逐步趨漲派息期近買戶爭購踴躍昨成交總值逾十五萬元
page 7	四四金市仍極沉寂
page 7	港九校際乒乓本月十二日開賽
page 7	南華名譽券限坐石屎台
