page 1	"社評欣逢新印度周歲"
page 2	"蔣總統與司徒長談孫科今日赴牯李宗仁行期未定"
page 2	"國軍進攻洛陽陝中醞釀大戰"
page 2	"各地物價直線上昇上海米價破七千萬大關南京金鈔激漲武漢現鈔奇缺"
page 2	"歸綏通信河套富源"
page 2	"司徒立門抵滬俞鴻鈞等自京前往會商"
page 2	"川省豐收徵實繼之"
page 2	"發信催繳特捐闊老不肯接受京勸募當局的苦惱"
page 2	"一派怪言上海街頭出現大告示有人說國父託夢給他"
page 2	"記朱自清先生消逝了那親切的背影"
page 2	"過去一週來上海捕百人"
page 2	"關於學生罷課官方發表數字"
page 2	"重慶靈甫兩艦抵京"
page 2	"一切為了日本中國原料日本工廠盟總方面再彈舊調"
page 2	"憲政督導會成立無確期籌備會促莫德惠返京"
page 2	"岡村寧次初審滬軍事法庭昨開偵查庭他狡辯對日軍暴行不負責任又對記者說早料到日本必敗"
page 2	"戡委九月薪水恐怕拿不到了委員人數也要大加削減"
page 2	"我船隻航行日本盟總拒絕給燃料"
page 2	"故作有禮貌狀必恭必敬答問"
page 2	"朱自清雨中入殮薄棺一具一代學人去矣清華將為他募捐並編遺集"
page 2	"張學良傳將獲自由"
page 2	"自己現在有病希望中國復興"
page 3	"蘇京談判僵持聲中英美法在倫敦舉行會商三國駐德首長赴英以備諮詢"
page 3	"談判癥結之一魯爾管制問題英國不會讓蘇聯參與"
page 3	"克萊火氣何盛主張武裝打破柏林對鎖華府不同意或將令去職"
page 3	"新德里通信印巴不宣而戰"
page 3	"柏林市政廳上僅餘三國國旗蘇聯已將國旗扯下"
page 3	"多瑙河新約草擬美國作最後之爭康農指摘蘇聯獨自控制"
page 3	"法經濟改革案兩院都已通過"
page 3	"星洲我僑胞廿餘人被捕"
page 3	"暹羅憲法規定軍人不得參政"
page 3	"暹羅又捕人二百名中多是華僑"
page 3	"美間諜案鬧得兇西歐外交家擔憂恐怕會影響與蘇會商"
page 3	"美眾院發出傳票召高遜基娜夫人"
page 3	"日皇叔東久通將被議會傳訊"
page 3	"蘇教員墜樓案鬧大了美方要對蘇領事提起公訴蘇報指責美損害外交特權"
page 3	"蘇方提出抗議美國務院答辯"
page 3	"緬甸叛軍到處起事官方承認有人圖謀推翻政府巴森港發生暴動仰光亦不安"
page 3	"跳飛機自殺有新花樣去墨跡舊報紙可翻新"
page 3	"居里懷特同受調查否認協助間諜活動都說不識自稱間諜的班特麗"
page 3	"東京僑胞偉舉捐資創辦僑校"
page 3	"南韓政府今日成立李承晚將率官員迎麥帥美方考慮延期撤退駐軍"
page 3	"廣九車票漲價"
page 4	"工商出品展覽會五十三工廠參加今天下午在青年會揭幕"
page 4	"九龍青年會昨開幕今天還有慶祝節目"
page 4	"果菜商和碼頭工人協議伕力費用比以前減少百分之二十"
page 4	"南京華僑協會組台灣觀光團請華僑推派團員參加"
page 4	"燕大校友會舉行船遊會"
page 4	"抗議法軍奸汚華僑幼女莫仲英被逐來港談經過"
page 4	"油麻地小輪公司恢復學生月票本月廿日發售下月一日開始"
page 4	"鹹魚入口商要領許可證"
page 4	"東華三院昨開始考護士"
page 4	"理髮店湯水不夠小學徒橫遭惡打"
page 4	"游泳增加安全市政衛衛局在海灘增加各項安全設備"
page 4	"兒童遊樂場會"
page 4	"回教朝覲團又一批到港"
page 4	"新複印機不用油墨"
page 4	"中華文法學院派員來港招生"
page 4	"中山大學增設人類學組"
page 4	"女青年會增加托兒名額"
page 4	"旅業同人昨開大會"
page 4	"參加展覽的各單位"
page 5	"黃金盤昂美匯轉靜申匯市況先抑後揚潮幫大戶回吐市成反覆期鈔交收達七二七億元"
page 5	"金市一週述評市勢清淡週未轉秀大戶見利爭相求售"
page 5	"福州市場的銀根與物價"
page 5	"行局內匯率明日起修正全國放款利率成都最高"
page 5	"兩個月來台幣匯率漲三倍半"
page 5	"本月第一週滬市也口結匯總額計三百四十萬美元出口貨價漲百分之十五"
page 5	"滬米漲紗布跌穗市菜油回升汕物價全面挺 "
page 5	"日購我鐵砂共廿萬公噸煤六千噸月內運日"
page 5	"穗結匯證六○五萬"
page 5	"星洲胡椒市場價格扶搖直上楠榜政府禁止出口"
page 5	"台糠銷星市勢尚好"
page 5	"肺病特效藥新貨續湧到供多於求市價退落"
page 5	"汕市漲風淩厲港幣每元一六八萬米每擔七千八百萬"
page 5	"鴨毛鵝毛市價穩堅"
page 5	"七八兩季輸入限額輸管會呈核中"
page 6	"世運大會昨天閉幕美國實力強勁雄霸全球瑞典亦得十七個金牌獎"
page 6	"籃球決賽法遭慘敗錦標榮歸美國美得分突破上屆紀錄"
page 6	"中義籃球之戰我曾一度領先"
