page 1	社評日本吉田內閣倒塌
page 2	徐州外圍戰火仍熾台兒莊攻守戰猛烈周至柔昨日由京飛徐州視察
page 2	日本通信之一東京散步
page 2	政府飛機偵察延安新華社之報道
page 2	平漢線上戰事定縣新樂續被共軍猛攻
page 2	顧祝同將返京鄭州綏署主任一職傳將山胡宗南繼任
page 2	吳鐵城由京抵滬曾與民社青年兩黨人士晤敘據談改組政府正依計畫進行
page 2	漢市秀價漲萬耀煌出巡鄂中
page 2	薛篤弼由京飛鄭州將視察花園口工程
page 2	長春軍調分部糾紛中共派員前往調查並堅主召開三委員會議
page 2	滇西災民尚待振球行總辦事處已奉令結束
page 2	又一民航機失蹤昨晨由滬經漢飛渝迄晚未到中國公司即將派機前往找尋穗渝綫失蹤機昨日仍未尋獲
page 2	越南法當局一聲明竟謂西沙群島主權屬法兩月前即準備佔該群島
page 2	熱蒙土地問題亟待合理處理
page 2	鋼鐵會議將公布全部討論結果
page 3	東京四十萬人示威吉田茂內閣總辭職全國各地展開反對吉田運動組織聯合內閣仍有極大困難
page 3	日黷武主義短期難消滅需密切注意其封建思想我駐日代表團首席顧問談話
page 3	日本賠償計畫各國懷疑美國一手把持戰後所需工業設備殆已協議
page 3	飛機失事與我國航空立法
page 3	羅斯福夫人
page 3	馬帥任美國務卿後將更注意亞洲政策拉鐵摩爾之觀察
page 3	在和平產業範圍內日本得有輕重工業麥克阿瑟總部的見解
page 3	希臘局勢的癥結
page 3	原子彈的舊案史汀生撰文有說明對日投擲係由美總統決定
page 3	蘇提議在完成對德和約前設立德中央政府波蘭要求四強同意西疆外次會議通過兩項建議
page 3	管制原子能軍事當局有權參與美共和黨提出主張
page 3	希新總理向國會闡述施政方針對國內游擊隊將採堅決政策
page 3	英埃談判破裂埃決向聯合國申訴眾院猛烈抨擊英對丹政策
page 3	蘇丹駐埃代表抗議英國態度
page 3	巴勒斯坦會議阿拉伯代表反對分治
page 3	美對裁軍政策不變奧斯丁謁馬歇爾商談問題
page 4	一二八紀念大會滬各界集會發告同胞書撫今追昔陳銘樞話十九路軍
page 4	滬中英文協會請蕭乾演講英國小說
page 4	紀念一二八慰勞孤軍榮軍
page 4	招商局致力外洋海運開闢四條國際航線
page 4	英國著名女教育家將來滬作公開演講
page 4	甲組足球賽錦標東華隊希望最高
page 4	儲蓄金發還問題清理會昨會討論詳細審查後再定辦法
page 4	水產公司改組延期
